player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
22,"Ghim, Doug",GHIM_DOUG,confirmed,TBD,TBD,19,0.266,-0.149,-0.006,0.38,0.49,0.23,0.21,-0.41,0.94,91,0.0,0.0,1.5,4.4,0.06,0.01,0.0,0.0,0.05,6.8,11.8,1.9,1.2,1.8,6.1,5.9,3.5,deep,high,False,,False
21,"Thompson, Davis",THOMPSON_DAVIS,confirmed,TBD,TBD,12,2.174,1.545,0.037,0.39,0.28,0.1,0.05,-0.17,0.43,81,0.0,0.0,3.3,3.5,0.01,0.0,0.0,-0.01,0.02,6.9,11.8,2.0,1.3,1.9,6.1,5.8,3.5,deep,high,False,,False
27,"Mouw, William",MOUW_WILLIAM,confirmed,TBD,TBD,6,1.11,1.516,0.018,0.34,0.26,0.15,-0.1,-0.03,0.31,81,1.0,0.04,4.8,2.7,0.02,0.02,0.0,-0.01,0.02,6.9,11.9,2.0,1.3,1.9,6.1,5.8,3.4,deep,high,False,,False
29,"Novak, Andrew",NOVAK_ANDREW,confirmed,TBD,TBD,12,1.056,1.158,0.028,0.3,0.08,0.22,0.1,-0.15,0.4,95,0.0,0.0,-0.7,-0.9,0.0,0.0,0.0,0.0,0.01,6.9,11.8,1.9,1.2,1.9,6.1,5.9,3.5,deep,high,False,,False
23,"Olesen, Thorbjorn",OLESEN_THORBJORN,confirmed,TBD,TBD,6,-1.235,-1.32,-0.016,0.38,0.21,0.14,0.04,-0.04,0.38,94,0.0,0.0,0.4,-0.3,0.0,0.0,0.0,0.0,0.0,6.9,11.8,2.0,1.3,1.9,6.1,5.9,3.5,deep,high,False,,False
38,"Li, Haotong",LI_HAOTONG,confirmed,TBD,TBD,0,,,,0.14,0.36,0.26,-0.23,-0.13,0.38,97,0.0,0.0,5.1,-0.2,0.01,0.03,0.0,-0.01,-0.01,7.0,12.0,2.0,1.3,1.9,6.2,5.8,3.4,deep,high,True,B,False
53,"Grillo, Emiliano",GRILLO_EMILIANO,confirmed,TBD,TBD,10,1.869,1.493,0.03,0.04,0.15,0.08,-0.12,-0.06,0.1,92,0.0,0.0,-6.0,8.2,0.12,0.02,0.0,0.01,0.09,6.9,11.9,2.0,1.3,1.7,6.0,6.1,3.6,deep,high,False,,False
52,"Kanaya, Takumi",KANAYA_TAKUMI,confirmed,TBD,TBD,2,-0.341,-0.349,-0.001,0.05,0.05,-0.66,0.28,0.41,-0.32,109,1.0,0.03,-9.0,8.1,0.04,-0.04,0.0,0.02,0.06,6.9,11.6,2.3,1.4,1.7,6.0,6.2,3.6,deep,high,False,,False
33,"Kuchar, Matt",KUCHAR_MATT,confirmed,TBD,TBD,22,-0.178,-0.121,-0.005,0.19,-0.47,-0.1,0.18,0.53,-0.4,62,0.0,0.0,-19.7,6.6,0.06,-0.04,0.0,0.04,0.06,6.9,11.6,2.1,1.4,1.6,6.0,6.3,3.7,medium,medium,False,,False
45,"Lipsky, David",LIPSKY_DAVID,confirmed,TBD,TBD,14,0.568,0.955,0.027,0.07,-0.22,0.15,0.17,0.09,0.1,86,0.0,0.0,-9.0,4.2,0.05,0.0,0.0,0.02,0.02,6.8,11.7,2.1,1.4,1.7,6.0,6.1,3.6,deep,high,False,,False
44,"Potgieter, Aldrich",POTGIETER_ALDRICH,confirmed,TBD,TBD,3,-0.279,-0.304,-0.002,0.08,0.54,0.05,-0.26,-0.17,0.34,75,1.0,0.04,22.9,-4.8,-0.11,0.02,0.0,-0.05,-0.08,7.0,12.0,2.0,1.2,2.2,6.3,5.4,3.2,deep,high,False,,False
42,"Dumont De Chassart, Adrien",DUMONT DE CHASSART_ADRIEN,confirmed,TBD,TBD,4,-0.182,0.594,0.005,0.11,-0.3,0.0,0.29,0.1,-0.01,88,1.0,0.04,7.7,-4.8,-0.11,-0.03,0.0,-0.01,-0.07,6.9,11.7,2.1,1.4,2.0,6.2,5.7,3.3,deep,high,False,,False
68,"Johnson, Zach",JOHNSON_ZACH,confirmed,TBD,TBD,82,1.211,0.653,0.108,-0.13,-0.48,-0.03,-0.05,0.33,-0.55,52,2.0,0.12,-17.7,9.3,0.12,-0.02,0.0,0.04,0.09,6.9,11.7,2.1,1.4,1.6,6.0,6.4,3.7,medium,medium,False,,False
19,"Berger, Daniel",BERGER_DANIEL,confirmed,TBD,TBD,14,0.836,-0.008,0.0,0.42,0.2,0.7,-0.29,-0.17,0.61,75,0.0,0.0,2.2,2.9,0.06,0.02,0.0,0.0,0.04,6.9,11.9,1.8,1.2,1.8,6.1,5.9,3.5,deep,high,False,,False
69,"Griffin, Lanto",GRIFFIN_LANTO,confirmed,TBD,TBD,14,-0.78,-0.407,-0.011,-0.14,-0.26,-0.18,0.09,0.39,-0.35,71,0.0,0.0,-3.6,0.5,0.0,0.0,0.0,0.01,0.0,6.9,11.8,2.1,1.4,1.8,6.1,6.0,3.5,deep,high,False,,False
18,"Coody, Pierceson",COODY_PIERCESON,confirmed,TBD,TBD,6,-1.235,-1.147,-0.014,0.43,0.6,0.17,-0.28,0.12,0.49,117,0.0,0.0,12.5,-1.1,-0.05,-0.01,0.0,-0.03,-0.01,7.0,12.0,2.0,1.2,2.0,6.2,5.6,3.3,deep,high,False,,False
48,"Yu, Kevin",YU_KEVIN,confirmed,TBD,TBD,12,1.591,1.247,0.03,0.06,0.35,-0.06,-0.02,-0.14,0.28,75,0.0,0.0,7.0,0.4,-0.01,0.01,0.0,-0.02,0.0,6.9,11.9,2.0,1.3,1.9,6.2,5.7,3.4,deep,high,False,,False
55,"Kohles, Ben",KOHLES_BEN,confirmed,TBD,TBD,12,-0.419,-0.117,-0.003,0.03,0.09,0.96,0.01,-0.78,1.06,104,1.0,0.03,-8.6,9.6,0.16,0.03,0.0,0.02,0.11,6.9,11.9,1.8,1.2,1.6,6.0,6.2,3.7,deep,high,False,,False
26,"Hoey, Rico",HOEY_RICO,confirmed,TBD,TBD,8,1.469,1.393,0.022,0.34,0.48,0.35,-0.16,-0.55,0.67,107,0.0,0.0,5.7,3.4,0.05,0.02,0.0,-0.01,0.04,6.9,11.9,2.0,1.2,1.9,6.1,5.8,3.5,deep,high,False,,False
89,"Vilips, Karl",VILIPS_KARL,confirmed,TBD,TBD,2,-1.841,-1.28,-0.005,-0.46,-0.45,-0.21,-0.1,0.23,-0.76,72,0.0,0.0,1.3,-6.3,-0.09,-0.01,0.0,-0.01,-0.07,7.0,11.8,2.1,1.4,2.0,6.1,5.8,3.4,deep,high,False,,False
25,"Mcgreevy, Max",MCGREEVY_MAX,confirmed,TBD,TBD,6,-2.512,-1.61,-0.019,0.35,0.31,0.11,0.09,-0.35,0.5,102,0.0,0.0,-4.7,6.2,0.09,0.01,0.0,0.01,0.07,6.9,11.8,1.9,1.3,1.7,6.1,6.1,3.6,deep,high,False,,False
66,"Fishburn, Patrick",FISHBURN_PATRICK,confirmed,TBD,TBD,6,0.706,0.807,0.01,-0.08,0.12,-0.03,-0.05,0.32,0.04,83,0.0,0.0,2.8,-2.2,-0.04,0.0,0.0,-0.01,-0.04,7.0,11.8,2.1,1.4,2.0,6.1,5.8,3.4,deep,high,False,,False
82,"Noh, S.Y.",NOH_S.Y.,confirmed,TBD,TBD,21,-0.226,0.083,0.004,-0.37,-0.39,0.21,0.32,0.02,0.14,75,0.0,0.0,-1.0,-5.4,-0.06,-0.02,0.0,0.0,-0.05,6.9,11.7,2.1,1.4,1.9,6.1,5.9,3.4,deep,high,False,,False
65,"Hodges, Lee",HODGES_LEE,confirmed,TBD,TBD,12,-0.099,-0.357,-0.009,-0.06,0.06,0.26,-0.18,-0.03,0.14,83,0.0,0.0,-5.9,5.0,0.09,0.02,0.0,0.01,0.06,7.0,11.9,2.0,1.3,1.7,6.1,6.1,3.6,deep,high,False,,False
32,"Im, Sungjae",IM_SUNGJAE,confirmed,TBD,TBD,14,0.565,-0.375,-0.011,0.22,0.28,-0.56,0.47,0.13,0.18,90,0.0,0.0,-1.5,2.5,-0.03,-0.06,0.0,0.0,0.03,6.8,11.5,2.2,1.4,1.8,6.1,5.9,3.5,deep,high,False,,False
72,"Simpson, Webb",SIMPSON_WEBB,confirmed,TBD,TBD,12,-0.333,-0.372,-0.009,-0.16,-0.11,-0.08,0.01,0.03,-0.19,35,0.0,0.0,-1.0,-1.3,-0.02,-0.01,0.0,0.0,-0.02,6.9,11.7,2.1,1.4,1.9,6.1,5.9,3.5,medium,medium,False,,False
64,"Brown, Blades",BROWN_BLADES,confirmed,TBD,TBD,0,,,,-0.04,-0.07,0.31,-0.09,0.28,0.15,98,0.0,0.0,6.5,0.3,-0.01,0.0,0.0,-0.01,0.0,7.0,11.9,2.0,1.3,1.9,6.1,5.8,3.4,deep,high,True,A,False
