"POS","Player","TOT","1","2","3","4","5","6","7","8","9","OUT","10","11","12","13","14","15","16","17","18","IN","TOTAL"
"T137","D. Brown","+3","4","5","3","4","3","5","5","4","3","36","5","5","5","4","3","3","4","3","5","37","73"
"T137","J. Rahm","+3","6","4","3","4","4","4","5","5","4","39","4","5","5","4","4","2","3","3","4","34","73"
"T145","P. Harrington","+4","5","4","3","5","3","4","5","5","3","37","4","4","5","5","4","3","5","3","4","37","74"
"T145","C. Hoffman","+4","5","4","3","4","3","4","6","4","4","37","4","4","5","5","4","3","4","3","5","37","74"
"T145","B. Horschel","+4","5","5","3","4","3","5","5","5","2","37","4","4","5","6","4","3","4","3","4","37","74"
"T145","A. Smotherman","+4","7","6","3","3","2","4","6","4","3","38","4","4","6","4","4","3","4","3","4","36","74"
"T149","D. Hillier","+5","5","3","3","5","3","5","4","5","3","36","4","5","6","5","4","3","4","2","6","39","75"
"T149","D. Puig","+5","5","5","5","4","3","4","5","4","3","38","4","5","5","4","4","3","5","4","3","37","75"
"T149","J. Parry","+5","6","5","3","4","3","5","5","5","3","39","4","5","4","4","4","3","4","3","5","36","75"
"T149","C. Syme","+5","5","4","4","4","4","4","5","4","3","37","4","4","4","4","4","3","5","4","6","38","75"
"T149","K. Yu","+5","5","4","4","4","2","5","4","5","4","37","4","5","5","5","3","3","5","3","5","38","75"
"T149","B. Kim","+5","5","5","2","4","2","5","4","5","5","37","4","4","4","5","-","4","4","4","5","38","-"
"155","A. Otaegui","+6","8","5","4","5","3","4","4","4","3","40","4","5","4","4","4","3","4","4","4","36","76"
"156","F. Schott","+15","6","4","3","6","2","5","8","5","3","42","5","5","5","5","5","4","5","4","5","43","85"
