rank,player_name,tier,vts_final,nsi,vfs,vhn,form,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,brie_score,tvl_score,vfr_score,hew_score,app_150_200,ch_rounds,ch_vs_exp,ap_flags,form_class,badges,best_bet
60,David Puig,3,54.09,69.68,38.56,49.5,48.2,0.49,2.82,6.04,12.79,52.7,-0.307,0.629,0.006,0.587,-0.307,0.629,0.006,0.323,-0.027,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Pass
61,Jordan Smith,3,54.09,54.19,60.58,49.86,45.08,0.49,2.82,6.04,12.79,52.7,0.346,0.382,-0.011,-0.31,0.346,0.382,-0.011,0.717,0.02,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
62,Harry Hall,3,53.86,76.13,34.81,50.02,36.44,0.48,2.78,5.98,12.68,52.1,0.052,-0.178,0.396,0.664,0.052,-0.178,0.396,0.271,-0.025,0,0,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Pass
63,Matt Wallace,3,53.68,53.55,55.23,50.02,54.56,0.48,2.75,5.93,12.6,51.7,0.445,-0.149,0.16,0.055,0.445,-0.149,0.16,0.456,0.033,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
64,Sepp Straka,3,53.25,60.65,56.44,50.04,30.32,0.46,2.69,5.81,12.4,50.6,0.502,0.169,-0.019,0.056,0.502,0.169,-0.019,0.653,0.018,0,0,0,COLD,Form Cold; Debut Watch; Cut Sweat,Pass
65,John Parry,3,52.74,50.32,65.37,50.22,36.44,0.45,2.61,5.67,12.16,49.4,0.318,0.058,0.053,-0.274,0.318,0.058,0.053,0.429,0.047,0,0,1,COOL,Iron Edge; Form Cold; Debut Watch; Cut Sweat,Pass
66,Sahith Theegala,3,52.6,63.23,40.52,49.84,51.2,0.44,2.59,5.63,12.1,49.0,0.223,0.004,0.276,0.022,0.223,0.004,0.276,0.503,0.002,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Pass
67,Daniel Hillier,3,52.36,56.13,53.9,49.76,41.84,0.43,2.55,5.57,11.99,48.4,0.251,0.367,-0.397,0.186,0.251,0.367,-0.397,0.221,0,0,0,1,COOL,Form Cold; Debut Watch; Cut Sweat,Pass
68,Johnny Keefer,3,52.1,44.52,58.23,49.66,62.48,0.43,2.51,5.5,11.88,47.8,0.444,0.505,-0.352,-0.417,0.444,0.505,-0.352,0.596,0.036,0,0,2,WARM,Form Spike; Debut Watch; Cut Sweat; Anti-Pattern,Pass
69,Jason Day,3,51.85,65.16,39.17,51.64,41.96,0.42,2.48,5.43,11.77,47.1,-0.276,0.136,0.562,0.259,-0.276,0.136,0.562,0.421,-0.053,4,0.418,2,COOL,Course Horse; Form Cold; Cut Sweat; Anti-Pattern,Pass
70,Pierceson Coody,3,51.23,57.42,44.63,49.62,49.52,0.4,2.39,5.27,11.5,45.6,0.221,0.627,-0.201,0.062,0.221,0.627,-0.201,0.646,-0.006,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Pass
71,Sam Stevens,3,51.15,52.26,53.16,49.78,45.56,0.4,2.38,5.25,11.47,45.4,0.1,0.467,0.035,-0.202,0.1,0.467,0.035,0.602,0.014,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Pass
72,Nico Echavarria,3,50.92,50.97,47.85,50.14,57.68,0.39,2.35,5.2,11.37,44.8,0.123,-0.072,-0.12,0.249,0.123,-0.072,-0.12,-0.069,0.018,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
73,Max Homa,3,50.88,59.35,39.86,49.88,51.32,0.39,2.35,5.19,11.36,44.7,0.132,0.145,0.015,0.345,0.132,0.145,0.015,0.292,-0.019,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
74,Thomas Detry,3,50.52,54.84,47.24,49.82,46.28,0.38,2.3,5.1,11.2,43.8,0.056,0.124,-0.021,0.305,0.056,0.124,-0.021,0.154,0.018,0,0,0,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
75,Rasmus Neergaard-Petersen,3,50.36,47.74,53.68,49.88,51.2,0.38,2.28,5.06,11.14,43.4,0.178,0.479,-0.199,-0.046,0.178,0.479,-0.199,0.458,0.012,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
76,Rasmus Hojgaard,3,49.97,64.52,37.21,49.52,37.16,0.37,2.23,4.97,10.98,42.5,0.087,0.272,-0.187,0.556,0.087,0.272,-0.187,0.172,-0.009,0,0,2,COOL,Form Cold; Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
77,Tom McKibbin,3,49.84,49.68,50.38,49.84,49.16,0.36,2.21,4.94,10.93,42.2,-0.026,0.443,0.024,-0.232,-0.026,0.443,0.024,0.438,0.002,0,0,2,NEUTRAL,Debut Watch; Cut Sweat; Anti-Pattern,Miss Cut
78,Michael Kim,3,49.72,58.06,38.97,50.04,48.68,0.36,2.19,4.91,10.88,41.9,0.351,-0.182,0.043,0.346,0.351,-0.182,0.043,0.212,-0.005,0,0,1,NEUTRAL,Debut Watch; Cut Sweat,Miss Cut
