Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Angel Ayora,0.45499999999999996,-0.395,0.985,-1.2599999999999998,-0.20499999999999985
Adrian Meronk,-0.645,0.47000000000000003,0.5850000000000001,-0.625,-0.20500000000000002
Johannes Veerman,-0.45500000000000007,-0.13000000000000003,-0.24000000000000002,0.12,-0.705
Paul Waring,-0.11500000000000002,0.485,-0.03500000000000003,-1.045,-0.705
Billy Horschel,0.034999999999999976,0.96,-0.185,-1.5150000000000001,-0.7050000000000001
Harry Hall,-0.43,-2.41,0.07999999999999999,2.05,-0.705
Julien Guerrier,-0.13000000000000006,-1,-0.265,0.69,-0.705
Alex Fitzpatrick,0.0050000000000000044,0.515,-0.245,-0.98,-0.705
Matteo Manassero,-0.8200000000000001,0.685,0.375,-0.95,-0.705
Angel Hidalgo Portillo,0.58,0.77,-0.545,-1.5150000000000001,-0.7049999999999998
Aaron Rai,-0.135,1.2650000000000001,0.215,-2.0549999999999997,-0.705
Jake Knapp,0.565,1.6350000000000002,-2.12,-1.285,-1.205
Richard Mansell,-1.045,-0.63,-1.015,1.485,-1.2049999999999998
Dylan Naidoo,-0.325,-0.425,-0.43000000000000005,-0.030000000000000027,-1.2049999999999998
Ryggs Johnston,0.8200000000000001,-1.225,0.71,-1.5150000000000001,-1.205
Matt Wallace,-1.2999999999999998,1.3849999999999998,0.75,-2.04,-1.2049999999999998
Ockie Strydom,0.78,-0.07499999999999996,-0.655,-1.2550000000000001,-1.2049999999999998
Sam Stevens,1.9,-0.745,0.02999999999999997,-2.8850000000000002,-1.7049999999999998
Rikuya Hoshino,-0.8049999999999999,0,-0.065,-0.83,-1.7049999999999998
Junghwan Lee,0.45999999999999996,-1.905,0.45999999999999996,-0.73,-1.705
Bernd Wiesberger,-0.7050000000000001,-0.18000000000000016,0.62,-1.4449999999999998,-1.705
Xander Schauffele,-0.44499999999999995,-0.58,0.175,-0.855,-1.7049999999999998
Kristoffer Reitan,0.46,-0.9199999999999999,-0.3,-0.955,-1.7049999999999998
Pablo Larrazabal,-1.135,-1.1600000000000001,-0.2,0.7899999999999999,-1.7049999999999998
Haotong Li,0.43,-1.26,-3.085,2.205,-1.7049999999999998
Pierceson Coody,0.54,0.05499999999999999,-0.735,-1.5699999999999998,-1.7049999999999998
Mark Hubbard,0.335,-1.685,0.49000000000000005,-1.345,-2.205
Ashun Wu,-1.18,-2.08,-0.76,1.81,-2.205
Padraig Harrington,-0.28,-0.11000000000000001,0.525,-2.34,-2.205
Thriston Lawrence,0.7,-1.44,-0.14,-1.33,-2.205
Alex Noren,-0.735,-1.9,0.025000000000000022,0.395,-2.205
Seungbin Choi,0.865,-1.4649999999999999,-1.38,-0.23,-2.205
Sungjae Im,-0.29500000000000004,-1.07,-0.024999999999999994,-1.3250000000000002,-2.705
Connor Syme,-1.2349999999999999,-0.53,0.72,-1.655,-2.705
Kevin Yu,0.645,-2.44,-0.024999999999999967,-0.89,-2.705
Daniel Da Costa Rodrigues,-0.5049999999999999,-0.24,0.020000000000000018,-1.985,-2.705
Charley Hoffman,1.04,-1.02,-0.42500000000000004,-2.3049999999999997,-2.705
Brandt Snedeker,-2.235,-1.24,1.375,-0.61,-2.705
Adrian Otaegui,-1.62,-2.37,0.5449999999999999,0.24,-3.205
John Parry,-0.8999999999999999,0.5,-1.335,-1.475,-3.205
Kota Kaneko,-1.395,-3.155,0.78,0.56,-3.205
Matthieu Pavon,0.6,-0.19,-0.5,-3.125,-3.205
Austin Smotherman,-0.8150000000000001,0.685,-0.97,-2.115,-3.205
Brian Campbell,-0.07,-1.24,-0.044999999999999984,-1.855,-3.205
Daniel Hillier,-0.02499999999999991,-0.19,-1.0550000000000002,-1.935,-3.205
David Ravetto,-0.5299999999999999,-0.905,0.285,-2.065,-3.205
Martin Couvra,-0.325,-3.015,-1.0050000000000001,0.6399999999999999,-3.705
Taylor Moore,-0.47000000000000003,-2.01,-1.1300000000000001,-0.10500000000000001,-3.705
Yurav Premlall,-1.18,-2.585,-1.59,1.645,-3.705
Richard Sterne,-0.9750000000000001,-1.005,-0.07500000000000007,-2.15,-4.205
Frederic LaCroix,-0.75,-1.285,-0.32,-1.85,-4.205
Marcel Siem,-1.1300000000000001,-2.18,-0.965,0.07000000000000006,-4.205
Baekjun Kim,-0.9550000000000001,-0.64,-2.645,-0.47500000000000003,-4.705
Bud Cauley,-0.66,-0.175,-1.2,-2.675,-4.705
Taehoon Ok,-0.545,-1.73,-0.905,-2.0250000000000004,-5.205
