pos-normal,Last Name,First Name,TOTAL,R4,sg-ott,driver-distance,driver-accuracy,sg-app,GIR,Fairway Prox,Rough Prox,sg-putt,sg-arg,scrambling,great shots,poor shots,sg-total,sg-t2g,sg-bs
,ENDYCOTT,HARRISON,,,-0.81,292.4,64.30%,-1.96,63.90%,"31' 7""","62' 2""",-1.49,0.32,43.80%,2,5.5,-3.94,-2.45,-2.77
,CAPAN III,FRANKIE,,,-1.5,298,35.70%,-1.75,50.00%,"34' 9""","55' 1""",0.89,-1.58,58.30%,4,5.5,-3.94,-4.83,-3.25
,SILVERMAN,BEN,,,-0.42,286.8,71.40%,-2.28,52.80%,"40' 10""","45' 0""",-0.78,-0.96,50.00%,3,8,-4.44,-3.66,-2.7
,HIGGS,HARRY,,,-1.91,300.8,57.10%,0.18,63.90%,"30' 9""","48' 1""",-2.12,-0.58,40.00%,3,5.5,-4.44,-2.32,-1.73
,COODY,PIERCESON,,,-0.8,308.3,46.40%,-0.84,63.90%,"32' 5""","46' 2""",-0.94,-2.35,30.00%,3.5,8.5,-4.94,-4,-1.65
,HERRON,CARSON,,,-1.78,296.7,42.90%,-2.54,47.20%,"30' 5""","67' 7""",0.18,-0.81,56.50%,3.5,5,-4.94,-5.12,-4.32
,VELO,KEVIN,,,-0.4,293.5,64.30%,-1.26,61.10%,"24' 1""","73' 7""",-1.99,-1.78,23.50%,1.5,4.5,-5.44,-3.45,-1.67
,PALMER,RYAN,,,-0.25,300.9,60.70%,-2.91,58.30%,"41' 2""","49' 8""",-1.42,-1.35,47.40%,3.5,6.5,-5.94,-4.51,-3.16
,POTGIETER,ALDRICH,-4,,1.4,315.2,71.40%,-0.67,70.40%,"35' 10""","93' 5""",-0.9,0.17,38.90%,6.33,3.33,0.01,0.9,0.73
,PUTNAM,ANDREW,,,-0.9,263.7,92.90%,-0.46,66.70%,"28' 3""","23' 3""",-1.76,1.7,87.50%,3,5,-1.42,0.34,-1.36
,JAEGER,STEPHAN,,,-1.22,292.6,42.90%,-0.68,61.10%,"36' 4""","44' 11""",-1.51,-1.01,50.00%,2,5,-4.42,-2.91,-1.9
,LINDHEIM,NICHOLAS,,,1.24,296.9,100.00%,-3.1,50.00%,"41' 0""","0' 0""",-2.66,-0.91,50.00%,0,5,-5.42,-2.77,-1.86
