time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Matsuyama, Hideki",91,0.89,329,0.809,497,0.684,262,0.488,152,0.541,192,0.261
l12_months,green hit rate,"Spieth, Jordan",107,0.857,273,0.809,441,0.679,214,0.449,170,0.611,144,0.366
l12_months,green hit rate,"Chatfield, Davis",55,0.838,168,0.808,245,0.635,129,0.465,48,0.494,59,0.267
l12_months,green hit rate,"Poston, J.T.",98,0.84,300,0.808,443,0.737,220,0.497,104,0.589,142,0.33
l12_months,green hit rate,"Young, Cameron",92,0.895,361,0.808,409,0.696,241,0.431,147,0.66,129,0.384
l12_months,green hit rate,"McKibbin, Tom",57,0.803,233,0.808,302,0.68,152,0.414,109,0.531,65,0.321
l12_months,green hit rate,"Blair, Zac",74,0.893,182,0.808,273,0.639,137,0.533,62,0.507,66,0.364
l12_months,green hit rate,"Eckroat, Austin",74,0.83,228,0.808,328,0.707,150,0.435,120,0.642,117,0.262
l12_months,green hit rate,"Buckley, Hayden",15,0.696,53,0.808,78,0.661,null,null,26,0.57,null,null
l12_months,green hit rate,"Pendrith, Taylor",124,0.819,306,0.807,360,0.705,206,0.498,145,0.606,159,0.368
l12_months,green hit rate,"Rodgers, Patrick",96,0.789,315,0.807,445,0.655,222,0.466,173,0.555,200,0.415
l12_months,green hit rate,"Rahm, Jon",79,0.92,247,0.806,299,0.729,173,0.611,151,0.585,96,0.436
l12_months,green hit rate,"Putnam, Andrew",77,0.857,224,0.805,457,0.712,215,0.468,83,0.602,128,0.345
l12_months,green hit rate,"Pieters, Thomas",70,0.829,181,0.805,200,0.683,114,0.414,97,0.592,70,0.303
l12_months,green hit rate,"Streelman, Kevin",56,0.929,193,0.805,232,0.64,95,0.461,63,0.603,84,0.255
l12_months,green hit rate,"Crowe, Trace",33,0.853,108,0.805,111,0.675,63,0.466,49,0.404,36,0.261
l12_months,green hit rate,"McGreevy, Max",69,0.904,318,0.805,456,0.658,207,0.488,109,0.53,127,0.433
l12_months,green hit rate,"Ramey, Chad",87,0.842,289,0.805,373,0.63,176,0.452,136,0.563,124,0.306
l12_months,green hit rate,"Fox, Ryan",70,0.864,283,0.804,341,0.659,183,0.462,128,0.556,154,0.391
l12_months,green hit rate,"Collet, Tyler",17,0.742,48,0.804,null,null,32,0.368,12,0.341,25,0.17
l12_months,green hit rate,"Fisk, Steven",97,0.82,275,0.804,393,0.657,173,0.442,150,0.504,113,0.356
l12_months,green hit rate,"Higgo, Garrick",86,0.793,263,0.804,308,0.642,148,0.424,123,0.471,108,0.238
l12_months,green hit rate,"Olesen, Thorbjorn",61,0.866,199,0.803,269,0.684,102,0.484,95,0.653,106,0.364
l12_months,green hit rate,"Fitzpatrick, Matt",75,0.948,295,0.803,457,0.729,227,0.569,83,0.664,125,0.389
