event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Rocket Classic,Detroit Golf Club,"Horschel, Billy",11276,29420,122,164,102,1:16 PM,late,1,8:06 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hossler, Beau",15470,35461,151,163,121,12:21 PM,late,10,7:11 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hubbard, Mark",16333,36801,207,137,111,7:11 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Hughes, Mackenzie",15556,35506,121,146,114,8:28 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Huskey, Keenan",26597,56926,null,null,null,9:01 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Im, Sungjae",17488,39971,111,79,58,12:43 PM,late,10,7:33 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Jaeger, Stephan",16394,36799,146,106,79,8:06 AM,early,1,1:16 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"James, Ben",29827,57869,102,397,141,9:01 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Jennings, William",35417,70415,null,null,null,2:11 PM,late,10,9:01 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kanaya, Takumi",19729,47917,181,166,139,7:22 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kang, Jeffrey",21889,47393,370,273,160,2:22 PM,late,10,9:12 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Keefer, Johnny",32457,63454,93,63,73,9:01 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kim, Michael",17543,39975,69,55,61,7:11 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kim, Si Woo",14609,37455,7,18,7,7:55 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kirk, Chris",12423,30926,132,120,142,7:33 AM,early,1,12:43 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kizzire, Patton",13470,32757,null,428,162,7:22 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Knapp, Jake",19396,47420,36,47,38,1:05 PM,late,1,7:55 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kohles, Ben",16395,36884,60,114,97,1:38 PM,late,10,8:28 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Koivun, Jackson",32319,66701,30,73,70,7:33 AM,early,10,12:43 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Kuchar, Matt",6169,23108,139,185,140,7:55 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Lamprecht, Christo",24343,54422,null,287,198,8:39 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Lebioda, Hank",21943,49766,274,250,137,1:27 PM,late,10,8:17 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Li, Haotong",15310,35296,204,109,127,8:39 AM,early,10,1:49 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Lipsky, David",15980,36326,200,115,78,12:10 PM,late,1,7:00 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Lower, Justin",17723,40162,395,294,182,12:10 PM,late,1,7:00 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Malnati, Peter",14926,34466,438,null,170,7:22 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Matsuyama, Hideki",13562,32839,22,25,26,12:43 PM,late,1,7:33 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Mazzoli, Stefano",20844,49037,324,208,null,8:06 AM,early,1,1:16 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"McCarthy, Denny",19870,47993,61,90,81,12:10 PM,late,10,7:00 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"McCarty, Matt",28635,59141,83,67,45,12:43 PM,late,10,7:33 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"McGreevy, Max",23505,51950,96,107,116,7:00 AM,early,10,12:10 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Meissner, Mac",28159,59143,54,87,72,1:27 PM,late,10,8:17 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Moore, Taylor",21944,49947,166,153,95,1:38 PM,late,1,8:28 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Mouw, William",29770,63121,120,133,109,7:55 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Nakajima, Keita",21074,49228,115,100,118,8:50 AM,early,10,2:00 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Neergaard-Petersen, Rasmus",23841,52689,74,77,90,2:11 PM,late,1,9:01 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Novak, Andrew",23475,51997,107,75,88,7:44 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Nyholm, Pontus",25475,55851,269,257,130,8:50 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Olesen, Thorbjorn",13412,33968,165,158,172,12:32 PM,late,1,7:22 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Parry, John",13764,28723,104,91,85,2:11 PM,late,10,9:01 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Pavon, Matthieu",19960,48153,225,290,123,12:21 PM,late,1,7:11 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Pendrith, Taylor",17780,40250,138,92,82,1:16 PM,late,1,8:06 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Penge, Marco",22465,51003,106,51,107,1:49 PM,late,10,8:39 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Phillips, Chandler",27164,57900,145,132,86,7:22 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Potgieter, Aldrich",27900,63343,141,88,64,7:55 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Power, Seamus",10104,28252,124,184,104,7:11 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Putnam, Andrew",14704,34256,110,96,71,12:32 PM,late,10,7:22 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Quiban, Justin",15981,36327,null,null,null,2:11 PM,late,1,9:01 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Ramey, Chad",19840,47983,223,186,129,12:10 PM,late,10,7:00 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Riley, Davis",19872,47995,457,180,146,7:44 AM,early,1,12:54 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Rodgers, Patrick",16283,36699,189,97,63,12:21 PM,late,10,7:11 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Roy, Kevin",18424,39335,162,121,94,12:10 PM,late,10,7:00 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Rozo, Marcelo",16591,37076,null,null,204,2:11 PM,late,1,9:01 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Ruffels, Ryan",17169,39251,null,null,null,9:01 AM,early,10,2:11 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Saddier, Adrien",14792,34371,248,139,184,2:11 PM,late,10,9:01 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Sargent, Gordon",30814,64442,null,345,131,8:39 AM,early,1,1:49 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Schauffele, Xander",19895,48081,15,15,15,7:44 AM,early,10,12:54 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Schenk, Adam",19477,47347,480,190,158,8:06 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Schmid, Matti",20722,48867,131,84,65,1:38 PM,late,1,8:28 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Shipley, Neal",32055,63807,246,204,187,8:50 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Silverman, Ben",17381,39327,257,221,134,12:43 PM,late,1,7:33 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Simpson, Webb",11049,29221,212,null,179,1:05 PM,late,10,7:55 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Smith, Jordan",18586,46464,71,76,67,12:32 PM,late,10,7:22 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Smotherman, Austin",22985,50095,156,104,75,7:22 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Snedeker, Brandt",8820,27649,211,129,83,8:06 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Spaun, J.J.",17536,39324,19,14,20,12:54 PM,late,1,7:44 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Spieth, Jordan",14636,34046,91,57,55,1:05 PM,late,1,7:55 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Springer, Hayden",21995,50484,260,298,132,2:00 PM,late,10,8:50 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Stevens, Sam",25569,55893,126,53,51,8:28 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Streelman, Kevin",8480,27214,254,397,151,8:17 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Suber, Jackson",29279,60019,97,105,80,2:00 PM,late,10,8:50 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Svensson, Adam",13997,40115,329,476,177,8:28 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Svensson, Jesper",26850,57586,186,168,122,9:01 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Taylor, Nick",13126,25493,49,72,59,8:06 AM,early,10,1:16 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Thompson, Davis",27364,58168,72,136,93,8:17 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Thorbjornsen, Michael",26649,57364,56,68,69,12:21 PM,late,10,7:11 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Todd, Brendon",12425,30927,null,null,217,7:00 AM,early,1,12:10 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Tosti, Alejandro",17032,38991,471,396,185,2:00 PM,late,1,8:50 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Van Rooyen, Erik",17550,40006,192,195,144,1:38 PM,late,10,8:28 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"VanDerLaan, John",25319,55573,311,293,167,2:22 PM,late,10,9:12 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Ventura, Kristoffer",15651,35658,155,262,112,1:49 PM,late,1,8:39 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Vilips, Karl",24304,54304,210,196,126,8:17 AM,early,10,1:27 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Walker, Danny",25003,54607,null,277,159,7:22 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Wallace, Matt",20706,48887,62,74,98,12:32 PM,late,10,7:22 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Whaley, Vince",25908,51894,216,181,168,8:28 AM,early,10,1:38 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Wilkes-Krier, Patrick",14001,33445,null,null,null,2:22 PM,late,10,9:12 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Wise, Aaron",22051,49964,448,466,148,8:17 AM,early,10,1:27 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Wu, Dylan",25002,54783,287,388,164,1:27 PM,late,1,8:17 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Yellamaraju, Sudarshan",29925,60386,108,103,53,12:10 PM,late,1,7:00 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Young, Cameron",26651,57366,6,3,3,12:54 PM,late,1,7:44 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Yu, Kevin",17881,45242,103,127,108,7:55 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
