player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Bezuidenhout, Christiaan",18103,pga,pga,pga-rbc canadian open-T54_pga-john deere classic-T12_pga-isco championship-T21_pga-corales puntacana championship-T69_pga-3m open-T20,0.38,-0.25
"Kuchar, Matt",6169,pga,pga,pga-the cj cup byron nelson-CUT_pga-charles schwab challenge-T22_pga-the memorial tournament presented by workday-T22_pga-john deere classic-T15_pga-3m open-CUT,0.37,0.32
"Hughes, Mackenzie",15556,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T46_pga-isco championship-T10_pga-corales puntacana championship-T20_pga-3m open-T44,0.36,0.23
"Hojgaard, Nicolai",23602,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-CUT_pga-travelers championship-T14_pga-genesis scottish open-T26_major-the open championship-CUT,0.34,-0.57
"Taylor, Nick",13126,pga,pga,pga-rbc canadian open-T65_major-u.s. open-CUT_pga-travelers championship-T25_pga-genesis scottish open-T26_major-the open championship-T59,0.33,-0.48
"Van Rooyen, Erik",17550,pga,pga,pga-charles schwab challenge-70_pga-rbc canadian open-T20_pga-john deere classic-T26_pga-genesis scottish open-CUT_pga-3m open-CUT,0.3,0.95
"Hodges, Lee",25157,pga,pga,pga-charles schwab challenge-T35_pga-rbc canadian open-CUT_pga-john deere classic-T3_pga-isco championship-CUT_pga-3m open-T20,0.28,0.16
"Kim, Michael",17543,pga,pga,pga-travelers championship-T30_pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T10,0.28,-0.22
"Cole, Eric",21756,pga,pga,pga-rbc canadian open-CUT_pga-travelers championship-T38_pga-john deere classic-T39_pga-genesis scottish open-70_major-the open championship-T53,0.27,-0.3
"Jennings, William",35417,am,pga,am-2026 sec men's golf championship stroke play-T3_am-ncaa marana regional-T1_am-ncaa di men's national championship stroke play-2_kft-bmw charity proam presented by td synnex-T12_am-southern amateur championship-T41,0.27,0.64
"Bauchou, Zach",19846,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-genesis scottish open-CUT_pga-corales puntacana championship-T9_pga-3m open-T44,0.19,0
"Im, Sungjae",17488,pga,pga,pga-travelers championship-T30_pga-john deere classic-T71_pga-genesis scottish open-CUT_major-the open championship-T14_pga-3m open-CUT,0.19,-0.01
"James, Ben",29827,pga,pga,major-u.s. open-T23_pga-travelers championship-T62_pga-isco championship-T15_pga-corales puntacana championship-T4_pga-3m open-CUT,0.19,-0.25
"Schmid, Matti",20722,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-CUT_euro-bmw international open-T23_pga-genesis scottish open-T21_pga-3m open-T44,0.17,0.08
"Yellamaraju, Sudarshan",29925,pga,pga,pga-rbc canadian open-T8_major-u.s. open-CUT_pga-john deere classic-CUT_pga-genesis scottish open-T52_pga-3m open-CUT,0.15,-0.03
"Dou, Zecheng",16757,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T21_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-T16,0.13,-0.06
"Knapp, Jake",19396,pga,pga,major-u.s. open-CUT_pga-travelers championship-T55_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-3m open-T13,0.13,-1.17
"Coody, Pierceson",28309,pga,pga,major-u.s. open-T23_pga-john deere classic-T39_pga-genesis scottish open-CUT_major-the open championship-T28_pga-3m open-CUT,0.11,-0.33
"Fishburn, Patrick",25094,pga,pga,pga-rbc canadian open-T29_pga-john deere classic-T67_pga-isco championship-CUT_pga-corales puntacana championship-T42_pga-3m open-T16,0.05,0.29
"Castillo, Ricky",27819,pga,pga,major-pga championship-CUT_pga-charles schwab challenge-T42_pga-rbc canadian open-T45_pga-genesis scottish open-T44_pga-3m open-T44,0.05,-0.34
"Hossler, Beau",15470,pga,pga,pga-rbc canadian open-T45_pga-john deere classic-T39_pga-isco championship-T21_pga-corales puntacana championship-T42_pga-3m open-56,0.03,0.18
