"RANK","PLAYER","STATUS","PAR 5 AVG","TOTAL PAR"
"107","Danny Walker","-93","4.60","1,150"
"112","Trevor Cone","-91","4.58","1,090"
"112","Taylor Montgomery","-91","4.57","1,050"
"114","Russell Henley","-90","4.59","1,090"
"114","Ben Silverman","-90","4.60","1,120"
"116","Byeong Hun An","-89","4.70","1,460"
"116","Hayden Buckley","-89","4.55","980"
"116","Patrick Cantlay","-89","4.64","1,220"
"116","Lanto Griffin","-89","4.62","1,160"
"116","Rory McIlroy","-89","4.48","860"
"116","Sam Ryder","-89","4.68","1,380"
"116","David Skinns","-89","4.63","1,210"
"123","Ryan Fox","-88","4.58","1,040"
"123","Will Gordon","-88","4.56","1,000"
"123","Patton Kizzire","-88","4.59","1,065"
"123","William Mouw","-88","4.62","1,150"
"123","Brandt Snedeker","-88","4.61","1,140"
"128","Erik van Rooyen","-87","4.59","1,070"
"129","Viktor Hovland","-86","4.57","990"
"130","Nicolai Højgaard","-85","4.48","810"
"131","Ben Martin","-84","4.51","860"
"132","Daniel Berger","-83","4.65","1,200"
"132","Thomas Detry","-83","4.66","1,230"
"132","Camilo Villegas","-83","4.64","1,145"
"135","Rafael Campos","-82","4.69","1,320"
"135","Min Woo Lee","-82","4.61","1,040"
"135","Ryan Palmer","-82","4.54","900"
"135","Matthieu Pavon","-82","4.68","1,300"
"135","Gary Woodland","-82","4.63","1,120"
"140","Brice Garnett","-81","4.63","1,080"
"140","Rasmus Højgaard","-81","4.60","1,010"
"140","Max Homa","-81","4.66","1,190"
"143","Niklas Norgaard","-80","4.56","910"
"144","Bud Cauley","-79","4.63","1,060"
"144","Lucas Glover","-79","4.65","1,120"
"144","Justin Rose","-79","4.57","910"
"147","Mason Andersen","-78","4.65","1,120"
"147","Matt Kuchar","-78","4.65","1,110"
"147","Sahith Theegala","-78","4.69","1,240"
"147","Jhonattan Vegas","-78","4.65","1,110"
"147","Carson Young","-78","4.69","1,260"
"152","Jason Day","-77","4.61","990"
"152","Tony Finau","-77","4.66","1,130"
"152","Braden Thornberry","-77","4.62","1,010"
"155","Nick Dunlap","-76","4.68","1,200"
"155","Garrick Higgo","-76","4.53","800"
"155","Karl Vilips","-76","4.60","940"
"158","Will Chandler","-74","4.70","1,240"
"158","Alejandro Tosti","-74","4.58","880"
"160","Zac Blair","-73","4.62","950"
"160","Nick Hardy","-73","4.64","1,010"
"162","Joseph Bramlett","-72","4.53","760"
"162","Rikuya Hoshino","-72","4.60","900"
"164","Kaito Onishi","-71","4.64","990"
"165","Peter Malnati","-70","4.65","1,000"
"166","Cam Davis","-69","4.64","970"
"166","Matthew Riedel","-69","4.69","1,100"
"168","Kevin Velo","-68","4.69","1,090"
"169","Frankie Capan III","-67","4.70","1,105"
"169","Cristobal Del Solar","-67","4.69","1,080"
"171","Nate Lashley","-66","4.61","850"
"171","Shane Lowry","-66","4.69","1,070"
"173","Brian Campbell","-65","4.68","1,020"
"174","Tim Widing","-63","4.60","780"
"175","Aldrich Potgieter","-62","4.65","890"
"176","Thriston Lawrence","-60","4.66","870"
"177","Taylor Dickson","-59","4.73","1,080"
"177","Matteo Manassero","-59","4.66","860"
"179","Zach Johnson","-57","4.66","830"
"180","Paul Peterson","-54","4.73","1,010"
