"RANK","PLAYER","TOTAL","TOTAL PAR 5 HOLES","TOTAL HOLE OUT"
"66","Adam Svensson","7","256","0"
"66","Danny Walker","7","230","2"
"66","Vince Whaley","7","314","1"
"92","Akshay Bhatia","6","276","0"
"92","Joseph Bramlett","6","152","1"
"92","Bud Cauley","6","212","2"
"92","Luke Clanton","6","184","1"
"92","Nick Dunlap","6","240","3"
"92","Ryan Fox","6","208","0"
"92","Doug Ghim","6","278","0"
"92","Adam Hadwin","6","276","0"
"92","Harry Higgs","6","270","0"
"92","Nicolai Højgaard","6","162","2"
"92","Max Homa","6","238","3"
"92","Beau Hossler","6","300","3"
"92","Takumi Kanaya","6","260","2"
"92","Taylor Montgomery","6","210","2"
"92","Seamus Power","6","266","0"
"92","Chad Ramey","6","276","2"
"92","Sepp Straka","6","238","1"
"92","Justin Thomas","6","258","1"
"92","Gary Woodland","6","224","4"
"111","Hayden Buckley","5","196","2"
"111","Rafael Campos","5","264","1"
"111","Will Chandler","5","248","2"
"111","Pierceson Coody","5","166","1"
"111","Cristobal Del Solar","5","216","0"
"111","Taylor Dickson","5","216","3"
"111","Tommy Fleetwood","5","228","1"
"111","Brice Garnett","5","216","1"
"111","Noah Goodwin","5","236","0"
"111","Russell Henley","5","218","1"
"111","Viktor Hovland","5","198","1"
"111","Mark Hubbard","5","300","1"
"111","Mackenzie Hughes","5","276","0"
"111","Thriston Lawrence","5","174","2"
"111","Min Woo Lee","5","208","3"
"111","David Lipsky","5","262","1"
"111","Peter Malnati","5","200","2"
"111","John Pak","5","246","1"
"111","Jeremy Paul","5","244","0"
"111","Victor Perez","5","260","0"
"111","Chandler Phillips","5","260","1"
"111","Sam Ryder","5","276","1"
"111","Adam Schenk","5","244","0"
"111","J.J. Spaun","5","279","2"
"111","Sahith Theegala","5","248","2"
"136","Mason Andersen","4","224","2"
"136","Daniel Berger","4","240","0"
"136","Jacob Bridgeman","4","288","2"
"136","Joel Dahmen","4","244","2"
"136","Harris English","4","266","0"
"136","Lucas Glover","4","224","2"
"136","Lanto Griffin","4","232","1"
"136","Emiliano Grillo","4","287","0"
"136","Nick Hardy","4","202","1"
"136","Brian Harman","4","266","1"
"136","Shane Lowry","4","214","0"
"136","Mac Meissner","4","266","3"
"136","William Mouw","4","230","1"
"136","Kaito Onishi","4","198","1"
"136","Paul Peterson","4","202","1"
"136","Andrew Putnam","4","259","1"
"136","Matthew Riedel","4","220","1"
"136","Justin Rose","4","182","3"
"136","Adam Scott","4","206","2"
"136","Ben Silverman","4","224","2"
"136","Brandt Snedeker","4","228","2"
"136","Nick Taylor","4","246","1"
"136","Braden Thornberry","4","202","1"
"136","Camilo Villegas","4","229","1"
"136","Tim Widing","4","156","1"
"136","Cameron Young","4","268","0"
"162","Byeong Hun An","3","292","1"
"162","Zac Blair","3","190","0"
"162","Frankie Capan III","3","221","0"
"162","Patrick Fishburn","3","270","1"
"162","Rickie Fowler","3","233","1"
"162","Garrick Higgo","3","160","1"
"162","Zach Johnson","3","166","0"
"162","Patton Kizzire","3","213","3"
"162","Nate Lashley","3","170","2"
"162","Robert MacIntyre","3","236","1"
"162","Matteo Manassero","3","172","0"
"162","Matt McCarty","3","268","1"
"162","Ryan Palmer","3","180","1"
"162","Aldrich Potgieter","3","178","0"
"162","Jhonattan Vegas","3","222","1"
"162","Kevin Velo","3","218","1"
"162","Carson Young","3","252","1"
"179","Brian Campbell","1","204","1"
