player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Conners, Corey",150,0.722,0.000,34,-0.008,-0.033,0.104,0.059,-0.036,0.001,-0.013,-0.019,-0.031,0.777,2.586,"Rocket Classic","Detroit Golf Club"
"Meissner, Mac",150,0.726,0.000,27,0.023,0.121,0.003,-0.058,-0.025,-0.001,0.002,-0.050,-0.049,0.741,2.531,"Rocket Classic","Detroit Golf Club"
"Smith, Jordan",150,0.535,0.000,33,-0.005,0.041,0.071,0.157,-0.044,-0.004,-0.014,0.002,-0.016,0.740,2.614,"Rocket Classic","Detroit Golf Club"
"Ghim, Doug",150,0.478,0.000,30,0.010,-0.033,0.045,0.198,0.044,-0.002,-0.010,-0.008,-0.020,0.720,2.574,"Rocket Classic","Detroit Golf Club"
"Hisatsune, Ryo",150,0.538,0.000,23,0.038,-0.015,-0.067,0.222,0.004,-0.002,-0.009,-0.006,-0.018,0.703,2.626,"Rocket Classic","Detroit Golf Club"
"Im, Sungjae",150,0.246,0.000,28,0.019,0.030,0.065,0.297,0.065,0.001,-0.008,-0.034,-0.040,0.681,2.628,"Rocket Classic","Detroit Golf Club"
"Brennan, Michael",150,0.433,0.000,24,0.036,0.081,0.020,0.138,-0.044,-0.018,0.003,0.017,0.002,0.666,2.699,"Rocket Classic","Detroit Golf Club"
"Neergaard-Petersen, Rasmus",150,0.488,0.000,27,0.025,0.020,0.064,0.088,-0.044,-0.005,-0.011,0.001,-0.015,0.627,2.624,"Rocket Classic","Detroit Golf Club"
"Kim, Michael",150,0.546,0.000,33,-0.002,-0.021,0.060,0.029,0.010,0.002,0.006,-0.038,-0.029,0.592,2.608,"Rocket Classic","Detroit Golf Club"
"Cole, Eric",150,0.668,0.000,38,-0.024,0.008,-0.070,0.027,0.017,0.002,0.009,-0.054,-0.043,0.582,2.648,"Rocket Classic","Detroit Golf Club"
"Wallace, Matt",150,0.612,0.000,36,-0.016,0.006,-0.054,-0.018,0.076,0.000,0.003,-0.027,-0.024,0.582,2.575,"Rocket Classic","Detroit Golf Club"
"Kohles, Ben",150,0.624,0.000,36,-0.017,-0.071,0.059,-0.033,0.011,0.011,-0.027,-0.003,-0.019,0.555,2.515,"Rocket Classic","Detroit Golf Club"
"Greyserman, Max",150,0.328,0.000,31,0.006,0.048,0.052,0.065,0.052,-0.009,0.013,-0.025,-0.021,0.529,2.667,"Rocket Classic","Detroit Golf Club"
"James, Ben",150,0.295,0.000,23,0.041,0.013,0.067,0.137,-0.010,-0.001,-0.008,-0.006,-0.015,0.529,2.608,"Rocket Classic","Detroit Golf Club"
