"RANK","PLAYER","AVG","TOTAL STROKES","TOTAL HOLES"
"127","Chandler Phillips","4.63","1,205","260"
"127","J.T. Poston","4.63","1,323","286"
"127","David Skinns","4.63","1,121","242"
"127","Gary Woodland","4.63","1,038","224"
"138","Patrick Cantlay","4.64","1,131","244"
"138","Cam Davis","4.64","901","194"
"138","Nick Hardy","4.64","937","202"
"138","Tom Kim","4.64","1,261","272"
"138","Denny McCarthy","4.64","1,234","266"
"138","Kaito Onishi","4.64","919","198"
"138","Camilo Villegas","4.64","1,062","229"
"145","Mason Andersen","4.65","1,042","224"
"145","Daniel Berger","4.65","1,117","240"
"145","Christiaan Bezuidenhout","4.65","1,275","274"
"145","Akshay Bhatia","4.65","1,284","276"
"145","Ryan Gerard","4.65","1,366","294"
"145","Lucas Glover","4.65","1,041","224"
"145","Adam Hadwin","4.65","1,284","276"
"145","Matt Kuchar","4.65","1,032","222"
"145","Peter Malnati","4.65","930","200"
"145","Aldrich Potgieter","4.65","828","178"
"145","Sam Stevens","4.65","1,506","324"
"145","Jhonattan Vegas","4.65","1,032","222"
"157","Thomas Detry","4.66","1,147","246"
"157","Tony Finau","4.66","1,053","226"
"157","Max Homa","4.66","1,109","238"
"157","Mackenzie Hughes","4.66","1,286","276"
"157","Zach Johnson","4.66","773","166"
"157","Thriston Lawrence","4.66","810","174"
"157","Matteo Manassero","4.66","801","172"
"164","Brian Campbell","4.68","955","204"
"164","Eric Cole","4.68","1,592","340"
"164","Nick Dunlap","4.68","1,124","240"
"164","Matthieu Pavon","4.68","1,218","260"
"164","Sam Ryder","4.68","1,291","276"
"169","Rafael Campos","4.69","1,238","264"
"169","Cristobal Del Solar","4.69","1,013","216"
"169","Shane Lowry","4.69","1,004","214"
"169","Matthew Riedel","4.69","1,031","220"
"169","Sahith Theegala","4.69","1,162","248"
"169","Kevin Velo","4.69","1,022","218"
"169","Carson Young","4.69","1,182","252"
"176","Byeong Hun An","4.70","1,371","292"
"176","Frankie Capan III","4.70","1,038","221"
"176","Will Chandler","4.70","1,166","248"
"179","Taylor Dickson","4.73","1,021","216"
"179","Paul Peterson","4.73","956","202"
