POS,PLAYER,THRU,R3,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
T33,Keegan Bradley,-8,70,-2.723,(69th),0.862,(27th),3.847,(1st),-1.43,(48th),0.555,(T33)
T33,Maverick McNealy,-8,71,-0.01,(38th),-1.082,(45th),2.15,(9th),-0.502,(43rd),0.555,(T33)
T40,Nick Taylor,-7,64,-0.533,(46th),-1.293,(50th),-2.385,(66th),3.767,(11th),-0.445,(T40)
T40,Mac Meissner,-7,67,0.969,(23rd),-3.166,(61st),1.317,(17th),0.436,(29th),-0.445,(T40)
T40,Rickie Fowler,-7,68,-0.294,(42nd),0.51,(29th),1.123,(21st),-1.783,(51st),-0.445,(T40)
T40,Michael Kim,-7,68,-0.191,(40th),0.068,(36th),0.081,(32nd),-0.402,(42nd),-0.445,(T40)
T40,Ben James,-7,71,1.444,(15th),-3.013,(60th),-1.032,(53rd),2.157,(22nd),-0.445,(T40)
T40,Brian Campbell,-7,72,-2.245,(67th),-0.131,(39th),-0.605,(44th),2.537,(20th),-0.445,(T40)
T46,Nicolai Højgaard,-6,67,0.304,(31st),-0.971,(44th),0.431,(28th),-1.208,(47th),-1.445,(T46)
T46,Xander Schauffele,-6,68,0.938,(24th),-2.29,(57th),1.898,(12th),-1.99,(54th),-1.445,(T46)
T46,Tony Finau,-6,68,-0.543,(47th),0.947,(26th),-0.322,(41st),-1.526,(50th),-1.445,(T46)
T46,Brandt Snedeker,-6,70,-0.937,(53rd),-4.385,(68th),-1.197,(57th),5.075,(4th),-1.445,(T46)
T50,Jake Knapp,-5,64,-3.063,(70th),-1.894,(55th),-1.1,(55th),3.613,(14th),-2.445,(T50)
T50,Jason Day,-5,67,0.787,(25th),-4.509,(69th),-0.142,(37th),1.42,(25th),-2.445,(T50)
T50,Harry Hall,-5,68,-1.402,(60th),-4.311,(67th),0.038,(33rd),3.231,(15th),-2.445,(T50)
T50,Alex Noren,-5,70,-0.442,(44th),-3.342,(62nd),-2.401,(67th),3.741,(12th),-2.445,(T50)
T50,J.T. Poston,-5,71,0.079,(35th),-0.692,(42nd),2.067,(10th),-3.898,(64th),-2.445,(T50)
T55,Adam Scott,-4,64,-0.97,(56th),1.938,(17th),-2.093,(64th),-2.319,(57th),-3.445,(T55)
T55,Jacob Bridgeman,-4,66,0.662,(T27),-1.843,(54th),-0.173,(38th),-2.09,(55th),-3.445,(T55)
T55,Andrew Novak,-4,67,0.146,(34th),-1.098,(46th),-0.269,(40th),-2.223,(56th),-3.445,(T55)
T55,Ludvig Åberg,-4,69,-0.946,(55th),2.27,(15th),-0.11,(36th),-4.658,(66th),-3.445,(T55)
T55,Ryan Gerard,-4,70,1.231,(T17),-3.64,(64th),-0.636,(46th),-0.399,(41st),-3.445,(T55)
T55,Jhonattan Vegas,-4,72,-0.716,(50th),-3.743,(66th),1.268,(18th),-0.253,(36th),-3.445,(T55)
T55,Taylor Pendrith,-4,72,-1.115,(57th),-2.561,(58th),-0.69,(49th),0.922,(26th),-3.445,(T55)
T62,Sahith Theegala,-2,67,-0.942,(54th),-4.712,(70th),0.472,(27th),-0.262,(37th),-5.445,(T62)
T62,Sam Stevens,-2,69,1.491,(14th),-4.807,(71st),-1.738,(61st),-0.39,(40th),-5.445,(T62)
T62,Alex Smalley,-2,71,-0.287,(41st),-3.355,(63rd),-2.631,(68th),0.829,(27th),-5.445,(T62)
65,Cameron Young,-1,66,1.781,(8th),-1.593,(51st),-0.672,(47th),-5.96,(70th),-6.445,(65th)
66,Min Woo Lee,E,69,-1.529,(61st),1.353,(22nd),-1.769,(62nd),-5.499,(69th),-7.445,(66th)
T67,Lucas Glover,2,68,1.875,(7th),-3.733,(65th),-2.787,(69th),-4.799,(67th),-9.445,(T67)
T67,Mark Hubbard,2,72,-1.965,(66th),-1.165,(47th),0.727,(24th),-7.041,(71st),-9.445,(T67)
T69,Ryan Fox,3,71,-4.524,(72nd),-1.814,(53rd),-4.464,(72nd),0.358,(31st),-10.445,(T69)
T69,Jordan Spieth,3,73,-4.265,(71st),-2.031,(56th),-0.26,(39th),-3.888,(63rd),-10.445,(T69)
T69,Gary Woodland,3,74,-1.166,(58th),0.583,(28th),-1.621,(60th),-8.24,(72nd),-10.445,(T69)
72,Sepp Straka,8,73,-1.193,(59th),-6.781,(72nd),-2.303,(65th),-5.167,(68th),-15.445,(72nd)
