POS,Player,Total,1,2,3,4,5,6,7,8,9,OUT,10,11,12,13,14,15,16,17,18,IN,TOT,RD3
T22,C. Conners,-10,3,4,4,4,3,5,4,3,4,34,4,2,4,4,4,4,3,4,4,33,67,-3
T22,B. Cauley,-10,4,3,5,4,3,5,4,3,4,35,5,3,4,3,4,4,3,4,5,35,70,E
T28,R. Henley,-9,4,4,4,4,3,4,4,3,4,34,4,3,4,4,4,3,2,3,4,31,65,-5
T28,D. McCarthy,-9,4,4,4,5,3,5,4,3,3,35,4,2,4,3,4,3,3,4,4,31,66,-4
T28,N. Echavarria,-9,4,4,4,4,2,4,4,2,4,32,5,3,4,5,4,4,3,4,4,36,68,-2
T28,K. Kitayama,-9,6,3,4,4,3,4,4,2,4,34,4,3,4,4,4,4,3,5,4,35,69,-1
T28,T. Fleetwood,-9,4,4,4,4,3,5,3,2,4,33,4,4,4,5,5,4,3,4,4,37,70,E
T33,M. McCarty,-8,4,4,4,4,2,4,3,3,4,32,4,3,3,3,3,4,3,4,4,31,63,-7
T33,R. Hisatsune,-8,4,4,3,3,4,5,3,3,4,33,3,3,4,4,4,3,3,3,4,31,64,-6
T33,T. Hoge,-8,5,3,4,5,2,4,4,3,4,34,4,2,3,6,4,3,2,4,3,31,65,-5
T33,D. Berger,-8,4,3,4,4,3,5,5,2,3,33,4,2,4,4,4,3,3,4,4,32,65,-5
T33,H. English,-8,5,4,4,4,4,5,4,3,3,36,5,3,4,4,4,4,3,3,4,34,70,E
T33,K. Bradley,-8,4,4,4,4,3,5,5,3,5,37,4,2,4,4,5,2,4,4,4,33,70,E
T33,M. McNealy,-8,5,3,4,4,2,4,4,3,4,33,4,3,4,4,5,3,4,5,6,38,71,1
T40,N. Taylor,-7,3,3,3,4,4,4,5,3,4,33,3,3,4,4,4,3,3,4,3,31,64,-6
T40,M. Meissner,-7,3,4,4,4,3,4,5,3,5,35,4,3,3,4,4,4,3,3,4,32,67,-3
T40,R. Fowler,-7,4,3,4,4,3,4,4,2,4,32,4,3,6,4,4,4,3,4,4,36,68,-2
T40,M. Kim,-7,5,4,3,4,3,4,3,3,4,33,4,2,4,5,4,5,3,4,4,35,68,-2
T40,B. James,-7,4,3,4,4,3,7,4,3,4,36,3,3,4,4,5,4,4,4,4,35,71,1
T40,B. Campbell,-7,4,3,4,4,3,5,4,3,5,35,5,3,5,6,3,4,3,3,5,37,72,2
T46,N. Højgaard,-6,4,4,5,5,3,3,3,3,4,34,4,3,5,4,3,3,3,5,3,33,67,-3
T46,X. Schauffele,-6,4,4,4,4,3,4,5,3,4,35,4,2,4,5,4,3,3,4,4,33,68,-2
T46,T. Finau,-6,6,4,4,5,3,4,3,3,4,36,4,4,3,3,4,3,3,4,4,32,68,-2
T46,B. Snedeker,-6,4,4,3,5,4,5,4,3,3,35,4,3,3,7,4,3,2,4,5,35,70,E
T50,J. Knapp,-5,5,3,3,5,3,4,4,2,3,32,3,3,4,3,3,4,3,4,5,32,64,-6
T50,J. Day,-5,4,4,4,4,3,4,4,3,3,33,5,3,4,4,3,3,4,4,4,34,67,-3
T50,H. Hall,-5,4,4,4,5,3,5,4,2,4,35,3,3,4,5,3,4,3,4,4,33,68,-2
T50,A. Noren,-5,4,4,3,5,3,4,5,3,4,35,4,3,4,4,4,6,2,4,4,35,70,E
T50,J.T. Poston,-5,4,3,4,4,3,4,5,2,4,33,5,3,4,4,5,4,3,6,4,38,71,1
T55,A. Scott,-4,3,4,3,4,3,4,3,3,4,31,4,3,3,4,5,3,3,4,4,33,64,-6
T55,J. Bridgeman,-4,4,4,4,4,3,5,3,3,4,34,4,3,3,4,4,4,2,4,4,32,66,-4
T55,A. Novak,-4,4,4,4,4,3,4,5,3,4,35,3,3,4,5,3,3,3,4,4,32,67,-3
T55,L. Åberg,-4,3,3,5,4,3,5,4,3,4,34,3,3,6,4,4,4,3,4,4,35,69,-1
T55,R. Gerard,-4,4,3,5,5,4,5,4,2,3,35,4,3,4,4,4,4,3,4,5,35,70,E
T55,J. Vegas,-4,4,4,4,5,3,6,4,3,4,37,5,3,5,3,4,3,4,4,4,35,72,2
T55,T. Pendrith,-4,5,3,4,4,3,4,4,3,4,34,4,3,5,4,6,3,4,4,5,38,72,2
T62,S. Theegala,-2,4,3,3,5,3,4,4,3,4,33,3,3,5,3,5,3,4,4,4,34,67,-3
T62,S. Stevens,-2,4,5,3,3,4,4,5,3,3,34,4,4,4,4,4,4,3,3,5,35,69,-1
T62,A. Smalley,-2,4,4,4,5,4,4,3,3,5,36,4,6,3,4,4,4,3,3,4,35,71,1
65,Cam. Young,-1,4,4,4,4,3,4,4,3,4,34,4,2,4,3,4,4,3,4,4,32,66,-4
66,M. Lee,E,3,4,4,3,3,5,4,3,4,33,4,2,4,5,4,6,4,3,4,36,69,-1
T67,L. Glover,2,4,4,3,4,3,5,4,3,4,34,4,2,3,5,4,5,3,4,4,34,68,-2
T67,M. Hubbard,2,4,3,4,5,4,5,5,4,5,39,4,2,5,4,4,4,3,3,4,33,72,2
T69,R. Fox,3,4,5,5,5,3,4,4,3,4,37,4,4,4,4,3,4,3,4,4,34,71,1
T69,J. Spieth,3,4,4,4,4,2,5,4,3,4,34,4,3,7,6,4,4,3,3,5,39,73,3
T69,G. Woodland,3,4,4,4,5,3,5,4,3,4,36,4,4,4,5,4,6,3,4,4,38,74,4
72,S. Straka,8,5,4,5,4,3,4,4,4,5,38,5,3,4,6,4,4,2,3,4,35,73,3
