event_name,course_name,player_name,dg_id,player_num,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
3M Open,TPC Twin Cities,"Olesen, Thorbjorn",13412,33968,6:56 AM,early,10,12:11 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Parry, John",13764,28723,1:50 PM,late,10,8:35 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Paul, Jeremy",22087,50582,1:28 PM,late,10,8:13 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Pavon, Matthieu",19960,48153,7:51 AM,early,10,1:06 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Pendrith, Taylor",17780,40250,7:18 AM,early,1,12:33 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Peterson, Paul",16341,36824,1:39 PM,late,10,8:24 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Phillips, Chandler",27164,57900,8:13 AM,early,1,1:28 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Potgieter, Aldrich",27900,63343,12:44 PM,late,10,7:29 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Power, Seamus",10104,28252,1:17 PM,late,1,8:02 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Putnam, Andrew",14704,34256,8:02 AM,early,10,1:17 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Ramey, Chad",19840,47983,8:13 AM,early,1,1:28 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Riley, Davis",19872,47995,7:18 AM,early,1,12:33 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Rodgers, Patrick",16283,36699,8:02 AM,early,10,1:17 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Roy, Kevin",18424,39335,8:02 AM,early,1,1:17 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Rozo, Marcelo",16591,37076,8:24 AM,early,1,1:39 PM,late,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Sandhu, Sihan",30039591,70869,2:01 PM,late,10,8:46 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Sargent, Gordon",30814,64442,1:28 PM,late,1,8:13 AM,early,10,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Scheffler, Scottie",18417,46046,7:29 AM,early,10,12:44 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Schenk, Adam",19477,47347,12:55 PM,late,10,7:40 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Schmid, Matti",20722,48867,12:11 PM,late,10,6:56 AM,early,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Schultz, Cooper",31250,65140,8:46 AM,early,10,2:01 PM,late,1,null,null,null,null,null,null,2
3M Open,TPC Twin Cities,"Shipley, Neal",32055,63807,2:01 PM,late,1,8:46 AM,early,10,null,null,null,null,null,null,2
