player,player_display,final_pos_str,final_pos_int,final_score,rank_model,tier,vts_final,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_history_delta,venue_history_rounds,venue_history_sg,anti_pattern_flags,anti_pattern_penalty_total,primary_trait_driver
Robert MacIntyre,"Macintyre, Robert",T10,10,-16.0,43,4,40.72577492150505,1.38,56.763285024154584,51.902763049876945,-4.860521974277638,2.2864,8.0,1.686,bomb_and_spray;wedge_liability,-6.618144001559935,PUTT_BirdieConv
Russell Henley,"Henley, Russell",T12,12,-15.0,3,2,66.94017596654508,1.86,68.35748792270532,80.58500265820987,12.227514735504556,1.4056,30.0,1.445,,0.0,OTT_Accuracy
Sam Burns,"Burns, Sam",T12,12,-15.0,18,3,50.32896855647397,1.6,62.077294685990346,63.17659614768619,1.0993014616958448,0.7496,22.0,0.84,bomb_and_spray;rough_approach_liab,-4.339904081114014,PUTT_BirdieConv
Tommy Fleetwood,"Fleetwood, Tommy",T14,14,-14.0,2,2,67.64707437419702,2.09,73.91304347826086,77.26015603630896,3.347112558048096,1.0136,18.0,1.76,,0.0,OTT_Accuracy
Hideki Matsuyama,"Matsuyama, Hideki",T14,14,-14.0,20,4,49.92435271438166,1.24,53.3816425120773,58.789944695006675,5.408302182929376,0.8928,12.0,1.619,poor_birdie_conv,-2.1665638494756303,ARG_Bunker
Patrick Cantlay,"Cantlay, Patrick",T14,14,-14.0,21,4,49.611459682251315,1.55,60.86956521739131,62.836426519499106,1.9668613021077945,1.5928,40.0,1.778,bomb_and_spray;poor_birdie_conv,-4.532567180277471,APP_100-150
Denny McCarthy,"Mccarthy, Denny",T14,14,-14.0,29,4,45.36723266278507,0.53,36.23188405797102,51.938930131988876,15.707046074017853,0.976,25.0,0.769,,0.0,PUTT_BirdieConv
Keegan Bradley,"Bradley, Keegan",T14,14,-14.0,38,4,42.58149597677334,1.02,48.06763285024155,49.65067461215136,1.5830417619098114,1.4664,56.0,1.364,wedge_liability,-3.4903397734843433,ARG_Bunker
Nicolai Højgaard,"Hojgaard, Nicolai",T14,14,-14.0,46,4,40.32037571997778,1.07,49.275362318840585,50.04967966100207,0.7743173421614813,0.0,0.0,nan,bomb_and_spray;rough_approach_liab,-4.6323567678636985,OTT_Distance
Bud Cauley,"Cauley, Bud",T14,14,-14.0,47,4,39.769507435333246,0.65,39.1304347826087,48.96139411809935,9.830959335490647,-0.3263999999999999,27.0,0.245,poor_birdie_conv,-2.736582356570017,ARG_Rough
Justin Thomas,"Thomas, Justin",T14,14,-14.0,49,4,39.139142685500204,1.15,51.20772946859904,47.037822802009856,-4.169906666589185,0.588,34.0,1.134,bomb_and_spray;wedge_liability,-5.315847971271184,ARG_Rough
Shane Lowry,"Lowry, Shane",T22,22,-13.0,17,3,50.676770005496806,1.1,50.000000000000014,64.91752889593126,14.917528895931241,0.084,18.0,1.003,rough_approach_liab,-1.9118443316412863,APP_Wedge
Kristoffer Reitan,"Reitan, Kristoffer",T22,22,-13.0,53,4,36.46302532956389,0.89,44.927536231884055,50.907428822243716,5.979892590359661,0.0,0.0,nan,wedge_liability;rough_approach_liab,-5.428233969232018,OTT_Distance
Justin Rose,"Rose, Justin",T25,25,-12.0,7,3,60.2298481957415,1.57,61.352657004830924,69.04821797936378,7.69556097453286,-0.08560000000000001,38.0,0.811,,0.0,APP_Wedge
Brian Harman,"Harman, Brian",T25,25,-12.0,22,4,48.99231354127339,0.71,40.57971014492754,54.98543161100791,14.405721466080372,4.216,56.0,1.614,,0.0,ARG_Rough
Nick Taylor,"Taylor, Nick",T25,25,-12.0,25,4,48.70167544937176,0.84,43.71980676328503,56.34664248019253,12.6268357169075,-2.3007999999999997,25.0,-0.746,,0.0,ARG_Bunker
Kurt Kitayama,"Kitayama, Kurt",T25,25,-12.0,42,4,40.962810411094196,1.24,53.3816425120773,61.565265808037786,8.183623295960487,0.7064,6.0,0.692,bomb_and_spray;poor_birdie_conv;rough_approach_liab,-7.035673168074029,OTT_Distance
Daniel Berger,"Berger, Daniel",T25,25,-12.0,55,4,35.56238446860132,0.38,32.60869565217392,58.13041857910228,25.521722926928362,-0.2288,18.0,0.878,poor_birdie_conv;rough_approach_liab,-4.925789682999465,APP_Wedge
Aaron Rai,"Rai, Aaron",T30,30,-11.0,24,4,48.7456387026447,0.98,47.10144927536232,67.06193622628446,19.96048695092214,0.8408000000000001,12.0,1.358,poor_birdie_conv,-2.7328809376927827,OTT_Accuracy
Chris Gotterup,"Gotterup, Chris",T30,30,-11.0,26,4,48.6737609301434,1.47,58.937198067632856,53.83329827431456,-5.103899793318298,1.0192,8.0,0.101,bomb_and_spray,-3.1784338896020534,OTT_Distance
Michael Kim,"Kim, Michael",T30,30,-11.0,32,4,44.43302387477016,0.54,36.473429951690825,49.550039646979435,13.07660969528861,-0.07119999999999999,22.0,-0.66,,0.0,PUTT_BirdieConv
Matt McCarty,"Mccarty, Matt",T30,30,-11.0,54,4,35.93209561669348,0.73,41.06280193236715,53.611287949367465,12.548486017000315,0.0,0.0,nan,wedge_liability;rough_approach_liab,-5.0750503612368965,PUTT_BirdieConv
Andrew Novak,"Novak, Andrew",T30,30,-11.0,60,5,29.09876438702393,0.31,30.917874396135268,43.06834259093629,12.150468194801022,0.9344,10.0,0.405,wedge_liability;poor_birdie_conv,-5.734604074355529,OTT_Distance
Nico Echavarria,"Echavarria, Nico",T30,30,-11.0,62,5,26.755598339577997,0.35,31.88405797101449,47.80016751705784,15.916109546043348,-0.05280000000000001,2.0,-1.656,wedge_liability;rough_approach_liab,-5.533152179426914,PUTT_BirdieConv
Sungjae Im,"Im, Sungjae",T30,30,-11.0,66,5,20.09231821652965,0.14,26.811594202898547,31.29988661660005,4.488292413701501,-0.1288,20.0,1.062,wedge_liability;poor_birdie_conv,-7.491822724804889,ARG_Bunker
Jackson Suber,"Suber, Jackson",T30,30,-11.0,69,5,13.184430128892267,-0.01,23.18840579710145,37.33274557227811,14.144339775176658,0.0,0.0,nan,wedge_liability;poor_birdie_conv;rough_approach_liab,-7.830855789139923,OTT_Distance
Rickie Fowler,"Fowler, Rickie",T38,38,-10.0,13,3,53.54110562931707,1.18,51.93236714975845,59.39999589804566,7.467628748287211,-0.17279999999999995,26.0,0.561,,0.0,OTT_Accuracy
Harris English,"English, Harris",T38,38,-10.0,19,3,50.31048191239257,1.46,58.69565217391304,62.21030642967766,3.5146542557646185,0.8759999999999999,43.0,0.686,wedge_liability,-3.546835443037975,PUTT_BirdieConv
Eric Cole,"Cole, Eric",T38,38,-10.0,28,4,45.80356818731969,0.65,39.1304347826087,48.421447580920706,9.291012798312003,2.0832,11.0,1.02,,0.0,ARG_Bunker
Brandt Snedeker,"Snedeker, Brandt",T38,38,-10.0,41,4,41.10157674375249,-0.02,22.946859903381643,56.06704260799944,33.1201827046178,0.34240000000000004,36.0,0.609,,0.0,ARG_Bunker
Ryo Hisatsune,"Hisatsune, Ryo",T38,38,-10.0,63,5,24.779693056947416,0.11,26.086956521739136,45.74114478479515,19.65418826305601,0.0,0.0,nan,poor_birdie_conv;rough_approach_liab,-4.584469385007062,OTT_Distance
Tom Hoge,"Hoge, Tom",T38,38,-10.0,67,5,18.35392120987894,-0.61,8.695652173913043,33.99989211106587,25.304239937152825,-0.33759999999999996,37.0,-0.049,poor_birdie_conv;rough_approach_liab,-5.111513646503016,APP_Wedge
Si Woo Kim,"Kim, Si Woo",T44,44,-9.0,15,3,51.98557960975457,1.46,58.69565217391304,66.27121463674058,7.575562462827541,-0.56,25.0,0.426,poor_birdie_conv,-3.1030228254164087,OTT_Accuracy
