"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment"
"SCOTT","ADAM","+0.00","-0.00","-0.11","+0.00","-0.10"
"MCNEALY","MAVERICK","-0.01","-0.00","-0.09","+0.00","-0.11"
"STEVENS","SAM","+0.00","-0.00","-0.11","-0.00","-0.11"
"HOWELL","MASON","+0.01","+0.00","-0.13","+0.00","-0.11"
"FOX","RYAN","-0.00","-0.00","-0.11","+0.00","-0.11"
"NICHOLAS","JAMES","+0.01","+0.00","-0.12","+0.00","-0.11"
"CHACARRA","EUGENIO","-0.00","-0.00","-0.11","-0.00","-0.12"
"CLARK","WYNDHAM","-0.02","-0.00","-0.10","+0.00","-0.12"
"HILLIER","DANIEL","+0.00","-0.00","-0.12","-0.00","-0.12"
"DOCHERTY","ALISTAIR","+0.01","+0.00","-0.12","+0.00","-0.12"
"DU PLESSIS","HENNIE","+0.01","-0.00","-0.13","+0.00","-0.12"
"PLUNKETT","MARCUS","+0.01","+0.00","-0.14","+0.00","-0.12"
"SCHEFFLER","SCOTTIE","-0.01","-0.00","-0.11","-0.00","-0.13"
"SURRATT","CALEB","-0.00","+0.00","-0.13","+0.00","-0.13"
"DAFFUE","MJ","+0.00","+0.00","-0.14","+0.00","-0.14"
"GREYSERMAN","MAX","-0.01","-0.00","-0.14","+0.00","-0.14"
"BURNS","SAM","-0.01","-0.00","-0.13","+0.00","-0.14"
"REITAN","KRISTOFFER","-0.00","-0.00","-0.14","-0.00","-0.14"
"THORBJORNSEN","MICHAEL","-0.00","-0.00","-0.15","-0.00","-0.15"
"MITCHELL","KEITH","-0.00","-0.00","-0.15","+0.00","-0.15"
"RUITER","NEVILL","+0.01","+0.00","-0.17","+0.00","-0.16"
"KITAYAMA","KURT","-0.00","-0.00","-0.16","+0.00","-0.16"
"WOODLAND","GARY","+0.00","-0.00","-0.17","-0.00","-0.17"
"YOUNG","CAMERON","-0.01","-0.00","-0.16","-0.00","-0.17"
"KEEFER","JOHNNY","+0.01","-0.00","-0.18","+0.00","-0.17"
"AYORA","ANGEL","+0.00","-0.00","-0.18","+0.00","-0.18"
"COODY","PIERCESON","+0.00","-0.00","-0.19","+0.00","-0.19"
"ABERG","LUDVIG","-0.01","-0.00","-0.19","-0.00","-0.19"
"NIEMANN","JOAQUIN","-0.00","-0.00","-0.20","+0.00","-0.20"
"SCHAUFFELE","XANDER","-0.01","-0.00","-0.20","-0.00","-0.20"
"KNAPP","JAKE","-0.00","-0.00","-0.21","+0.00","-0.21"
"RAHM","JON","-0.01","-0.00","-0.21","-0.00","-0.22"
"SVENSSON","JESPER","+0.00","+0.00","-0.23","+0.00","-0.22"
"LEE","MIN WOO","-0.01","-0.00","-0.22","-0.00","-0.23"
"BALLESTER","JOSE LUIS","+0.01","+0.00","-0.24","+0.00","-0.23"
"HOJGAARD","RASMUS","-0.00","+0.00","-0.24","+0.00","-0.24"
"PUIG","DAVID","-0.01","+0.00","-0.25","+0.00","-0.25"
"GOTTERUP","CHRIS","-0.01","-0.00","-0.26","+0.00","-0.27"
"HOJGAARD","NICOLAI","-0.00","-0.00","-0.27","+0.00","-0.27"
"BRENNAN","MICHAEL","+0.01","-0.00","-0.29","+0.00","-0.29"
"PENGE","MARCO","+0.00","+0.00","-0.30","+0.00","-0.30"
"DECHAMBEAU","BRYSON","-0.00","-0.00","-0.31","+0.00","-0.31"
"MCILROY","RORY","-0.01","-0.00","-0.34","+0.00","-0.34"
"POTGIETER","ALDRICH","+0.00","-0.00","-0.37","+0.00","-0.36"
