event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Kataoka, Naoyuki",18994,46879,null,387,null,4:10 PM,late,1,11:04 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Keefer, Johnny",32457,63454,81,58,71,1:42 PM,late,1,8:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kim, Michael",17543,39975,73,55,65,6:46 AM,early,1,11:52 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kim, Si Woo",14609,37455,10,21,7,10:20 AM,early,1,3:26 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kim, Tom",24766,55182,41,33,32,1:31 PM,late,1,8:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kitayama, Kurt",21891,48117,29,36,29,12:25 PM,late,1,7:19 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Knapp, Jake",19396,47420,39,45,38,7:52 AM,early,1,12:58 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Kobori, Kazuma",24369,54621,241,211,null,10:42 AM,early,1,3:48 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Koepka, Brooks",16243,36689,79,118,84,2:53 PM,late,1,9:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"LaCroix, Frederic",23733,52585,304,254,null,11:04 AM,early,1,4:10 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Lagergren, Joakim",14780,34317,336,160,null,8:36 AM,early,1,1:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Laopakdee, Fifa",27019,70146,null,null,null,7:41 AM,early,1,12:47 PM,late,1,null,null,null,null,null,null,1
