playerName,dg_id,tier,vtsFinal,prePenaltyVTS,penaltyTotal,neutralSkillSG,neutralSkillIndex,venueFitScore,venueFitDelta,venueHistoryRounds,venueHistorySG,venueHistoryDelta,blendClass,winPct,top5Pct,top10Pct,top20Pct,makeCutPct,missCutPct,sgOTT_L12,sgAPP_L12,sgARG_L12,sgPUTT_L12,sgTotal_L12,dgFinalPrediction,dgCourseFitAdj,country,owgr,formTrend,volatilityIndex,datadepthClass,hardGateTriggered,isDebut,bettingUseCase,fragility
Adrien Saddier,14792,T5,-0.561,-0.311,-0.25,-0.2893,41.8,-0.0252,-0.055,0,,0.0,0-2,0.12,0.8,1.9,4.4,39.1,60.9,0.126,-0.052,-0.065,-0.139,-0.129,-0.223,0.028,FRA,128,cool,standard,DEEP,False,True,Avoid,High
MJ Daffue,17068,T5,-0.592,-0.402,-0.19,-0.3815,40.3,0.0,-0.05,0,,0.0,0-2,0.12,0.8,1.8,4.3,38.3,61.7,0.0,0.0,0.0,0.0,0.0,-0.85,-0.137,RSA,227,hot,standard,DEEP,False,True,Avoid,High
Ren Yonezawa,25739,T5,-0.642,-0.422,-0.22,-0.4025,40.0,0.0,-0.05,0,,0.0,0-2,0.11,0.7,1.7,4.1,37.0,63.0,0.0,0.0,0.0,0.0,0.0,-0.752,0.137,JPN,249,neutral,standard,DEEP,False,True,Avoid,High
Kazuma Kobori,24369,T5,-0.692,-0.472,-0.22,-0.405,40.0,-0.1183,-0.168,0,,0.0,0-2,0.1,0.7,1.7,3.9,35.6,64.4,-0.346,-0.018,-0.05,0.015,-0.398,-0.239,0.321,JPN,211,neutral,high,DEEP,False,True,Avoid,High
Francesco Laporta,14987,T5,-0.726,-0.276,-0.45,-0.2449,42.5,-0.0485,-0.079,0,,0.0,0-2,0.1,0.7,1.6,3.8,34.8,65.2,0.082,-0.061,-0.067,-0.179,-0.226,-0.477,0.061,ITA,222,cold,standard,DEEP,False,True,Avoid,High
Henrik Stenson,5994,T5,-0.733,-0.733,0.0,-0.9805,31.0,-0.1967,-0.187,8,2.46,1.032,5+,0.1,0.6,1.6,3.8,34.6,65.4,-0.072,-0.043,-0.222,-0.71,-1.047,-0.559,0.187,SWE,,neutral,standard,DEEP,False,False,Avoid,High
Austen Truslow,18239,T5,-0.746,-0.526,-0.22,-0.5061,38.4,0.0,-0.05,0,,0.0,0-2,0.1,0.6,1.6,3.7,34.3,65.7,0.0,0.0,0.0,0.0,0.0,-1.127,0.008,USA,396,neutral,standard,DEEP,False,True,Avoid,High
James Nicholas,27598,T5,-0.778,-0.558,-0.22,-0.5376,37.9,0.0,-0.05,0,,0.0,0-2,0.09,0.6,1.5,3.6,33.4,66.6,0.0,0.0,0.0,0.0,0.0,-1.377,-0.114,USA,292,neutral,standard,DEEP,False,True,Avoid,High
Kazuki Higa,15756,T5,-0.786,-0.566,-0.22,-0.546,37.8,0.0,-0.05,0,,0.0,0-2,0.09,0.6,1.5,3.6,33.2,66.8,0.0,0.0,0.0,0.0,0.0,-0.858,0.197,JPN,177,neutral,standard,DEEP,False,True,Avoid,High
Martin Couvra,27811,T5,-0.83,-0.43,-0.4,-0.3667,40.6,-0.1075,-0.158,0,,0.0,0-2,0.09,0.6,1.4,3.4,32.1,67.9,0.006,-0.175,-0.047,-0.073,-0.289,-0.437,0.046,FRA,169,cool,standard,DEEP,False,True,Avoid,High
Ryutaro Nagano,10523,T5,-0.845,-0.625,-0.22,-0.6048,36.8,0.0,-0.05,0,,0.0,0-2,0.08,0.6,1.4,3.4,31.8,68.2,0.0,0.0,0.0,0.0,0.0,-1.124,0.033,JPN,491,neutral,standard,DEEP,False,True,Avoid,High
Padraig Harrington,5716,T5,-0.865,-0.595,-0.27,-0.8696,32.7,-0.2076,-0.138,6,2.751,1.086,5+,0.08,0.6,1.4,3.3,31.3,68.7,-0.535,-0.018,0.067,-0.427,-0.913,-0.426,0.08,IRL,,hot,standard,DEEP,True,False,Avoid,High
Frederic LaCroix,23733,T5,-0.88,-0.66,-0.22,-0.5869,37.1,-0.1243,-0.184,0,,0.0,0-2,0.08,0.5,1.4,3.3,30.9,69.1,0.03,-0.119,-0.135,-0.288,-0.512,-0.685,0.01,FRA,254,neutral,standard,DEEP,False,True,Avoid,High
Michael Hollick,15993,T5,-0.89,-0.82,-0.07,-0.7584,34.4,-0.1982,-0.128,0,,0.0,0-2,0.08,0.5,1.4,3.3,30.7,69.3,-0.443,-0.086,0.027,-0.241,-0.743,-0.833,0.146,ENG,149,warm,standard,DEEP,False,True,Avoid,High
Jack McDonald,16372,T5,-0.935,-0.855,-0.08,-0.8834,32.5,0.0,0.07,0,,0.0,0-2,0.08,0.5,1.3,3.1,29.6,70.4,0.0,0.0,0.0,0.0,0.0,-1.359,0.175,SCO,,neutral,standard,DEEP,False,True,Avoid,High
Sam Bairstow,28615,T5,-0.963,-0.853,-0.11,-0.7498,34.6,-0.255,-0.225,0,,0.0,0-2,0.07,0.5,1.3,3.1,28.9,71.1,0.016,-0.397,-0.216,-0.065,-0.663,-0.72,-0.05,ENG,389,cool,standard,DEEP,False,True,Avoid,High
Joakim Lagergren,14780,T5,-0.985,-0.875,-0.11,-0.7447,34.6,-0.3395,-0.3,0,,0.0,0-2,0.07,0.5,1.2,3.0,28.4,71.6,-0.241,-0.497,-0.154,0.107,-0.786,-0.807,-0.063,SWE,160,cool,standard,DEEP,False,True,Avoid,High
Caleb Surratt,30463,T5,-0.997,-0.547,-0.45,-0.4245,39.7,-0.2465,-0.306,0,,0.0,0-2,0.07,0.5,1.2,3.0,28.2,71.8,0.062,-0.509,-0.188,0.248,-0.386,-0.933,-0.131,USA,293,cold,standard,DEEP,False,True,Avoid,High
Baard Skogen,22489,T5,-1.06,-0.98,-0.08,-0.9996,30.7,0.0,0.05,0,,0.0,0-2,0.06,0.4,1.1,2.8,26.7,73.3,0.0,0.0,0.0,0.0,0.0,-1.411,0.072,NOR,,neutral,standard,DEEP,False,True,Avoid,High
Trav Smyth,19232,T5,-1.064,-0.654,-0.41,-0.6017,36.9,-0.1685,-0.119,0,,0.0,0-2,0.06,0.4,1.1,2.8,26.6,73.4,-0.516,-0.035,0.087,-0.165,-0.629,-0.918,0.067,AUS,145,cool,standard,DEEP,True,True,Avoid,High
