Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Jesper Svensson,0.16,-1.72,0.9,-0.91,-1.56
Jack Buchanan,-0.59,-2.05,0.06,1.02,-1.56
Sam Burns,1.07,0.11,-0.78,-1.96,-1.56
Wyndham Clark,0.94,0.31,-1.65,-1.16,-1.56
Tim Wiedemeyer,0.22,-3.44,3.28,-1.61,-1.56
Peter Uihlein,-2.28,-1.33,1.39,0.65,-1.56
Alistair Docherty,0.11,0.51,0.47,-2.65,-1.56
Naoyuki Kataoka,-2.56,-0.42,1.72,-0.3,-1.56
Baard Skogen,-1.27,-0.12,-0.68,0.51,-1.56
Kazuki Higa,0.49,-0.25,-0.24,-1.56,-1.56
Martin Couvra,-0.48,0.09,-1.9,-0.27,-2.56
Dan Bradbury,1.03,-0.48,-2.65,-0.47,-2.56
Stewart Cink,-2.22,1.26,-1.68,0.08,-2.56
Brian Harman,0.55,-0.33,0.09,-2.88,-2.56
David Puig,-0.93,-1.24,-0.22,-0.17,-2.56
David Howard,-0.03,-4.43,0.23,1.66,-2.56
Francesco Laporta,-0.59,-2.05,-0.8,0.87,-2.56
James Nicholas,-1.73,0.03,0.13,-1.99,-3.56
Fifa Laopakdee,-0.63,-1.53,0.07,-1.48,-3.56
Mateo Pulcini,-0.85,-2.36,0.04,-0.4,-3.56
Scott Vincent,-0.39,0.26,-0.77,-2.66,-3.56
Justin Rose,0.24,-0.76,-3.26,0.22,-3.56
Tiger Christensen,-3.06,-1.45,0.7,0.23,-3.56
Matt McCarty,-2.19,-2.01,0,0.63,-3.56
Ren Yonezawa,0.9,-0.9,-1.33,-3.24,-4.56
Eric Cole,-0.74,-1.8,0.18,-2.2,-4.56
Max Greyserman,0.61,-3.35,-0.31,-1.51,-4.56
Joaquin Niemann,0.02,-0.8,-0.42,-3.37,-4.56
Daniel Berger,-0.44,-1.36,-1.32,-1.45,-4.56
Nevill Ruiter,-0.93,-1.89,-1.53,-0.21,-4.56
Matthew Jordan,-1.88,-2.71,1.99,-2.97,-5.56
Jeong Woo Ham,-0.4,-1.05,-2.83,-1.28,-5.56
Stuart Grehan,-2.23,-0.61,-1.22,-1.51,-5.56
Adrien Saddier,-3.9,-2.21,0.56,-0.01,-5.56
Harry Hall,-3.56,-2.9,2.7,-1.8,-5.56
Jiho Yang,-3.17,-2.72,-0.64,0.96,-5.56
Gary Woodland,-1,-2.59,-3.34,0.36,-6.56
Austen Truslow,-0.85,-5.45,-0.27,-0.99,-7.56
Padraig Harrington,-0.61,-2.05,-1.15,-4.76,-8.56
