time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Hastings, Justin",null,null,null,null,null,null,null,null,14,30.2,null,null
l12_months,proximity (ft),"Townsend, Hugo",null,null,null,null,null,null,null,null,12,39.7,null,null
l12_months,proximity (ft),"Meeks, Kye",null,null,null,null,null,null,null,null,12,41.7,null,null
l12_months,proximity (ft),"Fang, Ethan",12,22.3,null,null,null,null,null,null,12,28.4,null,null
l12_months,proximity (ft),"Valdes, Brendan",null,null,null,null,null,null,null,null,12,47.3,null,null
l12_months,proximity (ft),"Kaneko, Kota",14,20.2,null,null,58,38.8,29,55.2,14,34,24,73.2
l12_months,proximity (ft),"Couples, Fred",11,13.9,null,null,null,null,null,null,null,null,null,null
l12_months,proximity (ft),"Nicholas, James",null,null,null,null,null,null,null,null,13,28.1,null,null
l12_months,proximity (ft),"Manassero, Matteo",null,null,null,null,null,null,null,null,11,37.9,null,null
l12_months,proximity (ft),"Paratore, Renato",null,null,null,null,null,null,null,null,13,21.4,null,null
l12_months,proximity (ft),"Knous, Jim",13,25,null,null,null,null,null,null,null,null,null,null
l12_months,proximity (ft),"Lee, S.T.",null,null,null,null,48,34.5,null,null,15,27.1,21,86.4
l12_months,proximity (ft),"Girrbach, Joel",11,20.8,null,null,null,null,36,41.9,null,null,null,null
l12_months,proximity (ft),"Sullivan, Andy",11,15.2,null,null,58,30.4,null,null,18,36.4,20,45.1
l12_months,proximity (ft),"Dantorp, Jens",11,23.4,null,null,null,null,null,null,null,null,null,null
l12_months,proximity (ft),"Campillo, Jorge",12,15.6,null,null,null,null,null,null,null,null,null,null
l12_months,proximity (ft),"Lee, K.H.",16,16.8,null,null,null,null,null,null,11,41.9,20,69
l12_months,proximity (ft),"Schneider, Marcel",null,null,null,null,null,null,31,45.3,null,null,null,null
l12_months,proximity (ft),"Garcia Rodriguez, Sebastian",null,null,null,null,null,null,null,null,13,31.7,null,null
l12_months,proximity (ft),"Frittelli, Dylan",20,12.9,null,null,null,null,null,null,12,40.1,20,63.6
l12_months,proximity (ft),"Kisner, Kevin",null,null,null,null,55,34.3,29,45.4,15,37.3,null,null
l12_months,proximity (ft),"Schaper, Jayden",14,12.1,null,null,null,null,null,null,14,42.6,null,null
l12_months,proximity (ft),"Burgoon, Bronson",null,null,null,null,null,null,null,null,24,42.1,null,null
l12_months,proximity (ft),"Lemke, Niklas",null,null,null,null,null,null,null,null,14,35.6,null,null
l12_months,proximity (ft),"Wiesberger, Bernd",13,14.5,null,null,null,null,null,null,null,null,null,null
l12_months,proximity (ft),"Watney, Nick",null,null,null,null,null,null,null,null,11,43.1,null,null
l12_months,proximity (ft),"Norris, Shaun",null,null,null,null,null,null,null,null,null,null,19,65.7
l12_months,proximity (ft),"Vermeer, Ryan",null,null,null,null,null,null,null,null,13,36.1,null,null
l12_months,proximity (ft),"Walker, Jimmy",null,null,null,null,null,null,null,null,12,32.9,null,null
l12_months,proximity (ft),"Baddeley, Aaron",null,null,null,null,null,null,null,null,16,43.7,null,null
l12_months,proximity (ft),"Harrington, Padraig",null,null,null,null,56,32.3,32,53.2,27,28.1,39,57.8
l12_months,proximity (ft),"Cink, Stewart",null,null,null,null,null,null,null,null,11,54.4,null,null
l12_months,proximity (ft),"Donald, Luke",11,10.9,null,null,null,null,null,null,12,42,null,null
l12_months,proximity (ft),"Langasque, Romain",13,26.6,null,null,null,null,32,42.8,null,null,null,null
l12_months,proximity (ft),"Daffue, MJ",null,null,null,null,null,null,null,null,11,36.4,null,null
l12_months,proximity (ft),"Mun, Doyeob",16,19.1,null,null,null,null,null,null,23,39.1,null,null
l12_months,proximity (ft),"Ham, Jeong Woo",null,null,null,null,null,null,null,null,15,33.3,null,null
l12_months,proximity (ft),"Chacarra, Eugenio",null,null,null,null,null,null,null,null,15,33.8,22,60.4
l12_months,proximity (ft),"Hruby, Petr",null,null,null,null,null,null,null,null,12,45.8,null,null
l12_months,proximity (ft),"Feagles, Michael",null,null,null,null,null,null,null,null,11,37.9,null,null
l12_months,proximity (ft),"Anderson, Matthew",null,null,null,null,null,null,null,null,15,38.5,null,null
l12_months,proximity (ft),"Ko, Jeong Weon",15,21.2,null,null,null,null,29,45,17,35.5,null,null
l12_months,proximity (ft),"Olesen, Jacob Skov",11,17.1,null,null,null,null,34,41.5,12,34.1,null,null
l12_months,proximity (ft),"Knowles, Philip",null,null,null,null,null,null,null,null,14,44.1,null,null
l12_months,proximity (ft),"Xiong, Norman",null,null,null,null,null,null,null,null,13,38.7,null,null
l12_months,proximity (ft),"Celli, Filippo",null,null,null,null,null,null,31,49.4,null,null,null,null
l12_months,proximity (ft),"Andersen, Mason",14,21.8,null,null,49,31.8,null,null,25,40,null,null
l12_months,proximity (ft),"Del Rey, Alejandro",13,16.3,null,null,48,33.6,null,null,15,44.5,null,null
l12_months,proximity (ft),"Von Dellingshausen, Nicolai",12,15.8,null,null,52,31.6,null,null,null,null,null,null
l12_months,proximity (ft),"Hillier, Daniel",null,null,null,null,null,null,null,null,15,29.8,null,null
l12_months,proximity (ft),"Mazzoli, Stefano",null,null,null,null,null,null,null,null,11,27.6,null,null
l12_months,proximity (ft),"Coussaud, Ugo",14,16.1,null,null,52,34.3,30,46.7,25,33.5,null,null
l12_months,proximity (ft),"Helligkilde, Marcus",null,null,null,null,null,null,null,null,12,26.9,null,null
l12_months,proximity (ft),"Lindberg, Mikael",null,null,null,null,null,null,null,null,13,41.1,null,null
l12_months,proximity (ft),"Rottluff, Max",null,null,null,null,null,null,null,null,18,38.5,null,null
l12_months,proximity (ft),"Zalatoris, Will",null,null,null,null,52,34.3,null,null,15,34.5,20,47.6
l12_months,proximity (ft),"Du Plessis, Hennie",null,null,null,null,63,30.3,28,42.7,12,28.7,29,48.8
l12_months,proximity (ft),"John, Cameron",null,null,null,null,null,null,null,null,13,42.1,null,null
l12_months,proximity (ft),"Schniederjans, Ollie",null,null,null,null,null,null,null,null,18,47.2,null,null
l12_months,proximity (ft),"Catlin, John",null,null,null,null,null,null,null,null,16,39.2,null,null
l12_months,proximity (ft),"Herrington, Jackson",null,null,null,null,null,null,null,null,16,42.2,null,null
