Last Name,First Name,main-tour,L5-1 Place,L5 Tournament-1,L5 Tournament-Tour1,L5-2 Place,L5 Tournament-2,L5 Tournament-Tour2,L5-3 Place,L5 Tournament-3,L5 Tournament-Tour3,L5-4 Place,L5 Tournament-4,L5 Tournament-Tour4,L5-5 Place,L5 Tournament-5,L5 Tournament-Tour5,Last 20 Rds True-SG,Last 20 VERSUS BASELINE
RODGERS,PATRICK,PGA Tour,T24,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T47,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,T49,the Memorial Tournament presented by Workday,PGA Tour,-0.07,-0.26
HUGHES,MACKENZIE,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T52,Truist Championship,PGA Tour,66,THE CJ CUP Byron Nelson,PGA Tour,T10,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.08,-0.02
HIGGO,GARRICK,PGA Tour,T67,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,T19,THE CJ CUP Byron Nelson,PGA Tour,T32,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.08,-0.17
HADWIN,ADAM,PGA Tour,T53,ONEflight Myrtle Beach Classic,PGA Tour,T13,Colonial Life Charity Classic,Korn Ferry Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T7,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T40,RBC Canadian Open,PGA Tour,-0.1,0.45
GUERRIER,JULIEN,DP World Tour,T53,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T47,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T7,KLM Open,DP World Tour,-0.1,-0.04
STANGER,JIMMY,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T4,RBC Canadian Open,PGA Tour,-0.11,0.26
KOBORI,KAZUMA,DP World Tour,T13,Turkish Airlines Open,DP World Tour,T6,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T28,KLM Open,DP World Tour,-0.12,0.28
DUMONT DE CHASSART,ADRIEN,PGA Tour,T17,Zurich Classic of New Orleans,PGA Tour,T31,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.13,-0.3
AN,BYEONG HUN,LIV Golf,T25,Mexico City,LIV Golf,T35,Virginia,LIV Golf,T37,Korea,LIV Golf,T11,Andalucia,LIV Golf,T22,International Series Morocco presented by Visit Morocco,Asian Tour,-0.13,-0.01
SONG,YOUNGHAN,LIV Golf,T36,Kansai Open Golf Championship,Japan Golf Tour,T2,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T12,Korea,LIV Golf,T42,Andalucia,LIV Golf,T10,International Series Morocco presented by Visit Morocco,Asian Tour,-0.13,0.52
CROWE,TRACE,PGA Tour,T4,Zurich Classic of New Orleans,PGA Tour,T67,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.13,0.32
MCALLISTER,LOGAN,Korn Ferry Tour,T36,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,T5,UNC Health Championship,Korn Ferry Tour,2,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T21,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.14,0.68
JARVIS,CASEY,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,T65,PGA Championship,Major,T22,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.14,-0.22
MANASSERO,MATTEO,DP World Tour,T13,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T53,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T32,KLM Open,DP World Tour,-0.14,0.55
ECKROAT,AUSTIN,PGA Tour,T6,Zurich Classic of New Orleans,PGA Tour,T19,ONEflight Myrtle Beach Classic,PGA Tour,T40,THE CJ CUP Byron Nelson,PGA Tour,T67,Charles Schwab Challenge,PGA Tour,73,RBC Canadian Open,PGA Tour,-0.17,-0.31
KIRK,CHRIS,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T44,PGA Championship,Major,T31,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.18,-0.68
JAKUBCIK,FILIP,Amateur,T46,79th Western Intercollegiate,Amateur,6,Big 12 Men's Golf Championship,Amateur,T1,NCAA Marana Regional,Amateur,T4,NCAA DI Men's National Championship- Stroke Play,Amateur,T28,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.18,0.4
POWER,SEAMUS,PGA Tour,T10,Zurich Classic of New Orleans,PGA Tour,T60,ONEflight Myrtle Beach Classic,PGA Tour,T19,THE CJ CUP Byron Nelson,PGA Tour,T54,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.18,-0.23
WILLETT,DANNY,PGA Tour,CUT,Masters Tournament,Major,T45,ONEflight Myrtle Beach Classic,PGA Tour,70,THE CJ CUP Byron Nelson,PGA Tour,T7,KLM Open,DP World Tour,CUT,RBC Canadian Open,PGA Tour,-0.18,0.95
BALLESTER,JOSE LUIS,LIV Golf,T3,Singapore Open presented by The Business Times,Asian Tour,5,Virginia,LIV Golf,CUT,Soudal Open,DP World Tour,T34,Korea,LIV Golf,55,Andalucia,LIV Golf,-0.19,-0.33
BUCKLEY,HAYDEN,Korn Ferry Tour,T51,Colonial Life Charity Classic,Korn Ferry Tour,T29,Visit Knoxville Open,Korn Ferry Tour,T38,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T8,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.19,0.47
WHALEY,VINCE,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T65,RBC Canadian Open,PGA Tour,-0.2,-0.37
YOUNG,CARSON,Korn Ferry Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,UNC Health Championship,Korn Ferry Tour,T17,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T8,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.2,0.17
WANG,JEUNGHUN,KPGA Korean Tour,T11,Taiwan Glass Taifong Open,ASA,T23,KPGA Gyeongbuk Open,KPGA Korean Tour,T3,Kolon The 68th KOREA Open,ASA,T5,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,T37,International Series Morocco presented by Visit Morocco,Asian Tour,-0.21,0.69
NOH,S.Y.,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,18,THE CJ CUP Byron Nelson,PGA Tour,T19,UNC Health Championship,Korn Ferry Tour,T33,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T28,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.21,0.16
CLANTON,LUKE,PGA Tour,T26,Zurich Classic of New Orleans,PGA Tour,T60,ONEflight Myrtle Beach Classic,PGA Tour,T31,THE CJ CUP Byron Nelson,PGA Tour,T54,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,-0.21,0.47
DEL REY,ALEJANDRO,DP World Tour,T8,Volvo China Open,DP World Tour,T29,Turkish Airlines Open,DP World Tour,T3,Estrella Damm Catalunya Championship,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.22,0.19
KAYMER,MARTIN,LIV Golf,T25,Mexico City,LIV Golf,T39,Virginia,LIV Golf,T35,PGA Championship,Major,T45,Korea,LIV Golf,T24,Andalucia,LIV Golf,-0.22,0.46
CAMPILLO,JORGE,DP World Tour,CUT,Volvo China Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T25,Estrella Damm Catalunya Championship,DP World Tour,T2,Soudal Open,DP World Tour,CUT,KLM Open,DP World Tour,-0.23,-0.11
BAUTISTA,AUSTIN,Sunshine Tour,8,The Courier Guy Playoffs : The Serengeti Playoffs,Sunshine Tour,T7,The Courier Guy Playoffs : DNi Tour Championship presented by RMB,Sunshine Tour,T2,Mediclinic Invitational,Sunshine Tour,2,FBC ZIM Open,Sunshine Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,-0.24,0.77
KANAYA,TAKUMI,PGA Tour,T26,Zurich Classic of New Orleans,PGA Tour,T38,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T54,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,-0.24,-0.31
RAVETTO,DAVID,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T43,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T35,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T14,KLM Open,DP World Tour,-0.25,0.54
POULTER,IAN,LIV Golf,T48,South Africa,LIV Golf,T25,Mexico City,LIV Golf,T18,Virginia,LIV Golf,T16,Korea,LIV Golf,T27,Andalucia,LIV Golf,-0.25,0.61
GLOVER,LUCAS,PGA Tour,T37,Truist Championship,PGA Tour,CUT,PGA Championship,Major,T71,Charles Schwab Challenge,PGA Tour,T46,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.25,-0.31
STEELMAN,ROSS,Korn Ferry Tour,T73,Colonial Life Charity Classic,Korn Ferry Tour,T10,Visit Knoxville Open,Korn Ferry Tour,2,UNC Health Championship,Korn Ferry Tour,T33,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.25,0.63
HAMMER,COLE,Korn Ferry Tour,T54,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T4,Colonial Life Charity Classic,Korn Ferry Tour,T66,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T26,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,-0.26,0.21
JUNG,CHANMIN,KPGA Korean Tour,T31,The 45th GS Caltex Maekyung Open,ASA,2,KPGA Founders Cup,KPGA Korean Tour,T6,KPGA Gyeongbuk Open,KPGA Korean Tour,T17,Kolon The 68th KOREA Open,ASA,T16,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,-0.27,1.37
FRITTELLI,DYLAN,DP World Tour,T20,Hero Indian Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T48,KLM Open,DP World Tour,-0.27,0.7
FLAVIN,PATRICK,PGA Tour Americas,,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,2,Diners Club Peru Open,PGA Tour Americas,T54,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T8,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T48,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.29,1.12
CABRERA BELLO,RAFA,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T6,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T4,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T66,KLM Open,DP World Tour,-0.29,0.06
COWAN,RYDER,Amateur,3,Maridoe Collegiate,Amateur,T24,Ford Collegiate,Amateur,T17,2026 SEC Men's Golf Championship Stroke Play,Amateur,4,NCAA Corvallis Regional,Amateur,T28,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.29,0.84
NAGANO,RYUTARO,Japan Golf Tour,T8,The Crowns,Japan Golf Tour,T14,Kansai Open Golf Championship,Japan Golf Tour,T15,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T2,Gate Way To The Open Mizuno Open,Japan Golf Tour,T42,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.29,0.61
SATO,TAIHEI,Japan Golf Tour,T8,The Crowns,Japan Golf Tour,T6,Kansai Open Golf Championship,Japan Golf Tour,T38,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T14,Gate Way To The Open Mizuno Open,Japan Golf Tour,5,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.29,0.63
MUN,DOYEOB,LIV Golf,T10,KPGA Gyeongbuk Open,KPGA Korean Tour,,Kolon The 68th KOREA Open,ASA,T23,Korea,LIV Golf,T42,Andalucia,LIV Golf,T31,International Series Morocco presented by Visit Morocco,Asian Tour,-0.3,0.57
OOSTHUIZEN,LOUIS,LIV Golf,T17,South Africa,LIV Golf,T12,Mexico City,LIV Golf,42,Virginia,LIV Golf,T37,Korea,LIV Golf,WD,Andalucia,LIV Golf,-0.3,-0.24
CONNERS,COREY,PGA Tour,T30,Cadillac Championship,PGA Tour,T31,Truist Championship,PGA Tour,T55,PGA Championship,Major,53,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.3,-0.84
LAPORTA,FRANCESCO,DP World Tour,CUT,Hero Indian Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T17,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,-0.3,-0.18
CANTER,LAURIE,LIV Golf,T17,South Africa,LIV Golf,T25,Mexico City,LIV Golf,T46,Virginia,LIV Golf,T12,Korea,LIV Golf,T37,Andalucia,LIV Golf,-0.3,0.08
PETERSON,PAUL,PGA Tour,T11,ONEflight Myrtle Beach Classic,PGA Tour,T7,Colonial Life Charity Classic,Korn Ferry Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T67,RBC Canadian Open,PGA Tour,-0.3,0.08
MIGLIOZZI,GUIDO,DP World Tour,T13,Volvo China Open,DP World Tour,T2,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T28,KLM Open,DP World Tour,-0.31,0.56
SVENSSON,JESPER,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T65,Turkish Airlines Open,DP World Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T9,THE CJ CUP Byron Nelson,PGA Tour,T4,RBC Canadian Open,PGA Tour,-0.31,-0.14
LI,HAOTONG,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T35,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,-0.31,-0.48
DUNLAP,NICK,PGA Tour,T17,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.31,0.6
GALLETTI,NICOLO,Korn Ferry Tour,T51,Colonial Life Charity Classic,Korn Ferry Tour,CUT,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T6,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.31,0.02
STREELMAN,KEVIN,PGA Tour,T39,Valero Texas Open,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,-0.32,0.53
RUSSELL,MILES,Korn Ferry Tour,T15,Club Car Championship at The Landings Golf & Athletic Club,Korn Ferry Tour,T62,LECOM Suncoast Classic,Korn Ferry Tour,T12,Terra Cotta Invitational,Amateur,T4,Team TaylorMade Invitational,Amateur,CUT,UNC Health Championship,Korn Ferry Tour,-0.32,0.06
VILIPS,KARL,PGA Tour,T13,Zurich Classic of New Orleans,PGA Tour,T24,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.33,0.1
SCHOTT,FREDDY,DP World Tour,5,Volvo China Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,-0.33,0.61
MCGREEVY,MAX,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T51,RBC Canadian Open,PGA Tour,-0.34,-0.69
DU PLESSIS,HENNIE,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T63,Estrella Damm Catalunya Championship,DP World Tour,,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.34,-0.66
LEWIS,RILEY,PGA Tour Americas,T27,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T24,Diners Club Peru Open,PGA Tour Americas,T16,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,2,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,DQ,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.34,0.51
YONEZAWA,REN,Japan Golf Tour,T24,The Crowns,Japan Golf Tour,CUT,Kansai Open Golf Championship,Japan Golf Tour,T27,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T2,Gate Way To The Open Mizuno Open,Japan Golf Tour,T8,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.34,0.28
VAN TONDER,DANIEL,Sunshine Tour,T17,The Courier Guy Playoffs : DNi Tour Championship presented by RMB,Sunshine Tour,CUT,Volvo China Open,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T2,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,-0.34,0.7
TRACE,TRAVIS,Korn Ferry Tour,T60,Colonial Life Charity Classic,Korn Ferry Tour,T15,Visit Knoxville Open,Korn Ferry Tour,T34,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T40,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.35,0.46
SIMPSON,WEBB,PGA Tour,CUT,Cognizant Classic in The Palm Beaches,PGA Tour,T18,Valspar Championship,PGA Tour,WD,Valero Texas Open,PGA Tour,T48,Truist Championship,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,-0.35,-0.22
SAVOIE,JOEY,PGA Tour Americas,T8,71st ECP Brazil Open,PGA Tour Americas,T27,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T33,Diners Club Peru Open,PGA Tour Americas,,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T67,RBC Canadian Open,PGA Tour,-0.35,1.49
MUNOZ,SEBASTIAN,LIV Golf,37,South Africa,LIV Golf,T25,Mexico City,LIV Golf,T30,Virginia,LIV Golf,T23,Korea,LIV Golf,T27,Andalucia,LIV Golf,-0.35,-0.7
GOMEZ,FABIAN,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T47,THE CJ CUP Byron Nelson,PGA Tour,CUT,UNC Health Championship,Korn Ferry Tour,T3,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T21,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.35,0.34
SVENSSON,ADAM,PGA Tour,T26,Zurich Classic of New Orleans,PGA Tour,T45,ONEflight Myrtle Beach Classic,PGA Tour,T54,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,-0.36,0.07
WOLCOTT,HUNTER,PGA Tour Americas,T3,94 Abierto del Centro Zurich presentado por Personal,PGA Tour Americas,T20,Diners Club Peru Open,PGA Tour Americas,T8,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T30,Inter Rapidisimo Golf Championship,PGA Tour Americas,-0.36,1.46
GILBERT,JOSIAH,Amateur,9,Mason Rudolph Championship,Amateur,T15,Ford Collegiate,Amateur,T7,2026 SEC Men's Golf Championship Stroke Play,Amateur,T4,NCAA Athens Regional,Amateur,3,NCAA DI Men's National Championship- Stroke Play,Amateur,-0.36,0.74
SCHNEIDER,MARCEL,DP World Tour,T18,Turkish Airlines Open,DP World Tour,T37,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T17,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,73,KLM Open,DP World Tour,-0.36,0.23
SOLOMON,JACOB,Korn Ferry Tour,T16,Colonial Life Charity Classic,Korn Ferry Tour,T58,Visit Knoxville Open,Korn Ferry Tour,T25,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T35,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.36,1.21
LAMB,RICK,Korn Ferry Tour,T25,Tulum Championship at PGA Riviera Maya,Korn Ferry Tour,T51,Colonial Life Charity Classic,Korn Ferry Tour,T29,Visit Knoxville Open,Korn Ferry Tour,T19,UNC Health Championship,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.37,0.49
PREMLALL,YURAV,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,,Estrella Damm Catalunya Championship,DP World Tour,T30,Soudal Open,DP World Tour,T40,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,-0.37,1.18
PENG,BO,China Tour,T6,Lanting Shaoxing Open,China Tour,T13,Volvo China Open,DP World Tour,T52,Straits Cup Xiamen Open,China Tour,T2,HONGYUNLANG·Nanjing Open,China Tour,,Shanghai Open,China Tour,-0.39,1.74
SUMMY,JASE,Amateur,T6,Ford Collegiate,Amateur,2,2026 SEC Men's Golf Championship Stroke Play,Amateur,T2,NCAA Corvallis Regional,Amateur,T70,NCAA DI Men's National Championship- Stroke Play,Amateur,T3,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.39,0.42
KATSUMATA,RYO,Japan Golf Tour,T12,The Crowns,Japan Golf Tour,CUT,Kansai Open Golf Championship,Japan Golf Tour,6,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T11,Gate Way To The Open Mizuno Open,Japan Golf Tour,T6,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.39,0.72
KATSURAGAWA,YUTO,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T37,Estrella Damm Catalunya Championship,DP World Tour,T59,Soudal Open,DP World Tour,T26,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T32,KLM Open,DP World Tour,-0.4,0.57
FIGUEIREDO,PEDRO,Challenge Tour,T12,PGTI Open,Challenge Tour,T4,Italian Challenge Open,Challenge Tour,CUT,Challenge de Catalunya,Challenge Tour,T16,Danish Golf Challenge,Challenge Tour,4,Challenge de España,Challenge Tour,-0.4,0.99
STEVENS,SAM,PGA Tour,T18,Cadillac Championship,PGA Tour,70,Truist Championship,PGA Tour,T65,PGA Championship,Major,T42,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,-0.4,-0.9
WALLIN,ADAM,Challenge Tour,T16,Italian Challenge Open,Challenge Tour,T6,Challenge de Catalunya,Challenge Tour,T3,Danish Golf Challenge,Challenge Tour,T46,Swiss Challenge,Challenge Tour,6,Interwetten Open,Challenge Tour,-0.4,0.74
HOSONO,YUSAKU,Japan Golf Tour,2,The Crowns,Japan Golf Tour,T14,Kansai Open Golf Championship,Japan Golf Tour,,Japan PGA Championship Senko Group Cup,Japan Golf Tour,CUT,Gate Way To The Open Mizuno Open,Japan Golf Tour,T26,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,-0.4,0.38
APHIBARNRAT,KIRADECH,DP World Tour,CUT,Turkish Airlines Open,DP World Tour,T6,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T38,KLM Open,DP World Tour,-0.4,0.47
PRINSLOO,JACO,Sunshine Tour,T5,Mediclinic Invitational,Sunshine Tour,T5,FBC ZIM Open,Sunshine Tour,4,Kit Kat Cash & Carry Pro-Am,Sunshine Tour,T11,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,T17,The Mopani Zambia Open,Sunshine Tour,-0.41,0.48
KANG,JEFFREY,PGA Tour,T65,Valero Texas Open,PGA Tour,T6,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T54,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,-0.41,0.41
GRILLO,EMILIANO,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,T38,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,T20,RBC Canadian Open,PGA Tour,-0.41,-0.51
LIPSKY,DAVID,PGA Tour,71,Cadillac Championship,PGA Tour,T24,Truist Championship,PGA Tour,CUT,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,-0.41,-0.51
KHO,TAICHI,Japan Golf Tour,T42,Taiwan Glass Taifong Open,ASA,T13,Kolon The 68th KOREA Open,ASA,CUT,Gate Way To The Open Mizuno Open,Japan Golf Tour,T2,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,,International Series Morocco presented by Visit Morocco,Asian Tour,-0.41,0.84
MEISSNER,MITCHELL,Korn Ferry Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T10,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,-0.42,0.23
KINHULT,MARCUS,DP World Tour,T29,Turkish Airlines Open,DP World Tour,T54,Estrella Damm Catalunya Championship,DP World Tour,T2,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T71,KLM Open,DP World Tour,-0.42,0.55
