Last Name,First Name,Events,Rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-OTT,SG-TOTAL,Driving-Distance,Driving-Accuracy
DU PLESSIS,HENNIE,15,53,0,0%,-0.32,-0.09,-0.03,0.24,0.13,0.32,7.3,-3.90%
ECHAVARRIA,NICO,28,91,1,4%,0.23,-0.14,0.07,-0.06,-0.13,0.31,-6.7,2.40%
SMITH,CAMERON,23,73,0,0%,0.6,0.6,-0.24,-0.54,-0.17,0.27,-6.3,-7.40%
KIM,TOM,25,87,0,0%,-0.09,0.28,0.26,-0.19,0.35,0.24,-5,3.00%
RODGERS,PATRICK,34,112,0,0%,0.09,0.02,0.01,0.08,0.11,0.19,7,-4.30%
YELLAMARAJU,SUDARSHAN,31,107,0,0%,0.26,-0.11,0.29,0.54,0.72,0.18,9,2.00%
DUMONT DE CHASSART,ADRIEN,27,88,1,4%,-0.02,0.47,-0.11,-0.26,0.1,0.17,7.2,-4.00%
ORTIZ,CARLOS,21,72,0,0%,-0.44,0.22,0.29,0.12,0.62,0.17,5.2,-3.50%
IM,SUNGJAE,26,90,0,0%,0.02,0.51,-0.6,0.26,0.17,0.12,-1.4,3.00%
HISATSUNE,RYO,31,112,0,0%,-0.27,-0.04,0.22,0.43,0.62,0.11,-0.5,3.20%
GRILLO,EMILIANO,28,92,0,0%,-0.08,-0.09,0.08,0.19,0.19,0.1,-5.9,8.50%
SCHMID,MATTI,29,100,0,0%,0.23,-0.09,-0.33,0.2,-0.22,0.08,7.8,-4.10%
ROY,KEVIN,27,93,0,0%,0.29,0.18,-0.37,0.08,-0.11,0.06,1.6,1.70%
KEEFER,JOHNNY,31,104,1,3%,-0.42,-0.42,0.29,0.48,0.35,0.05,11.3,-1.60%
HERBERT,LUCAS,21,72,1,5%,-0.17,0.06,0.05,0.13,0.24,0.04,6.6,-6.00%
DOSSEY,COOPER,26,90,0,0%,,,,,,0.04,-3.7,3.80%
SUBER,JACKSON,26,82,0,0%,-0.05,-0.1,0.07,0.08,0.04,0,1.2,-2.90%
KOHLES,BEN,29,96,1,3%,-0.84,0.01,0.9,0.12,1.03,-0.02,-8.6,9.60%
BLAIR,ZAC,29,100,0,0%,-0.36,-0.13,0.64,-0.35,0.16,-0.06,-18.9,5.40%
SADDIER,ADRIEN,26,87,1,4%,0.03,0.05,-0.09,0.15,0.12,-0.08,-2.4,4.00%
COUSSAUD,UGO,26,93,0,0%,0.21,-0.1,-0.14,0,-0.24,-0.09,3.7,-6.50%
JAMES,BEN,16,48,0,0%,-0.58,-0.03,0.17,0.35,0.48,0.35,-7.4,10.90%
HORSCHEL,BILLY,22,74,0,0%,0.23,-0.14,0.19,-0.26,-0.21,-0.11,-4.4,-3.20%
SHIPLEY,NEAL,26,77,1,4%,-0.5,-0.64,-0.58,0.74,-0.48,-0.24,4.1,3.50%
SURRATT,CALEB,23,81,0,0%,0.37,-0.29,-0.65,0.16,-0.78,-0.24,8.3,-2.90%
MONTGOMERY,TAYLOR,29,86,0,0%,0.97,0.46,-0.15,-1.04,-0.72,-0.32,-5.1,-8.90%
KIMSEY,NATHAN,28,91,0,0%,-0.39,0.01,-0.46,0.29,-0.16,-0.35,-0.1,8.00%
STANGER,JIMMY,13,39,0,0%,0.4,0.03,-1.03,0.52,-0.48,-0.37,9.5,-0.80%
PHILLIPS,CHANDLER,26,78,0,0%,0.29,0.25,-0.71,-0.38,-0.84,-0.38,-5.7,0.00%
CANTER,LAURIE,25,93,0,0%,-0.35,-0.32,-0.08,0.46,0.06,-0.38,2.9,3.80%
WU,DYLAN,24,72,0,0%,-0.5,-0.13,0.02,-0.23,-0.34,-0.39,-3.2,1.70%
HAMMER,COLE,24,79,0,0%,-1.83,0.06,2.52,-1.03,1.55,-0.47,2.3,2.10%
JORDAN,MATTHEW,25,77,0,0%,-0.23,0.12,-0.43,-0.29,-0.61,-0.51,-4.3,-2.90%
SILVERMAN,BEN,26,83,0,0%,0.33,-0.2,-0.48,-0.1,-0.78,-0.54,-10.4,2.40%
UIHLEIN,PETER,21,75,0,0%,0.42,0.18,-0.26,-1.21,-1.29,-0.64,4.3,-18.70%
NICHOLAS,JAMES,27,82,1,4%,-0.91,-0.11,-0.03,0.39,0.26,-0.72,7.7,-7.60%
NORGAARD,NIKLAS,28,85,0,0%,0.14,-0.56,-0.41,0.34,-0.62,-0.77,11.3,-5.10%
HIGGS,HARRY,28,83,0,0%,-0.18,-0.25,-0.21,-0.2,-0.67,-0.91,2.9,-1.70%
HARDY,NICK,25,70,0,0%,-0.34,-0.07,-0.15,-0.03,-0.24,-0.91,3.5,-4.70%
SATO,TAIHEI,28,95,1,4%,,,,,,-0.93,,
MCDOWELL,GRAEME,17,58,0,0%,-0.18,-0.37,-0.07,-0.45,-0.89,-1,-15.1,1.00%
YUAN,CARL,23,66,0,0%,-0.46,-0.4,-1,0.23,-1.16,-1.03,3.3,-1.50%
LEACH,GREYSON,10,34,0,0%,,,,,,-1.18,,11.40%
RUSSELL,MILES,19,55,0,0%,-1.51,0,0.19,-0.62,-0.44,-0.39,1.6,0.40%
ROZO,MARCELO,26,79,0,0%,-1.28,-0.29,0.27,-0.18,-0.21,-1.09,-11,6.00%
VAN PARIS,JACKSON,20,64,0,0%,,,,,,-1.13,-8,-1.50%
REPETTO TAYLOR,ROCCO PAOLO,30,103,0,0%,-0.47,-0.04,-1.3,0.03,-1.31,-1.25,13.2,-5.10%
HIDALGO PORTILLO,ANGEL,30,91,0,0%,-0.22,-0.42,-0.58,0.14,-0.86,-1.37,-3.9,1.20%
SOLLON,JAKE,4,16,0,0%,,,,,,-1.41,,-9.90%
HARRINGTON,PADRAIG,26,82,2,8%,-0.55,0.19,0.21,-0.98,-0.59,-1.42,-4.5,-8.10%
CELLI,FILIPPO,27,79,1,4%,0.12,-0.29,-1.02,-0.25,-1.55,-1.49,-0.2,-2.50%
TOSTI,ALEJANDRO,19,45,0,0%,-0.78,-0.21,-0.94,0.3,-0.85,-1.55,7.4,-5.50%
