player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Mouw, William",9,27,22,0,0,1,3,-0.028,76,-3.217,-1.178,-0.144,1.288,2.525,1.955,-0.400,124,-1.701,-0.789,-0.232,0.307,0.926,1.185,0.637,14,-2.334,-0.246,1.032,1.542,2.994,1.798,0.442,18,-0.425,-0.044,0.404,0.822,1.399,0.683,1.079,13,-2.159,0.084,1.172,2.168,3.784,2.008,0.679,30,-3.806,-0.094,0.843,2.058,3.684,2.285,0.626,35,-3.745,-0.696,0.954,2.132,3.296,2.643,0.626,35,-3.745,-0.696,0.954,2.132,3.296,2.643,7.246,22,-6.113,0.771,7.450,14.603,19.197,9.279,0.009,68,-0.221,-0.051,0.021,0.109,0.210,0.131
"Echavarria, Nico",11,34,24,0,2,3,5,0.363,30,-1.701,-0.268,0.198,1.205,2.405,1.304,-0.087,91,-1.446,-0.736,-0.265,0.491,1.422,0.908,0.033,69,-2.592,-1.497,0.353,1.396,2.561,1.731,-0.209,102,-1.513,-0.575,0.073,0.488,1.158,1.172,-0.176,94,-2.876,-1.301,-0.754,1.528,3.013,2.153,-0.263,95,-3.518,-1.835,-0.165,1.044,3.514,2.484,0.617,36,-3.193,-0.878,0.379,2.095,4.966,2.664,0.617,36,-3.193,-0.878,0.379,2.095,4.966,2.664,-5.201,111,-17.785,-11.045,-6.264,0.576,9.164,8.918,0.045,37,-0.104,-0.007,0.048,0.121,0.165,0.088
"Hall, Harry",9,30,26,0,0,1,3,0.554,17,-1.506,-0.252,0.491,1.275,2.684,1.367,0.281,29,-1.755,-0.525,0.321,1.032,2.371,1.285,-0.003,75,-1.866,-0.963,-0.185,0.795,2.333,1.379,-0.324,115,-1.674,-0.608,-0.274,0.230,0.633,0.714,-0.327,102,-2.574,-1.849,-0.160,0.968,2.134,1.598,-0.046,81,-3.383,-1.759,-0.352,1.464,3.494,2.145,0.610,37,-2.605,-1.257,0.875,2.165,3.744,2.356,0.610,37,-2.605,-1.257,0.875,2.165,3.744,2.356,-4.771,108,-26.139,-13.121,-2.777,3.298,11.525,12.452,-0.043,116,-0.160,-0.104,-0.052,0.018,0.109,0.093
"Smith, Jordan",3,10,10,0,1,1,1,-0.537,119,-1.578,-0.971,-0.846,-0.043,0.930,0.935,0.033,67,-0.859,-0.635,-0.073,0.727,1.020,0.754,0.179,53,-2.000,-0.297,0.146,0.963,2.089,1.519,0.914,2,0.006,0.348,0.929,1.554,1.746,0.728,1.093,11,-1.651,-0.054,1.750,2.517,2.888,1.805,1.126,13,-2.077,0.005,1.196,2.890,3.499,2.153,0.588,38,-3.574,-0.670,0.559,2.347,4.248,2.863,0.588,38,-3.574,-0.670,0.559,2.347,4.248,2.863,8.573,16,1.358,4.911,9.036,12.550,14.782,5.236,0.046,34,-0.165,-0.058,0.038,0.167,0.237,0.151
"Kuchar, Matt",12,36,26,0,1,1,5,0.845,5,-1.346,0.139,0.995,1.540,2.633,1.248,0.541,5,-1.138,0.094,0.384,1.125,2.205,1.033,-0.400,110,-3.467,-0.833,-0.026,0.802,1.910,1.722,-0.556,128,-2.375,-1.295,-0.387,0.154,1.114,1.081,-0.956,127,-5.169,-2.365,-0.444,0.870,1.861,2.310,-0.415,102,-5.021,-1.297,-0.116,1.572,2.255,2.322,0.581,39,-5.373,-0.908,1.083,2.411,3.940,2.704,0.581,39,-5.373,-0.908,1.083,2.411,3.940,2.704,-15.281,137,-26.530,-21.265,-15.894,-8.321,-3.873,8.362,0.063,21,-0.093,0.005,0.075,0.121,0.187,0.089
"Chatfield, Davis",4,14,12,0,0,0,1,0.145,51,-1.323,-0.419,0.127,0.773,1.705,1.095,0.219,35,-0.950,-0.163,0.111,0.623,1.594,0.853,0.647,13,-0.905,-0.056,0.588,1.092,2.494,1.174,-0.090,91,-0.919,-0.590,-0.047,0.374,0.632,0.586,0.557,34,-1.307,-0.029,0.441,1.323,2.459,1.333,0.777,24,-2.031,-0.110,0.814,1.633,3.462,1.981,0.569,40,-2.265,-1.046,0.588,2.347,3.263,1.966,0.569,40,-2.265,-1.046,0.588,2.347,3.263,1.966,-17.496,139,-26.542,-23.969,-16.916,-12.879,-6.127,7.521,0.109,6,-0.114,-0.018,0.185,0.227,0.264,0.151
"Meissner, Mac",11,33,32,0,0,1,3,0.190,45,-2.115,-0.861,-0.109,1.399,3.095,1.741,0.179,47,-1.841,-0.059,0.437,0.757,1.366,1.005,0.122,57,-2.083,-1.138,0.223,0.805,3.008,1.549,0.036,80,-1.554,-0.644,0.175,0.609,1.488,0.936,0.158,60,-2.192,-1.216,-0.030,1.388,3.141,1.757,0.337,54,-3.327,-1.309,0.103,2.115,3.435,2.157,0.540,41,-2.569,-1.136,0.915,2.330,3.621,2.114,0.540,41,-2.569,-1.136,0.915,2.330,3.621,2.114,-0.274,77,-16.161,-5.155,1.708,5.212,11.110,8.606,-0.004,84,-0.241,-0.125,0.046,0.108,0.185,0.138
"Stevens, Sam",14,46,40,0,1,4,5,-0.113,88,-2.777,-0.826,-0.200,0.696,2.447,1.601,-0.047,83,-1.280,-0.393,-0.078,0.339,0.961,0.858,0.213,48,-2.461,-0.715,0.430,1.475,2.188,1.576,0.373,25,-1.562,-0.502,0.595,1.290,2.061,1.265,0.586,32,-2.247,-0.602,0.524,2.029,3.273,1.844,0.539,37,-2.234,-1.048,0.451,1.882,3.959,2.039,0.530,42,-4.781,-1.230,0.723,2.119,4.812,2.669,0.530,42,-4.781,-1.230,0.723,2.119,4.812,2.669,2.142,57,-7.982,-1.904,1.709,8.618,14.544,10.945,0.017,60,-0.246,-0.057,0.041,0.111,0.239,0.145
"Straka, Sepp",13,47,46,0,2,4,5,-0.005,69,-2.510,-0.903,-0.221,1.269,2.429,1.682,-0.192,109,-1.872,-0.883,-0.407,0.549,1.421,1.207,0.506,23,-2.302,-0.822,0.797,1.678,2.428,1.744,0.266,37,-0.970,-0.301,0.259,0.697,1.578,0.844,0.772,27,-2.474,-0.602,1.180,1.945,3.506,1.968,0.580,34,-3.459,-1.210,0.424,2.296,5.030,2.630,0.527,43,-4.555,-1.389,0.736,2.558,5.605,3.212,0.527,43,-4.555,-1.389,0.736,2.558,5.605,3.212,-2.047,89,-10.265,-6.489,-2.850,2.525,9.174,7.435,0.038,42,-0.136,-0.065,0.017,0.145,0.210,0.127
"Yu, Kevin",11,33,30,0,0,0,6,-0.171,96,-3.462,-1.535,-0.355,1.513,2.715,2.047,-0.058,86,-1.861,-0.735,-0.093,0.869,1.629,1.106,0.254,43,-1.478,-0.642,0.294,1.060,2.376,1.267,0.566,12,-0.554,0.120,0.424,1.125,1.819,0.774,0.820,26,-1.099,-0.150,0.513,2.307,3.388,1.601,0.761,26,-2.058,-0.551,1.084,1.918,3.211,1.785,0.488,44,-4.114,-2.065,0.650,3.220,4.047,2.975,0.488,44,-4.114,-2.065,0.650,3.220,4.047,2.975,7.002,25,-2.346,1.781,6.171,11.191,18.159,7.052,0.022,54,-0.179,-0.058,0.022,0.084,0.219,0.140
"Hisatsune, Ryo",13,42,36,0,1,2,4,-0.310,105,-2.552,-1.564,-0.213,0.664,2.267,1.606,-0.007,75,-1.580,-0.671,0.258,0.803,1.367,1.214,0.423,30,-1.811,-0.304,0.317,1.568,2.152,1.347,0.444,17,-0.575,0.096,0.419,0.909,1.471,0.663,0.867,20,-1.479,-0.329,1.049,1.976,3.044,1.514,0.860,19,-3.811,-0.709,1.413,2.440,3.765,2.171,0.459,45,-4.036,-0.996,0.752,2.302,3.887,2.696,0.459,45,-4.036,-0.996,0.752,2.302,3.887,2.696,0.976,67,-12.581,-4.059,0.652,7.317,10.956,7.852,0.018,58,-0.157,-0.058,0.011,0.079,0.190,0.115
"Smotherman, Austin",7,19,14,0,0,0,2,-0.727,134,-2.828,-1.780,-0.649,0.638,0.988,1.494,-0.414,125,-1.522,-1.215,-0.557,0.253,1.322,1.014,1.044,4,-1.524,0.388,1.205,1.716,3.767,1.685,0.542,13,-0.999,0.012,0.551,1.098,1.891,1.021,1.585,2,-1.116,0.747,1.633,2.535,4.187,1.792,1.172,9,-2.027,-0.096,1.157,2.485,4.356,2.373,0.448,46,-3.866,-0.322,0.650,2.150,3.658,2.934,0.448,46,-3.866,-0.322,0.650,2.150,3.658,2.934,1.259,64,-15.728,-3.550,2.936,7.596,13.049,10.494,0.071,15,-0.160,-0.031,0.049,0.193,0.298,0.160
"Hoey, Rico",11,37,28,0,0,1,3,-0.997,139,-4.192,-2.170,-1.012,-0.119,1.686,1.901,0.099,58,-1.807,-0.518,0.354,0.839,1.337,1.143,0.348,36,-2.271,-0.330,0.335,1.163,2.896,1.723,0.820,4,-1.101,0.349,1.000,1.479,2.197,1.045,1.167,7,-2.188,-0.456,1.576,2.658,4.044,2.364,1.266,8,-3.468,0.094,1.478,2.778,5.085,2.560,0.433,47,-3.725,-2.046,0.568,2.339,4.989,2.995,0.433,47,-3.725,-2.046,0.568,2.339,4.989,2.995,4.736,39,-5.647,-1.168,4.831,11.050,16.259,7.715,0.055,24,-0.141,-0.020,0.060,0.127,0.276,0.140
"Jaeger, Stephan",11,34,31,0,0,1,3,0.368,29,-2.032,-0.615,0.271,1.340,2.728,1.503,0.298,23,-1.338,-0.650,0.102,1.115,2.562,1.267,0.527,22,-1.544,-0.514,0.615,1.552,3.024,1.587,-0.410,119,-3.040,-0.920,-0.226,0.277,1.401,1.299,0.117,65,-2.088,-0.590,-0.210,1.496,2.239,1.596,0.415,42,-3.096,-0.900,0.451,1.499,3.902,2.091,0.420,48,-4.661,-1.365,0.704,2.131,4.986,2.887,0.420,48,-4.661,-1.365,0.704,2.131,4.986,2.887,4.118,42,-19.745,-2.206,6.864,12.276,20.126,13.665,-0.076,132,-0.288,-0.225,-0.066,0.016,0.200,0.153
