event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Wyndham Championship,Sedgefield Country Club,"Ramey, Chad",19840,47983,254,191,132,12:32 PM,late,10,7:12 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Riley, Davis",19872,47995,313,116,108,12:54 PM,late,10,7:34 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Rodgers, Patrick",16283,36699,224,102,64,12:32 PM,late,1,7:12 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Rodriguez, Lorenzo",30043173,71059,null,null,null,2:11 PM,late,1,8:51 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Roy, Kevin",18424,39335,136,118,88,7:12 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Rozo, Marcelo",16591,37076,null,null,201,8:29 AM,early,10,1:49 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Saddier, Adrien",14792,34371,227,140,179,2:00 PM,late,10,8:40 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Sargent, Gordon",30814,64442,451,326,130,8:40 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Schenk, Adam",19477,47347,444,187,157,7:23 AM,early,1,12:43 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Schmid, Matti",20722,48867,147,83,67,6:50 AM,early,1,12:10 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Shipley, Neal",32055,63807,233,207,184,1:49 PM,late,10,8:29 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Silverman, Ben",17381,39327,250,228,136,8:18 AM,early,1,1:38 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Simpson, Webb",11049,29221,221,null,181,7:34 AM,early,10,12:54 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Skinns, David",10873,27139,252,274,144,1:16 PM,late,10,7:56 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Smalley, Alex",18474,46340,54,46,25,1:16 PM,late,1,7:56 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Smith, Jordan",18586,46464,65,76,68,6:50 AM,early,1,12:10 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Smotherman, Austin",22985,50095,225,107,76,6:50 AM,early,10,12:10 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Snedeker, Brandt",8820,27649,179,127,83,12:43 PM,late,1,7:23 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Spieth, Jordan",14636,34046,82,57,55,1:05 PM,late,1,7:45 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Springer, Hayden",21995,50484,268,309,134,8:51 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Stanger, Jimmy",23048,51600,376,335,135,2:11 PM,late,1,8:51 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Stevens, Sam",25569,55893,135,55,52,7:12 AM,early,10,12:32 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Straka, Sepp",17511,49960,109,26,37,1:16 PM,late,1,7:56 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Streelman, Kevin",8480,27214,276,407,153,7:45 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Suber, Jackson",29279,60019,100,109,82,8:40 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Svensson, Adam",13997,40115,330,475,176,7:12 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Svensson, Jesper",26850,57586,194,169,124,2:00 PM,late,10,8:40 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Taylor, Nick",13126,25493,58,73,61,12:43 PM,late,10,7:23 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Theegala, Sahith",23014,51634,72,82,43,12:54 PM,late,1,7:34 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Thomas, Justin",14139,33448,24,22,40,7:45 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Thompson, Davis",27364,58168,60,123,81,7:34 AM,early,10,12:54 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Tosti, Alejandro",17032,38991,null,410,186,2:11 PM,late,1,8:51 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Van Rooyen, Erik",17550,40006,190,198,146,7:01 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"VanDerLaan, John",25319,55573,322,297,168,8:40 AM,early,10,2:00 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Ventura, Kristoffer",15651,35658,119,192,102,8:51 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Vilips, Karl",24304,54304,213,197,128,1:16 PM,late,10,7:56 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Villegas, Camilo",9171,27770,389,473,194,7:12 AM,early,1,12:32 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Walker, Danny",25003,54607,null,284,159,12:21 PM,late,10,7:01 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Wallace, Matt",20706,48887,52,62,80,12:21 PM,late,1,7:01 AM,early,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Whaley, Vince",25908,51894,209,184,169,12:21 PM,late,10,7:01 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Wise, Aaron",22051,49964,432,460,149,8:07 AM,early,1,1:27 PM,late,10,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Wu, Dylan",25002,54783,286,389,160,12:10 PM,late,10,6:50 AM,early,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Young, Cameron",26651,57366,6,3,3,7:45 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Wyndham Championship,Sedgefield Country Club,"Yu, Kevin",17881,45242,96,126,111,7:45 AM,early,1,1:05 PM,late,10,null,null,null,null,null,null,1
