player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Malnati, Peter",150,-0.967,0.000,39,-0.028,-0.032,0.012,-0.021,0.250,0.071,-0.196,-0.047,-0.172,-0.959,2.735,"Wyndham Championship","Sedgefield Country Club"
"Kang, Jeffrey",150,-0.859,0.000,35,-0.011,0.034,-0.059,0.064,-0.044,0.029,-0.126,0.006,-0.091,-0.966,2.719,"Wyndham Championship","Sedgefield Country Club"
"Villegas, Camilo",150,-0.879,0.000,44,-0.053,-0.045,-0.057,-0.159,0.255,0.123,-0.137,-0.016,-0.030,-0.968,2.692,"Wyndham Championship","Sedgefield Country Club"
"Akina, Kihei",150,-0.753,0.000,20,0.053,-0.005,-0.100,-0.012,-0.044,-0.042,-0.062,-0.005,-0.110,-0.971,2.759,"Wyndham Championship","Sedgefield Country Club"
"Pan, C.T.",150,-0.732,0.000,34,-0.009,-0.003,-0.574,0.079,0.093,0.086,0.065,-0.011,0.140,-1.006,2.749,"Wyndham Championship","Sedgefield Country Club"
"Schenk, Adam",150,-1.006,0.000,34,-0.008,-0.017,0.083,0.030,-0.038,0.016,-0.088,0.004,-0.067,-1.025,2.761,"Wyndham Championship","Sedgefield Country Club"
"Sargent, Gordon",150,-1.025,0.000,23,0.041,-0.001,0.226,0.107,-0.022,-0.172,-0.167,-0.041,-0.379,-1.053,2.831,"Wyndham Championship","Sedgefield Country Club"
"Mazzoli, Stefano",150,-0.808,-0.050,29,0.013,0.003,0.027,-0.074,-0.044,-0.020,-0.083,-0.019,-0.122,-1.055,2.746,"Wyndham Championship","Sedgefield Country Club"
"List, Luke",150,-0.958,0.000,41,-0.039,-0.006,-0.026,0.114,-0.013,-0.053,-0.076,0.001,-0.129,-1.056,2.782,"Wyndham Championship","Sedgefield Country Club"
"Rozo, Marcelo",150,-1.345,0.000,36,-0.019,-0.013,-0.029,0.033,-0.044,0.098,0.127,0.020,0.244,-1.173,2.739,"Wyndham Championship","Sedgefield Country Club"
