player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Roy, Kevin",18424,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-T11_pga-corales puntacana championship-T62_pga-3m open-T31_pga-rocket classic-T26,0.35,0.42
"Echavarria, Nico",22833,pga,pga,major-u.s. open-T56_pga-travelers championship-T30_pga-genesis scottish open-T36_major-the open championship-T67_pga-rocket classic-CUT,0.34,0.07
"Kuchar, Matt",6169,pga,pga,pga-charles schwab challenge-T22_pga-the memorial tournament presented by workday-T22_pga-john deere classic-T15_pga-3m open-CUT_pga-rocket classic-T50,0.33,0.27
"Greyserman, Max",23465,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-T36_major-the open championship-CUT_pga-3m open-T31_pga-rocket classic-T50,0.31,0.1
"Smalley, Alex",18474,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-CUT_pga-travelers championship-T47_pga-genesis scottish open-CUT_major-the open championship-T53,0.27,-0.43
"Penge, Marco",22465,pga,pga,major-pga championship-CUT_euro-bmw international open-T9_pga-genesis scottish open-CUT_major-the open championship-T18_pga-rocket classic-T45,0.23,-0.19
"Potgieter, Aldrich",27900,pga,pga,pga-john deere classic-CUT_pga-genesis scottish open-CUT_major-the open championship-T59_pga-3m open-CUT_pga-rocket classic-CUT,0.19,0.35
"Van Rooyen, Erik",17550,pga,pga,pga-rbc canadian open-T20_pga-john deere classic-T26_pga-genesis scottish open-CUT_pga-3m open-CUT_pga-rocket classic-CUT,0.14,0.73
"Hughes, Mackenzie",15556,pga,pga,pga-john deere classic-T46_pga-isco championship-T10_pga-corales puntacana championship-T20_pga-3m open-T44_pga-rocket classic-CUT,0.14,0.02
"Mouw, William",29770,pga,pga,major-u.s. open-T65_pga-john deere classic-T26_pga-isco championship-T10_pga-3m open-CUT_pga-rocket classic-T68,0.12,0.03
"Dahmen, Joel",14509,pga,pga,pga-john deere classic-T46_pga-isco championship-T30_pga-corales puntacana championship-T24_pga-3m open-T34_pga-rocket classic-CUT,0.04,0.27
"Hossler, Beau",15470,pga,pga,pga-john deere classic-T39_pga-isco championship-T21_pga-corales puntacana championship-T42_pga-3m open-56_pga-rocket classic-T45,0.03,0.07
"Bauchou, Zach",19846,pga,pga,pga-john deere classic-T67_pga-genesis scottish open-CUT_pga-corales puntacana championship-T9_pga-3m open-T44_pga-rocket classic-CUT,0.03,-0.11
"Cole, Eric",21756,pga,pga,pga-travelers championship-T38_pga-john deere classic-T39_pga-genesis scottish open-70_major-the open championship-T53_pga-rocket classic-CUT,0,-0.59
"Hojgaard, Rasmus",23838,pga,pga,pga-charles schwab challenge-CUT_pga-genesis scottish open-T36_major-the open championship-CUT_pga-3m open-CUT_pga-rocket classic-4,-0.05,-0.71
"Power, Seamus",10104,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-WD_pga-corales puntacana championship-T11_pga-3m open-T10_pga-rocket classic-CUT,-0.05,-0.15
"Kirk, Chris",12423,pga,pga,pga-rbc canadian open-CUT_major-u.s. open-CUT_pga-genesis scottish open-T61_pga-3m open-T31_pga-rocket classic-T8,-0.06,-0.41
"Parry, John",13764,pga,pga,major-u.s. open-T11_pga-genesis scottish open-CUT_major-the open championship-T28_pga-3m open-T24_pga-rocket classic-CUT,-0.08,-0.43
"McGreevy, Max",23505,pga,pga,pga-john deere classic-T51_pga-genesis scottish open-CUT_pga-corales puntacana championship-T11_pga-3m open-CUT_pga-rocket classic-CUT,-0.09,-0.44
"Kanaya, Takumi",19729,pga,pga,pga-john deere classic-CUT_pga-isco championship-T15_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-CUT,-0.09,0.02
"Dou, Zecheng",16757,pga,pga,pga-john deere classic-T21_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-T16_pga-rocket classic-T65,-0.1,-0.3
"Silverman, Ben",17381,pga,pga,pga-john deere classic-CUT_pga-isco championship-T3_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-CUT,-0.1,0.51
"Fishburn, Patrick",25094,pga,pga,pga-john deere classic-T67_pga-isco championship-CUT_pga-corales puntacana championship-T42_pga-3m open-T16_pga-rocket classic-T50,-0.13,0.13
"McCarty, Matt",28635,pga,pga,major-u.s. open-CUT_pga-travelers championship-T30_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-rocket classic-T50,-0.13,-0.82
"Clanton, Luke",32330,pga,pga,pga-john deere classic-CUT_pga-isco championship-CUT_pga-corales puntacana championship-CUT_pga-3m open-CUT_pga-rocket classic-T20,-0.14,0.65
"Fisk, Steven",26657,pga,pga,pga-rbc canadian open-CUT_pga-john deere classic-T67_pga-isco championship-1_pga-3m open-CUT_pga-rocket classic-CUT,-0.17,-0.25
"Hoge, Tom",15575,pga,pga,pga-travelers championship-T38_pga-john deere classic-T33_pga-isco championship-T10_pga-3m open-CUT_pga-rocket classic-CUT,-0.18,0.12
"Ewart, A.J.",21883,pga,pga,pga-john deere classic-T71_pga-isco championship-T34_pga-corales puntacana championship-T20_pga-3m open-55_pga-rocket classic-CUT,-0.18,-0.09
"Hall, Harry",27194,pga,pga,major-u.s. open-CUT_pga-travelers championship-T51_pga-genesis scottish open-CUT_major-the open championship-CUT_pga-rocket classic-CUT,-0.2,-0.9
"Mazzoli, Stefano",20844,pga,pga,euro-bmw international open-T23_pga-isco championship-CUT_pga-corales puntacana championship-1_pga-3m open-CUT_pga-rocket classic-CUT,-0.21,0.75
"Glover, Lucas",7399,pga,pga,pga-travelers championship-T66_pga-john deere classic-T3_pga-isco championship-T5_pga-3m open-T57_pga-rocket classic-CUT,-0.23,0.16
"Shipley, Neal",32055,pga,pga,major-u.s. open-T65_pga-john deere classic-CUT_pga-isco championship-CUT_pga-3m open-T44_pga-rocket classic-T50,-0.24,0.37
