POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T47,Cameron,Young,-8,-7,0.58,295.3,62.50%,-0.21,68.10%,"24' 4""","58' 4""",-1.02,0.18,65.60%,2.5,3,-0.48,0.54,0.36
T47,Alex,Smalley,-8,-6,0.02,284.3,69.60%,-0.23,79.20%,"27' 1""","38' 8""",0.62,-0.89,58.60%,3.5,5.25,-0.48,-1.1,-0.21
T47,Jacob,Bridgeman,-8,-4,0.49,280.1,71.40%,-0.31,70.80%,"24' 9""","75' 9""",-0.51,-0.14,67.70%,3.5,3.5,-0.48,0.04,0.17
T47,Brian,Campbell,-8,-1,-0.78,274,71.40%,0.13,69.40%,"24' 10""","43' 6""",0.47,-0.31,60.70%,2.5,4.5,-0.48,-0.95,-0.65
T51,Sahith,Theegala,-7,-5,-0.52,287.6,50.00%,-0.36,68.10%,"27' 3""","59' 10""",-0.21,0.36,54.50%,3.5,4.25,-0.73,-0.53,-0.88
T51,Jhonattan,Vegas,-7,-3,-0.26,289.5,55.40%,-1.1,73.60%,"29' 4""","57' 5""",0.11,0.52,68.20%,2.5,3,-0.73,-0.84,-1.36
T51,Harry,Hall,-7,-2,-0.88,280.5,57.10%,-1.66,65.30%,"27' 6""","70' 11""",1.5,0.32,71.90%,3.5,2.75,-0.73,-2.23,-2.54
T51,Xander,Schauffele,-7,-1,0.67,291.3,73.20%,-0.89,76.40%,"26' 11""","58' 11""",-0.7,0.19,60.90%,2.5,3.75,-0.73,-0.03,-0.22
T55,Ludvig,Aberg,-6,-2,-0.46,290.2,73.20%,0.75,76.40%,"24' 11""","39' 10""",-1.15,-0.11,56.50%,3.25,4,-0.98,0.17,0.29
T55,Alex,Noren,-6,-1,-0.16,277.4,73.20%,-1.46,65.30%,"31' 11""","79' 4""",1.1,-0.46,64.70%,3.5,3.5,-0.98,-2.08,-1.62
T55,Jason,Day,-6,-1,0.03,281.4,76.80%,-0.96,73.60%,"29' 10""","52' 2""",-0.38,0.33,66.70%,2.75,2.75,-0.98,-0.6,-0.93
T55,Jake,Knapp,-6,-1,-0.58,289.4,57.10%,-0.34,68.10%,"26' 0""","45' 5""",0.45,-0.51,51.50%,3.25,3.5,-0.98,-1.43,-0.93
T55,Tony,Finau,-6,E,-0.17,293,71.40%,-0.21,73.60%,"26' 10""","70' 9""",-0.84,0.24,58.30%,4.75,4.75,-0.98,-0.14,-0.38
T55,Maverick,McNealy,-6,2,-0.1,293.9,58.90%,-0.71,72.20%,"29' 1""","73' 6""",-0.35,0.19,75.00%,3.5,4.75,-0.98,-0.63,-0.82
61,Taylor,Pendrith,-5,-1,-0.19,293.9,57.10%,-1.23,69.40%,"26' 10""","59' 2""",-0.05,0.23,65.40%,2,4,-1.23,-1.18,-1.41
T62,Min Woo,Lee,-4,-4,-0.23,286.4,71.40%,0.18,77.80%,"25' 8""","55' 9""",-1.13,-0.3,61.50%,3,3.5,-1.48,-0.34,-0.05
