Last Name,First Name,Fairway 50-100 (shots),Fairway 50-100 (value),Fairway 100-150 (shots),Fairway 100-150 (value),Fairway 150-200 (shots),Fairway 150-200 (value),Fairway over 200 (shots),Fairway over 200 (value),Rough-Under 150 (shots),Rough-Under 150 (value),Rough-Over 150 (shots),Rough-Over 150 (value)
CHANDLER,WILL,37,-0.032,103,-0.07,101,-0.036,59,-0.125,41,-0.041,42,-0.072
HADLEY,CHESSON,20,-0.021,59,-0.072,84,0.027,30,-0.028,18,-0.064,—,—
OGLETREE,ANDY,28,-0.085,76,-0.072,73,-0.005,30,-0.068,25,-0.091,—,—
RIEDEL,MATTHEW,39,-0.064,104,-0.073,119,-0.03,61,0.009,43,-0.029,22,-0.058
IM,SUNGJAE,66,0.049,243,-0.074,400,-0.072,224,0.012,110,-0.027,123,-0.022
ALBERTSON,ANDERS,16,-0.022,54,-0.09,80,-0.043,33,-0.072,36,-0.1,20,-0.003
JAMES,BEN,13,0.093,46,-0.095,59,0.074,—,—,14,-0.078,—,—
TABUENA,MIGUEL,23,-0.023,139,-0.115,197,-0.114,89,-0.01,68,0.017,80,0.01
FANG,ETHAN,13,-0.126,—,—,—,—,—,—,16,0.029,—,—
COUVRA,MARTIN,—,—,—,—,—,—,—,—,11,0.028,—,—
MEEKS,KYE,—,—,—,—,—,—,—,—,12,0.005,—,—
BYRD,MARCUS,—,—,—,—,—,—,—,—,16,0.01,—,—
STOUT,PRESTON,—,—,—,—,—,—,—,—,12,-0.176,—,—
GONZALEZ,EMILIO,12,0.111,—,—,54,-0.088,—,—,17,0.003,28,-0.121
HASTINGS,JUSTIN,—,—,—,—,—,—,—,—,17,0.089,—,—
CARRERA,LUIS,—,—,—,—,—,—,—,—,12,-0.218,—,—
RUSSELL,MILES,11,0.068,—,—,—,—,—,—,20,0.112,—,—
WATTS,TYLER,—,—,—,—,—,—,—,—,11,0.16,—,—
MATTHEWS,JUSTIN,—,—,—,—,—,—,—,—,14,-0.054,—,—
AYORA,ANGEL,—,—,—,—,—,—,—,—,21,0.008,—,—
MCCULLOCH,ASHTON,—,—,—,—,—,—,—,—,13,-0.049,—,—
HERRON,CARSON,—,—,—,—,—,—,—,—,12,-0.09,—,—
PETRONZIO,NATHAN,—,—,—,—,—,—,—,—,12,-0.167,—,—
KANEKO,KOTA,11,-0.052,—,—,—,—,—,—,—,—,—,—
COUPLES,FRED,11,-0.301,—,—,—,—,—,—,—,—,—,—
NICHOLAS,JAMES,—,—,—,—,—,—,—,—,11,0.011,—,—
HERMAN,JIM,—,—,—,—,—,—,—,—,11,-0.005,—,—
SHINKWIN,CALLUM,—,—,—,—,—,—,—,—,15,-0.256,—,—
ARMITAGE,MARCUS,—,—,—,—,—,—,—,—,11,0.102,—,—
MUN,DOYEOB,16,0.124,—,—,—,—,—,—,23,-0.082,—,—
YUAN,CARL,—,—,—,—,—,—,—,—,14,0.054,—,—
DAFFUE,MJ,—,—,—,—,—,—,—,—,12,-0.034,—,—
LANGASQUE,ROMAIN,—,—,—,—,—,—,—,—,13,0.037,—,—
KNOUS,JIM,13,-0.059,—,—,—,—,—,—,—,—,—,—
LEE,S.T.,—,—,—,—,48,-0.1,—,—,15,0.11,21,-0.151
HIGA,KAZUKI,—,—,—,—,—,—,—,—,—,—,20,-0.023
LEE,K.H.,16,0.043,—,—,—,—,—,—,11,0.035,20,-0.022
TODD,BRENDON,17,-0.064,—,—,53,-0.2,—,—,15,0.035,24,-0.042
HRUBY,PETR,—,—,—,—,—,—,—,—,19,-0.085,—,—
