player_id,Player,total_rounds,measured_rounds,birdies,birdie_rounds,birdies_per_round,sg_ott,sg_app,sg_arg,sg_putt_global,sg_putt_bermuda_used,sg_t2g,FormSG,FormScore,TraitScore_APP,TraitScore_OTT,TraitScore_Putt,TraitScore_ARG,TraitScore_Par5,TraitScore_Pressure,VenueFit,comp_adjustment_vts,debut_flag,debut_penalty_vts
55893,Sam Stevens,38,31,159,38,4.184210526315789,0.545,0.328,-0.006,-0.218,-0.1635,0.8668709677419355,0.7328571428571429,60.2003785647816,60.00896630511865,68.76386223458988,43.72286383585007,50.28704741938958,61.81899658957839,61.81899658957839,57.93332132292602,0.0,False,0.0
52955,Ludvig Åberg,28,21,131,28,4.678571428571429,0.497,0.397,0.42,0.227,0.17025,1.3127619047619048,,,62.07609035955119,67.07316039603539,57.843457308222185,71.40967521288958,78.10682883269072,78.10682883269072,65.83827137098035,0.0,False,0.0
50497,Adrien Dumont de Chassart,32,25,126,32,3.9375,0.068,0.085,0.438,-0.072,-0.05399999999999999,0.5914,0.6928571428571428,59.27802867046843,52.72909463516055,51.96251271395463,48.3556877616171,72.30218061261493,53.69056319829136,53.69056319829136,54.28155561544569,0.0,False,0.0
36689,Brooks Koepka,24,19,103,24,4.291666666666667,0.111,0.913,0.051,-0.529,-0.39675000000000005,1.0748947368421051,0.9184375000000001,64.47962913471447,77.53458328835109,53.477099777659696,33.8543142405518,53.113314518519864,65.35938091111676,65.35938091111676,60.10380554864404,0.0,False,0.0
30911,Tommy Fleetwood,24,20,96,24,4.0,0.435,0.459,0.712,-0.263,-0.19725,1.60565,1.3607142857142858,74.67797779873298,63.93350617657754,64.88933718790251,42.29493865325065,85.88809614176753,55.74976632408408,55.74976632408408,61.63672004259247,0.0,False,0.0
46464,Jordan Smith,30,27,118,30,3.933333333333333,0.501,0.454,-0.216,-0.275,-0.20625000000000002,0.7395185185185185,0.30562500000000004,50.34894051949472,63.78371457843025,67.21405221591493,41.914158604557464,39.8744844225938,53.55328298990517,53.55328298990517,56.12958967365094,0.0,False,0.0
34046,Jordan Spieth,34,30,129,34,3.7941176470588234,-0.053,0.412,0.129,0.217,0.16275,0.4872666666666667,0.52796875,55.47590887733707,62.525465153993046,47.70053516259852,57.52614060097787,56.98083791732972,48.96650896853159,48.96650896853159,55.961402039952596,0.0,False,0.0
57975,Harry Hall,28,24,119,28,4.25,-0.24,-0.152,0.538,0.455,0.34125,0.14558333333333334,-0.19071428571428573,38.903978326443564,45.6289728829792,41.11384258322998,65.07827823339261,77.26054394442245,63.98657882725494,63.98657882725494,54.776251205118314,0.0,False,0.0
28723,John Parry,36,29,140,36,3.888888888888889,-0.015,0.218,0.025,0.094,0.07050000000000001,0.2286206896551724,0.15714285714285717,46.92512830020275,56.713551145878355,49.039007451454154,53.623145101872765,51.82414005224991,52.08896076711925,52.08896076711925,53.341951431023226,0.0,False,0.0
22405,Justin Rose,23,16,103,23,4.478260869565218,-0.283,0.755,-0.09,0.17,0.1275,0.3818125,1.5925000000000002,80.02266602560127,72.80116878689685,39.59925551952492,56.03475207692957,46.12202222067127,71.5071467649327,71.5071467649327,59.747230234386656,0.0,False,0.0
36326,David Lipsky,20,13,94,20,4.7,-0.31,0.192,0.524,0.485,0.36375,0.40553846153846157,0.9750000000000001,65.78388953214169,55.93463483551247,38.64823573533801,66.03022835512556,76.5663730779694,78.8128413329625,78.8128413329625,60.20210141272027,0.0,False,0.0
