POS,First Name,Last Name,Score,SG-APP,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T47,Alex,Smalley,-8,-6,0.5,282.9,71.40%,1.55,88.90%,"25' 7""","23' 11""",1.65,-0.17,60.00%,3,3,3.53,1.88,2.05
T47,Jacob,Bridgeman,-8,-4,1.3,280.3,85.70%,0.6,72.20%,"24' 10""","94' 11""",-0.04,-0.33,62.50%,6,4,1.53,1.57,1.9
T47,Brian,Campbell,-8,-1,-0.92,269.5,78.60%,0.66,72.20%,"21' 0""","55' 11""",-0.66,-0.55,57.10%,2,5,-1.47,-0.82,-0.26
T51,Sahith,Theegala,-7,-5,-0.81,287.7,57.10%,2.95,83.30%,"17' 11""","38' 8""",-0.59,0.97,100.00%,5,2,2.53,3.11,2.14
T51,Jhonattan,Vegas,-7,-3,0.25,291.2,50.00%,-1.95,72.20%,"21' 4""","104' 9""",0.75,1.47,100.00%,2,1,0.53,-0.23,-1.7
T51,Harry,Hall,-7,-2,-1.93,276.9,57.10%,-1.97,72.20%,"25' 8""","101' 6""",2.8,0.64,80.00%,4,2,-0.47,-3.27,-3.91
T51,Xander,Schauffele,-7,-1,1.51,302.3,64.30%,-1.39,61.10%,"27' 11""","70' 5""",-0.82,-0.77,50.00%,4,5,-1.47,-0.65,0.12
T55,Ludvig,Aberg,-6,-2,-0.59,292,78.60%,0.4,72.20%,"25' 11""","24' 5""",0.04,-0.32,50.00%,4,4,-0.47,-0.51,-0.19
T55,Alex,Noren,-6,-1,-0.28,280.4,57.10%,-2.24,50.00%,"28' 5""","103' 5""",0.63,0.43,75.00%,3,5,-1.47,-2.1,-2.52
T55,Jason,Day,-6,-1,-0.96,283.9,64.30%,1.04,83.30%,"20' 6""","64' 8""",-2.92,1.37,50.00%,4,3,-1.47,1.44,0.08
T55,Jake,Knapp,-6,-1,0.54,288.9,64.30%,-0.08,72.20%,"27' 5""","33' 8""",-1.82,-0.12,37.50%,4,3,-1.47,0.34,0.46
T55,Tony,Finau,-6,E,-0.37,293.9,71.40%,-0.71,83.30%,"29' 0""","18' 10""",-1.76,0.38,66.70%,1,2,-2.47,-0.71,-1.09
T55,Maverick,McNealy,-6,2,-0.81,295,64.30%,-1.83,66.70%,"22' 11""","70' 8""",-0.87,-0.96,75.00%,2,6,-4.47,-3.6,-2.64
61,Taylor,Pendrith,-5,-1,0.25,297.7,57.10%,-2.23,66.70%,"29' 6""","58' 5""",-1.06,1.56,85.70%,1,3,-1.47,-0.41,-1.98
T62,Min Woo,Lee,-4,-4,0.53,297.5,71.40%,-0.5,77.80%,"21' 0""","88' 8""",1.07,0.42,83.30%,2,3,1.53,0.46,0.03
T62,Sam,Stevens,-4,-2,0.49,286.3,71.40%,-0.53,66.70%,"30' 9""","51' 8""",-0.34,-0.09,42.90%,3,5,-0.47,-0.13,-0.04
T62,Ben,James,-4,3,-0.52,280.9,78.60%,-2.99,66.70%,"31' 0""","52' 3""",-1.46,-0.5,44.40%,2,8,-5.47,-4.01,-3.52
65,Adam,Scott,-3,1,-0.62,291.8,64.30%,0.21,77.80%,"27' 8""","61' 5""",-2.67,-0.39,50.00%,2,7,-3.47,-0.8,-0.41
T66,Ryan,Fox,E,-3,-1.78,291.5,57.10%,0.64,66.70%,"24' 9""","24' 10""",0.71,0.95,50.00%,4,6,0.53,-0.18,-1.14
T66,Jordan,Spieth,E,-3,-0.4,279.7,57.10%,0.66,72.20%,"20' 10""","44' 1""",0.21,0.06,50.00%,3,6,0.53,0.32,0.26
T66,Lucas,Glover,E,-2,-0.02,280.5,78.60%,1.58,77.80%,"22' 5""","11' 6""",-1.09,-0.94,50.00%,4,7,-0.47,0.62,1.56
69,J.T.,Poston,1,6,-0.77,285.4,57.10%,-2.12,55.60%,"30' 1""","63' 4""",2.28,-7.87,46.70%,3,5,-8.47,-10.76,-2.89
70,Mark,Hubbard,2,E,0.21,282.9,64.30%,-0.4,77.80%,"27' 11""","42' 8""",-3.23,0.95,50.00%,2,4,-2.47,0.76,-0.19
71,Gary,Woodland,5,2,0.05,300,64.30%,-2.3,66.70%,"32' 5""","61' 3""",-0.94,-1.29,50.00%,1,3,-4.47,-3.54,-2.25
72,Sepp,Straka,10,2,-0.35,281.1,64.30%,-1.49,61.10%,"30' 0""","55' 1""",-0.47,-2.16,50.00%,2,5,-4.47,-4,-1.84
