RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
116,2,35296,Haotong Li,-0.247,-5.682,23
117,2,57364,Michael Thorbjornsen,-0.255,-7.129,28
118,2,30911,Tommy Fleetwood,-0.263,-5.256,20
119,2,46464,Jordan Smith,-0.275,-7.421,27
120,2,54607,Danny Walker,-0.282,-7.903,28
121,2,64442,Gordon Sargent,-0.288,-4.028,14
122,2,54783,Dylan Wu,-0.291,-5.528,19
123,2,47393,Jeffrey Kang,-0.314,-5.660,18
124,2,29535,Brice Garnett,-0.318,-5.728,18
125,2,39546,Keith Mitchell,-0.327,-11.447,35
126,2,51696,Rico Hoey,-0.328,-11.815,36
127,2,33968,Thorbjørn Olesen,-0.371,-7.055,19
128,2,30926,Chris Kirk,-0.384,-10.361,27
129,2,27644,Brian Harman,-0.387,-10.460,27
130,2,37455,Si Woo Kim,-0.390,-12.882,33
131,2,60067,Joe Highsmith,-0.410,-12.295,30
132,2,46414,Aaron Rai,-0.437,-8.743,20
133,2,34021,Bud Cauley,-0.438,-13.591,31
134,2,56781,Isaiah Salinda,-0.452,-6.321,14
135,2,51950,Max McGreevy,-0.469,-15.464,33
136,2,32070,Rafael Campos,-0.477,-7.156,15
137,2,50095,Austin Smotherman,-0.494,-11.367,23
138,2,39997,Corey Conners,-0.509,-13.228,26
139,2,54422,Christo Lamprecht,-0.525,-8.396,16
140,2,36689,Brooks Koepka,-0.529,-10.053,19
141,2,61522,Michael Brennan,-0.544,-11.968,22
142,2,39324,J.J. Spaun,-0.554,-12.737,23
143,2,40162,Justin Lower,-0.556,-7.786,14
144,2,59006,Davis Chatfield,-0.567,-9.642,17
145,2,34076,Joel Dahmen,-0.572,-12.011,21
146,2,31646,Emiliano Grillo,-0.578,-16.183,28
147,2,12716,Charley Hoffman,-0.599,-7.183,12
148,2,63343,Aldrich Potgieter,-0.615,-12.294,20
149,2,47347,Adam Schenk,-0.622,-16.171,26
150,2,40250,Taylor Pendrith,-0.630,-16.377,26
151,2,45242,Kevin Yu,-0.636,-13.987,22
152,2,45157,Cam Davis,-0.686,-10.973,16
153,2,54421,Garrick Higgo,-0.693,-15.943,23
154,2,57586,Jesper Svensson,-0.694,-8.332,12
155,3,51766,Wyndham Clark,-0.725,-18.119,25
156,3,63454,Johnny Keefer,-0.731,-18.281,25
157,3,58168,Davis Thompson,-0.734,-17.617,24
158,3,36801,Mark Hubbard,-0.777,-18.658,24
159,3,54788,Chandler Blanchet,-0.795,-12.720,16
160,3,25900,Lucas Glover,-0.805,-13.685,17
161,3,60019,Jackson Suber,-0.824,-13.186,16
162,3,40115,Adam Svensson,-0.959,-15.341,16
163,3,63807,Neal Shipley,-0.962,-15.386,16
164,3,38991,Alejandro Tosti,-0.963,-15.403,16
165,3,66743,Luke Clanton,-1.064,-15.956,15
166,3,37076,Marcelo Rozo,-1.636,-22.909,14
