player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P026,FERGUSON,EWEN,3,93,48.9480343570574,39.795186652668875,66.36479950180671,56.7,0.0,52.75856496724346,0.19,0.86,1.52,2.85,66.6,33.4,Pass / No Edge,acc-neg/app-neg,HIGH
P163,STANGER,JIMMY,3,94,50.10470921631541,49.8214636094848,50.0,48.333333333333336,0.0,52.40104603322386,0.18,0.81,1.44,2.7,51.5,48.5,Pass / No Edge,renaissance-debut,LOW
P119,RODRIGUES,DANIEL,3,95,50.10470921631541,51.10271844416964,50.0,45.5,0.0,52.34031986886027,0.18,0.81,1.44,2.7,51.5,48.5,Pass / No Edge,renaissance-debut,LOW
P044,HIDALGO,ANGEL,3,96,50.10470921631541,51.10271844416964,50.0,45.5,0.0,52.34031986886027,0.18,0.81,1.44,2.7,51.4,48.6,Pass / No Edge,renaissance-debut,LOW
P024,ELVIRA,NACHO,3,97,50.10470921631541,51.10271844416964,50.0,45.5,0.0,52.34031986886027,0.18,0.81,1.44,2.7,51.3,48.7,Pass / No Edge,renaissance-debut,LOW
P097,NEERGAARD-PETERSEN,RASMUS,3,98,57.69287983890244,44.209848794684895,40.761791656117225,47.166666666666664,0.0,52.0887006784786,0.17,0.76,1.36,2.55,66.2,33.8,Pass / No Edge,acc-neg/app-neg,MEDIUM
P055,HUBBARD,MARK,3,99,45.142407156624834,60.912665860843006,37.0377177876533,50.833333333333336,0.0,52.06186057424774,0.17,0.76,1.36,2.55,51.1,48.9,Pass / No Edge,none,MEDIUM
P006,BROWN,DAN,3,100,47.81444327607748,59.347395556277746,48.3651091375644,35.1,0.0,51.969691123201684,0.17,0.76,1.36,2.55,51.0,49.0,Pass / No Edge,none,MEDIUM
P093,MOLINARI,FRANCESCO,3,101,43.98182581181207,58.40924202660919,44.33069578006182,45.166666666666664,0.0,50.60989212669725,0.13,0.58,1.04,1.95,50.9,49.1,Pass / No Edge,none,HIGH
P137,STRAKA,SEPP,3,102,44.926485045961996,59.27901949549158,59.69250048747551,23.3,0.0,50.10622836391771,0.12,0.54,0.96,1.8,50.8,49.2,Pass / No Edge,none,MEDIUM
P105,PARRY,JOHN,4,103,47.13968668025611,58.152991059672225,43.244507568426506,35.0,0.0,49.85998627686063,0.12,0.54,0.96,1.8,50.7,49.3,Pass / No Edge,none,LOW
P145,THORBJORNSEN,MICHAEL,4,104,48.759102510227414,51.91893112630262,50.0,35.9,0.0,49.749176266492675,0.12,0.54,0.96,1.8,50.6,49.4,Pass / No Edge,renaissance-debut,SPECULATIVE
P012,CHACARRA,EUGENIO,4,105,63.360835243802,23.73636802858916,39.83077318900125,79.7,3.0,48.89791848000622,0.1,0.45,0.8,1.5,78.7,21.3,Make Cut,weak-APP/no-CH|acc-neg/app-neg|ANTI-PATTERN,LOW
P092,MIGLIOZZI,GUIDO,4,106,42.308429454175055,40.80383972327223,60.15800972103351,57.1,0.0,47.938769100971044,0.09,0.4,0.72,1.35,50.5,49.5,Pass / No Edge,weak-APP/no-CH,MEDIUM
P156,YU,KEVIN,4,107,52.78065182132282,41.72665110886687,38.89975472188526,48.5,0.0,47.91932723387999,0.09,0.4,0.72,1.35,65.4,34.6,Pass / No Edge,weak-APP/no-CH,LOW
P021,DU PLESSIS,HENNIE,4,108,44.17075765864205,53.14656808723433,50.0,36.05,0.0,47.58979358175632,0.08,0.36,0.64,1.2,50.3,49.7,Pass / No Edge,renaissance-debut,SPECULATIVE
P058,JARVIS,CASEY,4,109,44.25172845014062,47.52046052041997,50.0,46.666666666666664,0.0,47.49570173353681,0.08,0.36,0.64,1.2,50.2,49.8,Pass / No Edge,renaissance-debut,LOW
P073,LAGERGREN,JOAKIM,4,110,41.60668259452083,47.360084682194035,58.916651764878864,44.833333333333336,0.0,47.43047639665585,0.08,0.36,0.64,1.2,50.1,49.9,Pass / No Edge,weak-APP/no-CH,LOW
P004,BRADBURY,DAN,4,111,55.80356137060259,42.661884853331046,30.830928006880093,42.7,0.0,47.03648293130081,0.07,0.32,0.56,1.05,65.0,35.0,Pass / No Edge,acc-neg/app-neg,LOW
P060,KANEKO,KOTA,4,112,59.09637355821091,24.129636552117027,50.0,67.4,3.0,46.04660914373365,0.06,0.27,0.48,0.9,64.9,35.1,Pass / No Edge,acc-neg/app-neg|renaissance-debut|ANTI-PATTERN,LOW
P075,LAWRENCE,THRISTON,4,113,35.58785375979414,61.767260446662625,54.261559429298956,29.0,0.0,45.69847796221122,0.06,0.27,0.48,0.9,31.4,68.6,Miss Cut,none,LOW
P046,HILL,CALUM,4,114,40.74299415186946,40.432230697260465,55.5029173854536,56.4,0.0,45.63532187979125,0.06,0.27,0.48,0.9,49.7,50.3,Miss Cut,weak-APP/no-CH,MEDIUM
P056,IM,SUNGJAE,4,115,47.19366720792182,42.173537506147866,43.7100168019845,47.5,0.0,45.633417704719875,0.06,0.27,0.48,0.9,49.6,50.4,Miss Cut,acc-neg/app-neg,LOW
P089,MCKIBBIN,TOM,4,116,46.761822986596144,43.18723384210424,49.91680658275771,38.9,0.0,45.29317412976839,0.06,0.27,0.48,0.9,49.5,50.5,Miss Cut,acc-neg/app-neg,SPECULATIVE
P094,MOORE,TAYLOR,4,117,46.73483272276329,43.526300534838114,31.29643724043808,56.2,0.0,45.13302847323609,0.05,0.22,0.4,0.75,64.5,35.5,Pass / No Edge,weak-APP/no-CH,LOW
P159,DAHMEN,JOEL,4,118,42.331513232453155,51.188560129178356,50.0,33.6,0.0,45.06259780280689,0.05,0.22,0.4,0.75,49.4,50.6,Miss Cut,renaissance-debut,SPECULATIVE
P008,CANTER,LAURIE,4,119,48.13832644207175,38.6946930656369,38.89975472188526,52.166666666666664,0.0,44.60596315589292,0.05,0.22,0.4,0.75,49.3,50.7,Miss Cut,weak-APP/no-CH,LOW
P063,KIM,BAEKJUN,4,120,54.93987292795123,48.71380327695117,50.0,20.0,3.0,43.957778382512636,0.05,0.22,0.4,0.75,49.2,50.8,Miss Cut,renaissance-debut|weak-ARG|ANTI-PATTERN,SPECULATIVE
P162,RAMEY,CHAD,4,121,41.35986373447037,50.836115511508055,50.0,31.85,0.0,43.93115507104114,0.05,0.22,0.4,0.75,49.1,50.9,Miss Cut,renaissance-debut,SPECULATIVE
P166,VENTURA,KRIS,4,122,41.791707955796056,50.52412319066933,50.0,31.1,0.0,43.88128682141066,0.04,0.18,0.32,0.6,49.0,51.0,Miss Cut,renaissance-debut,SPECULATIVE
P072,LACROIX,FREDERIC,4,123,44.84551425446343,44.732277998253714,37.34805727669196,43.5,0.0,43.05340463815754,0.04,0.18,0.32,0.6,48.9,51.1,Miss Cut,acc-neg/app-neg,SPECULATIVE
P135,STERNE,RICHARD,4,124,46.97774509725898,42.449536838467175,39.83077318900125,38.0,0.0,42.62808563474965,0.04,0.18,0.32,0.6,48.8,51.2,Miss Cut,acc-neg/app-neg,SPECULATIVE
P084,MANASSERO,MATTEO,4,125,38.88066594740246,41.442317116964155,51.778843516989674,45.0,0.0,41.583502965531125,0.03,0.14,0.24,0.45,48.7,51.3,Miss Cut,acc-neg/app-neg,LOW
P139,SULLIVAN,ANDY,4,126,33.9954281936557,42.02484080873945,69.9337036257513,31.549999999999997,0.0,39.9786172307832,0.02,0.09,0.16,0.3,29.8,70.2,Miss Cut,acc-neg/app-neg,LOW
P141,SYME,CONNOR,4,127,18.772919391925438,65.3831224437645,66.98547847988404,26.3,0.0,39.513340586928706,0.02,0.09,0.16,0.3,29.7,70.3,Miss Cut,none,LOW
P018,COUVRA,MARTIN,4,128,40.1222180837138,38.72919961805228,37.34805727669196,50.833333333333336,0.0,39.18137814288063,0.02,0.09,0.16,0.3,48.5,51.5,Miss Cut,weak-APP/no-CH,LOW
P148,VEERMAN,JOHANNES,4,129,20.581267068726735,67.55968959611911,50.07197632727704,31.5,0.0,38.94422663485517,0.02,0.09,0.16,0.3,29.5,70.5,Miss Cut,none,LOW
P111,PUIG,DAVID,4,130,58.09773379639527,16.477888184512558,50.0,50.333333333333336,3.0,38.19119504048079,0.02,0.09,0.16,0.3,63.3,36.7,Pass / No Edge,weak-APP/no-CH|bomb-and-spray|renaissance-debut|ANTI-PATTERN,SPECULATIVE
P010,CASTILLO,RICKY,4,131,50.45948913169728,29.76683930270802,50.0,42.9,3.0,37.91672161772924,0.02,0.09,0.16,0.3,48.2,51.8,Miss Cut,weak-APP/no-CH|renaissance-debut|ANTI-PATTERN,SPECULATIVE
P091,MERONK,ADRIAN,4,132,33.536593708497165,46.94053809182675,38.589415232846605,43.3,0.0,37.51515038405682,0.02,0.09,0.16,0.3,48.1,51.9,Miss Cut,weak-APP/no-CH,LOW
