"POS","Player","R1","THRU","STROKES"
"T27","Ludvig Åberg","-2","F","68"
"T27","Patrick Reed","-2","F","68"
"T27","Davis Riley","-2","F","68"
"T27","Nico Echavarria","-2","F*","68"
"T53","Max McGreevy","-1","F*","69"
"T53","Mikael Lindberg","-1","F*","69"
"T53","Scott Jamieson","-1","F*","69"
"T53","Laurie Canter","-1","F","69"
"T53","Grant Forrest","-1","F*","69"
"T53","Marcel Siem","-1","F","69"
"T53","Xander Schauffele","-1","F*","69"
"T53","Adam Scott","-1","F*","69"
"T53","Brandt Snedeker","-1","F","69"
"T53","Victor Perez","-1","F","69"
"T53","Alex Noren","-1","F*","69"
"T53","Ockie Strydom","-1","F*","69"
"T53","Adrian Meronk","-1","F","69"
"T53","Nacho Elvira","-1","F*","69"
"T53","Nicolai Von Dellingshausen","-1","F*","69"
"T53","Antoine Rozner","-1","F*","69"
"T53","Max Greyserman","-1","F*","69"
"T53","Justin Thomas","-1","F","69"
"T53","Jacques Kruyswijk","-1","F*","69"
"T72","Taylor Moore","E","F","70"
"T72","Matt Wallace","E","F*","70"
"T72","Marco Penge","E","F*","70"
"T72","Jesper Svensson","E","F","70"
"T72","Ewen Ferguson","E","F*","70"
"T72","Aldrich Potgieter","E","F","70"
"T72","Thorbjørn Olesen","E","F","70"
"T72","Eugenio Chacarra","E","F*","70"
"T72","Tyrrell Hatton","E","F*","70"
"T72","Austin Eckroat","E","F","70"
"T72","Dylan Frittelli","E","F","70"
"T72","Darius Van Driel","E","F","70"
"T72","Ricky Castillo","E","F","70"
"T72","Cam Davis","E","F*","70"
"T72","Chris Kirk","E","F*","70"
"T72","Hennie Du Plessis","E","F","70"
"T72","Nick Taylor","E","F","70"
"T72","Sahith Theegala","E","F*","70"
"T72","Brian Harman","E","F","70"
"T72","Matthieu Pavon","E","F*","70"
"T72","Sepp Straka","E","F","70"
"T72","Si Woo Kim","E","F","70"
"T72","Richard Mansell","E","F*","70"
"T72","Joakim Lagergren","E","F*","70"
"T72","Dylan Naidoo","E","F","70"
"T72","Mark Hubbard","E","F","70"
"T72","Karl Vilips","E","F*","70"
"T99","Mac Meissner","+1","F","71"
"T99","Ryan Fox","+1","F*","71"
"T99","Pablo Larrazabal","+1","F","71"
"T99","Kristoffer Reitan","+1","F*","71"
"T99","Thriston Lawrence","+1","F","71"
"T99","Shane Lowry","+1","F*","71"
"T99","Aaron Rai","+1","F*","71"
"T99","Yurav Premlall","+1","F","71"
"T99","Yuto Katsuragawa","+1","F","71"
"T99","Seungbin Choi","+1","F","71"
"T99","Pierceson Coody","+1","F*","71"
"T99","Doug Ghim","+1","F*","71"
"T99","Dan Bradbury","+1","F*","71"
"T99","Niklas Nørgaard","+1","F","71"
"T99","Joe Highsmith","+1","F","71"
"T99","Kota Kaneko","+1","F","71"
"T99","Harris English","+1","F","71"
"T99","Paul Waring","+1","F*","71"
"T99","Harry Hall","+1","F*","71"
"T99","Eric Cole","+1","F*","71"
"T99","Julien Guerrier","+1","F*","71"
"T99","Erik van Rooyen","+1","F*","71"
"T99","Alex Fitzpatrick","+1","F","71"
"T99","Andrew Putnam","+1","F*","71"
"T99","Rikuya Hoshino","+1","F","71"
"T124","Ryggs Johnston","+2","F","72"
"T124","Junghwan Lee","+2","F","72"
"T124","Adrien Saddier","+2","F","72"
"T124","Brian Campbell","+2","F","72"
"T124","Alex Smalley","+2","F*","72"
"T124","Alejandro Del Rey","+2","F","72"
"T124","Richard Sterne","+2","F","72"
"T124","Jake Knapp","+2","F*","72"
"T124","Sungjae Im","+2","F","72"
"T124","Jordan Gumberg","+2","F*","72"
"T124","Taehoon Ok","+2","F*","72"
"T124","Matteo Manassero","+2","F*","72"
"T124","Daniel Rodrigues","+2","F*","72"
"T137","Frederic LaCroix","+3","F","73"
"T137","Martin Couvra","+3","F*","73"
"T137","Ashun Wu","+3","F","73"
"T137","Bud Cauley","+3","F","73"
"T137","David Ravetto","+3","F*","73"
"T137","Johannes Veerman","+3","F*","73"
"T137","Dan Brown","+3","F*","73"
"T137","Jon Rahm","+3","F","73"
"T145","Padraig Harrington","+4","F*","74"
"T145","Charley Hoffman","+4","F","74"
"T145","Billy Horschel","+4","F","74"
"T145","Austin Smotherman","+4","F","74"
"T149","Daniel Hillier","+5","F","75"
"T149","David Puig","+5","F","75"
"T149","John Parry","+5","F","75"
"T149","Connor Syme","+5","F","75"
"T149","Kevin Yu","+5","F*","75"
"T149","Baekjun Kim","+5","F*","75"
"155","Adrian Otaegui","+6","F*","76"
"156","Freddy Schott","+15","F*","85"
