player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,venue_history_rounds,venue_history_sg,versus_expected,ch_adjustment,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,win_rate_12m,dd_delta,da_delta,sg_total_2026,rounds_2026,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,data_depth_class,baseline_confidence_band,debut_flag,debut_class,injury_flag
2,"Bradley, Keegan",BRADLEY_KEEGAN,confirmed,TBD,TBD,56,1.364,0.375,0.078,1.02,0.31,0.15,0.4,0.19,82,1,0.04,5.3,0.6,0.816626731,52,-0.05,-0.06,0.0,-0.03,0.03,deep,high,False,,False
35,"Scott, Adam",SCOTT_ADAM,confirmed,TBD,TBD,18,1.05,0.288,0.019,1.04,0.36,0.8,0.03,-0.16,90,0,0.0,9.4,-1.5,1.4341325,56,-0.06,0.0,0.0,-0.04,-0.02,deep,high,False,,False
60,"Knapp, Jake",KNAPP_JAKE,confirmed,TBD,TBD,4,-0.383,-0.133,-0.002,1.64,0.72,0.18,-0.05,0.77,58,0,0.0,17.3,-0.1,1.902548889,36,-0.21,-0.05,0.0,-0.08,-0.08,medium,medium,False,,False
9,"Snedeker, Brandt",SNEDEKER_BRANDT,confirmed,TBD,TBD,36,0.609,0.03,0.004,-0.02,-0.45,0.3,0.31,0.08,73,1,0.04,-19.9,8.1,0.197975714,35,0.26,-0.03,0.0,0.11,0.18,deep,high,False,,False
55,"Kitayama, Kurt",KITAYAMA_KURT,confirmed,TBD,TBD,6,0.692,0.287,0.006,1.24,0.58,0.85,-0.09,-0.01,93,1,0.04,11.1,0.1,1.164140351,57,-0.03,0.0,0.0,-0.06,0.03,deep,high,False,,False
53,"Macintyre, Robert",MACINTYRE_ROBERT,confirmed,TBD,TBD,8,1.686,0.903,0.027,1.38,0.5,-0.11,0.23,0.65,100,1,0.04,2.6,0.5,1.199316481,54,-0.07,-0.09,0.0,-0.02,0.04,deep,high,False,,False
57,"Gerard, Ryan",GERARD_RYAN,confirmed,TBD,TBD,4,-0.494,-1.347,-0.02,0.86,0.2,0.68,-0.11,-0.15,118,1,0.03,-0.5,3.7,1.446140571,70,0.05,-0.03,0.0,-0.0,0.08,deep,high,False,,False
52,"Lee, Min Woo",LEE_MIN WOO,confirmed,TBD,TBD,8,0.745,0.176,0.005,1.08,0.5,-0.04,0.35,0.18,86,0,0.0,13.3,0.8,1.413768621,58,-0.15,-0.06,0.0,-0.08,-0.02,deep,high,False,,False
67,"Hojgaard, Nicolai",HOJGAARD_NICOLAI,confirmed,TBD,TBD,0,,,,1.07,0.41,0.51,0.01,0.11,102,0,0.0,18.0,-4.5,1.037655833,60,-0.28,-0.03,0.0,-0.09,-0.16,deep,high,False,,False
14,"Cauley, Bud",CAULEY_BUD,confirmed,TBD,TBD,27,0.245,-0.182,-0.018,0.65,0.18,0.39,0.27,-0.14,91,1,0.04,-1.7,2.7,0.918669672,61,0.02,-0.04,0.0,-0.0,0.05,deep,high,False,,False
21,"Woodland, Gary",WOODLAND_GARY,confirmed,TBD,TBD,23,0.428,0.119,0.01,0.82,0.66,0.39,-0.34,0.38,82,1,0.04,13.3,0.4,1.061215185,54,-0.05,0.0,0.0,-0.06,0.01,deep,high,False,,False
11,"Thomas, Justin",THOMAS_JUSTIN,confirmed,TBD,TBD,34,1.134,0.118,0.015,1.15,0.18,0.25,0.52,0.21,70,0,0.0,2.9,-3.5,1.203102857,42,-0.16,-0.1,0.0,-0.03,-0.03,deep,high,False,,False
58,"James, Ben",JAMES_BEN,confirmed,TBD,TBD,4,-2.676,-1.93,-0.029,0.43,0.03,0.41,0.27,-0.28,50,0,0.0,0.6,6.1,0.557983333,33,0.05,0.03,0.0,-0.01,0.04,medium,medium,False,,False
43,"Conners, Corey",CONNERS_COREY,confirmed,TBD,TBD,12,1.203,0.103,0.005,0.54,0.22,0.59,-0.03,-0.24,86,0,0.0,-1.9,6.9,0.401406786,56,0.19,0.02,0.0,0.01,0.16,deep,high,False,,False
6,"Day, Jason",DAY_JASON,confirmed,TBD,TBD,40,1.188,0.334,0.05,0.83,0.14,-0.24,0.55,0.41,66,0,0.0,-1.6,1.5,0.771050217,46,-0.08,-0.09,-0.0,0.01,-0.0,medium,medium,False,,False
70,"Reitan, Kristoffer",REITAN_KRISTOFFER,confirmed,TBD,TBD,0,,,,0.89,0.64,0.11,-0.18,0.27,113,2,0.06,8.2,0.6,0.922829167,60,-0.03,-0.01,0.0,-0.05,0.03,deep,high,False,,False
68,"Mccarty, Matt",MCCARTY_MATT,confirmed,TBD,TBD,0,,,,0.73,0.11,0.17,-0.08,0.4,100,0,0.0,-4.5,2.1,0.547010588,68,0.05,-0.03,0.0,0.02,0.06,deep,high,False,,False
33,"Berger, Daniel",BERGER_DANIEL,confirmed,TBD,TBD,18,0.878,-0.124,-0.008,0.38,0.25,0.73,-0.43,-0.14,75,0,0.0,2.2,3.2,0.567395,52,0.13,0.05,0.0,-0.01,0.09,deep,high,False,,False
3,"Glover, Lucas",GLOVER_LUCAS,confirmed,TBD,TBD,44,-0.208,-0.747,-0.123,0.02,0.1,0.43,0.02,-0.52,63,0,0.0,-12.2,9.5,-0.501343659,41,0.36,0.08,0.0,0.07,0.22,medium,medium,False,,False
65,"Fitzpatrick, Alex",FITZPATRICK_ALEX,confirmed,TBD,TBD,0,,,,0.45,0.14,0.21,0.1,0.07,112,2,0.06,-3.4,4.8,1.043890909,66,0.11,-0.03,0.0,0.0,0.14,deep,high,False,,False
56,"Stevens, Sam",STEVENS_SAM,confirmed,TBD,TBD,6,-0.048,-0.744,-0.017,0.51,0.44,0.19,0.06,-0.17,106,0,0.0,5.7,0.7,0.739337647,68,-0.03,-0.0,0.0,-0.04,0.01,deep,high,False,,False
61,"Fox, Ryan",FOX_RYAN,confirmed,TBD,TBD,4,1.506,0.91,0.014,0.59,0.27,0.17,0.09,0.1,92,0,0.0,7.9,-7.8,0.841824219,64,-0.18,-0.02,0.0,-0.04,-0.12,deep,high,False,,False
46,"Novak, Andrew",NOVAK_ANDREW,confirmed,TBD,TBD,10,0.405,0.355,0.013,0.31,0.07,0.2,0.12,-0.13,95,0,0.0,-0.9,-0.3,0.378606885,61,0.02,0.0,0.0,-0.01,0.02,deep,high,False,,False
37,"Theegala, Sahith",THEEGALA_SAHITH,confirmed,TBD,TBD,14,0.821,0.394,0.021,0.65,0.01,0.24,0.34,0.01,98,0,0.0,3.4,-2.2,0.991130541,74,-0.13,-0.05,0.0,-0.03,-0.06,deep,high,False,,False
64,"Echavarria, Nico",ECHAVARRIA_NICO,confirmed,TBD,TBD,2,-1.656,-0.994,-0.007,0.35,-0.06,0.08,-0.14,0.27,93,1,0.04,-6.3,2.5,-0.078599091,55,0.07,-0.02,0.0,0.03,0.06,deep,high,False,,False
66,"Hisatsune, Ryo",HISATSUNE_RYO,confirmed,TBD,TBD,0,,,,0.11,0.41,0.26,-0.04,-0.28,116,0,0.0,-0.5,3.1,0.772400541,74,0.09,0.01,0.0,-0.01,0.08,deep,high,False,,False
47,"Pendrith, Taylor",PENDRITH_TAYLOR,confirmed,TBD,TBD,10,1.118,0.629,0.023,0.46,0.48,0.02,0.05,-0.05,81,0,0.0,10.2,-2.0,0.233644746,59,-0.07,0.02,0.0,-0.05,-0.04,deep,high,False,,False
28,"Hubbard, Mark",HUBBARD_MARK,confirmed,TBD,TBD,22,0.544,0.613,0.05,-0.14,-0.22,0.21,0.0,-0.14,93,0,0.0,-5.4,0.1,-0.398587234,47,0.08,0.04,0.0,0.03,0.01,deep,high,False,,False
29,"Im, Sungjae",IM_SUNGJAE,confirmed,TBD,TBD,20,1.062,-0.092,-0.007,0.14,0.24,-0.57,0.5,0.05,90,0,0.0,-1.8,2.8,0.37169875,48,-0.02,-0.09,-0.0,0.0,0.07,deep,high,False,,False
8,"Hoge, Tom",HOGE_TOM,confirmed,TBD,TBD,37,-0.049,-0.2,-0.028,-0.61,-0.48,0.25,-0.18,-0.37,96,0,0.0,-6.8,-2.4,-0.216936094,64,0.08,0.05,0.0,0.04,-0.0,deep,high,False,,False
10,"Finau, Tony",FINAU_TONY,confirmed,TBD,TBD,34,0.543,-0.471,-0.06,-0.1,-0.24,-0.12,0.33,-0.04,80,0,0.0,6.2,-6.6,0.338886949,59,-0.21,-0.04,0.0,-0.04,-0.12,deep,high,False,,False
71,"Suber, Jackson",SUBER_JACKSON,confirmed,TBD,TBD,0,,,,-0.01,0.04,0.05,-0.07,-0.02,84,0,0.0,1.2,-2.8,-0.042791111,45,-0.02,0.02,0.0,-0.01,-0.03,deep,high,False,,False
13,"Vegas, Jhonattan",VEGAS_JHONATTAN,confirmed,TBD,TBD,28,0.04,-0.015,-0.002,-0.42,0.18,-0.01,-0.1,-0.36,77,0,0.0,3.5,-3.1,-0.800552979,47,-0.02,0.07,-0.0,-0.03,-0.06,deep,high,False,,False
63,"Campbell, Brian",CAMPBELL_BRIAN,confirmed,TBD,TBD,2,-1.793,-0.915,-0.007,-0.97,-0.69,-0.53,-0.09,0.25,72,1,0.04,-22.1,5.9,-1.120771667,48,0.24,-0.01,-0.0,0.11,0.13,deep,high,False,,False
