rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,sg_total_2026,form_vs_baseline,recent_form_index,form_score_adjusted,recent_form_gate_applied,recent_form_gate_reason,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
26,50,"Gotterup, Chris",GOTTERUP_CHRIS,deep,high,1.47,58.937198067632856,1.47,0.73,0.34,0.05,0.42,98,3,16.8,-5.1,55.61625582944703,55.80884054616986,55.505869200670766,45.02369668246444,99.22978177150192,74.89204194941392,72.86821705426357,45.177664974619304,35.779816513761475,62.8175519630485,-0.29,-0.05,0.0,-0.1,-0.14,7.1,12.2,1.6,1.0,2.3,5.9,5.2,3.4,53.83329827431456,-5.103899793318298,high,8,0.101,1.0192,medium,1.639647586,0.16964758599999996,65.64066587207206,1.5471896516299999,False,,False,,False,True,False,False,False,OTT_Distance,ARG_Bunker,OTT_Distance+PUTT_BirdieConv; weak ARG_Bunker
27,27,"Straka, Sepp",STRAKA_SEPP,deep,high,0.79,42.512077294685994,0.79,0.2,0.63,0.04,0.08,77,0,-0.1,1.4,75.3497668221186,72.83036334181901,72.61039686975964,51.65876777251184,59.948652118100135,51.819864281307815,46.51162790697675,41.8781725888325,44.036697247706435,59.27636643571977,0.08,-0.0,0.0,0.01,0.08,7.1,12.2,1.6,1.1,1.9,5.6,6.2,3.4,61.35681522050873,18.844737925822734,high,22,0.448,-0.35679999999999995,medium,0.716178491,-0.07382150900000006,44.68851299050595,0.7564112134049998,False,,False,,False,False,False,False,True,APP_Wedge,ARG_Rough,APP_Wedge+APP_100-150; weak ARG_Rough
28,44,"Cole, Eric",COLE_ERIC,deep,high,0.65,39.1304347826087,0.65,-0.61,0.32,0.38,0.58,89,0,-3.5,-5.5,53.04463690872752,55.276556352696126,54.387926215762995,0.0,24.646983311938385,80.19740900678593,62.01550387596909,74.33164128595601,84.40366972477065,38.8760585065435,-0.2,-0.12,0.0,0.02,-0.1,7.0,11.9,1.6,1.2,1.9,5.5,6.3,3.3,48.421447580920706,9.291012798312003,high,11,1.02,2.0832,medium,0.954335185,0.304335185,47.76100740111387,0.788472509175,False,,False,,False,False,False,False,False,ARG_Bunker,OTT_Accuracy,ARG_Bunker+PUTT_BirdieConv; weak OTT_Accuracy
29,18,"Mccarthy, Denny",MCCARTHY_DENNY,deep,high,0.53,36.23188405797102,0.53,-0.33,0.24,0.08,0.58,86,0,-8.2,-1.0,49.74017321785475,49.29414487387177,48.91000558971492,27.093206951026836,29.910141206675227,85.74953732264035,69.76744186046518,49.120135363790176,56.88073394495413,35.95073133179369,-0.06,-0.08,0.0,0.04,-0.03,7.1,12.0,1.7,1.2,1.8,5.4,6.6,3.3,51.938930131988876,15.707046074017853,high,25,0.769,0.976,medium,0.307686034,-0.22231396600000003,35.72194306861288,0.42884714547,False,,False,,False,False,False,False,False,PUTT_BirdieConv,OTT_Accuracy,PUTT_BirdieConv+PUTT_Lag; weak OTT_Accuracy
30,49,"Hall, Harry",HALL_HARRY,deep,high,1.08,49.51690821256038,1.08,-0.14,0.22,0.42,0.62,95,0,-1.8,-2.8,49.1672218520986,49.421430224485064,46.89770821688094,26.93522906793047,44.67265725288832,82.91178285009256,65.11627906976747,77.54653130287649,88.07339449541284,47.57505773672055,-0.13,-0.09,0.0,0.01,-0.05,7.0,11.9,1.6,1.2,1.9,5.5,6.2,3.4,54.00247967063261,4.485571458072229,high,8,1.12,2.044,medium,0.69440963,-0.38559037000000007,46.456520981906316,0.9045563816500001,False,,False,,False,False,True,False,False,ARG_Bunker,OTT_Accuracy,ARG_Bunker+PUTT_BirdieConv; weak OTT_Accuracy
31,59,"Bridgeman, Jacob",BRIDGEMAN_JACOB,deep,high,0.97,46.85990338164252,0.97,0.11,0.25,0.12,0.56,104,1,1.9,1.0,47.674883411059284,51.95556584124045,51.20178870877585,48.73617693522905,58.536585365853654,84.39235040098708,75.9689922480621,51.11675126903555,51.37614678899085,47.34411085450347,-0.05,-0.07,0.0,-0.01,0.03,7.1,12.1,1.6,1.1,1.9,5.7,6.0,3.4,57.21212215601447,10.352218774371956,high,4,-0.244,-0.092,low,1.468615645,0.4986156450000001,58.995468795312725,1.196870118475,False,,False,,False,False,True,False,False,PUTT_BirdieConv,PAR5_Scoring,PUTT_BirdieConv+PUTT_Lag; weak PAR5_Scoring
32,25,"Kim, Michael",KIM_MICHAEL,deep,high,0.54,36.473429951690825,0.54,-0.19,0.34,0.06,0.4,111,1,-4.3,-2.4,55.06995336442372,56.46841009025688,54.332029066517606,26.856240126382296,39.53786906290116,67.98272671190625,55.81395348837218,45.668358714044,55.04587155963303,41.801385681293304,-0.1,-0.07,0.0,0.01,-0.04,7.0,12.0,1.6,1.2,1.9,5.5,6.3,3.4,49.550039646979435,13.07660969528861,high,22,-0.66,-0.07119999999999999,medium,0.487190656,-0.052809344000000036,38.89159540265096,0.5159717484799999,False,,False,,False,False,False,False,False,PUTT_BirdieConv,OTT_Accuracy,PUTT_BirdieConv+APP_100-150; weak OTT_Accuracy
33,26,"Poston, J.T.",POSTON_J.T.,deep,high,0.79,42.512077294685994,0.79,0.3,0.31,-0.01,0.14,80,1,-5.3,5.1,51.29913391072617,52.788706317981934,54.387926215762995,70.06319115323852,57.38125802310654,50.339296730413295,43.41085271317836,39.22165820642978,39.449541284403686,50.57736720554272,0.1,-0.05,0.0,0.02,0.13,7.0,12.1,1.6,1.1,1.8,5.6,6.3,3.4,54.19232635709261,11.680249062406617,high,22,-0.069,-1.5168,medium,0.890325385,0.10032538499999999,47.6918542988024,0.835648050175,False,,False,,False,False,False,False,True,OTT_Accuracy,ARG_Rough,OTT_Accuracy+OTT_Distance; weak ARG_Rough
34,45,"Mcnealy, Maverick",MCNEALY_MAVERICK,deep,high,1.5,59.66183574879227,1.5,0.31,0.22,0.34,0.59,90,0,6.4,-1.3,44.250499666888736,49.1784309187688,47.95975405254331,45.892575039494446,71.50192554557125,80.8760024676126,62.79069767441868,73.89170896785112,71.55963302752295,56.12009237875289,-0.2,-0.12,0.0,-0.03,-0.05,7.0,11.9,1.7,1.1,2.0,5.7,5.8,3.4,54.16739787567636,-5.494437873115913,high,10,0.718,0.37920000000000004,medium,1.585845172,0.08584517199999997,64.93452279149123,1.53905955326,False,,False,,False,True,True,False,False,PUTT_BirdieConv,APP_Wedge,PUTT_BirdieConv+ARG_Rough; weak APP_Wedge
35,69,"Meissner, Mac",MEISSNER_MAC,deep,high,0.74,41.30434782608695,0.74,0.05,0.35,0.27,0.11,88,0,2.2,-1.7,52.48500999333777,56.87340893311732,57.070989379541636,33.80726698262242,56.61103979460847,48.30351634793338,33.33333333333333,63.55329949238578,65.1376146788991,52.501924557351806,-0.12,-0.06,0.0,-0.01,-0.06,7.0,12.0,1.6,1.1,2.0,5.6,6.1,3.4,47.301905384713635,5.997557558626681,high,0,,0.0,none,0.711977308,-0.02802269199999996,44.24650166070973,0.72724967514,False,,False,,False,False,False,False,False,ARG_Bunker,PUTT_Lag,ARG_Bunker+ARG_Rough; weak PUTT_Lag
36,30,"Spieth, Jordan",SPIETH_JORDAN,deep,high,0.91,45.410628019323674,0.91,0.34,0.25,0.15,0.17,76,0,7.0,-1.0,51.63224516988674,50.914140245313575,48.462828395751814,49.210110584518155,73.17073170731709,52.37507711289327,45.73643410852715,58.24027072758038,44.95412844036697,53.34872979214781,-0.07,-0.04,0.0,-0.04,0.01,7.0,12.1,1.7,1.0,2.0,5.8,5.7,3.4,50.40315555338527,4.992527534061594,high,20,0.238,-2.2960000000000003,medium,1.108886833,0.19888683299999987,52.3481083355674,1.000493509015,False,,False,,False,True,False,False,False,OTT_Distance,ARG_Bunker,OTT_Distance+ARG_Rough; weak ARG_Bunker
