POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T62,Nicolai,Hojgaard,1,0.46,290.2,71.40%,-0.63,61.10%,"26' 10""","41' 8""",-3.15,0.27,75.00%,1,5,-3.04,0.11,-0.17
T62,Alex,Smalley,1,-1.51,280,57.10%,-1.07,72.20%,"28' 6""","40' 9""",-0.68,0.22,60.00%,5,7,-3.04,-2.36,-2.58
T62,Adam,Scott,1,-0.89,282.1,71.40%,-0.56,72.20%,"26' 10""","67' 5""",-1.67,0.08,75.00%,3,5,-3.04,-1.37,-1.46
T62,Chris,Gotterup,1,-1.06,292.4,42.90%,-0.07,66.70%,"27' 4""","70' 3""",-0.74,-1.18,37.50%,6,6,-3.04,-2.3,-1.12
T62,Jordan,Spieth,1,-0.64,280.5,42.90%,0.63,72.20%,"28' 9""","51' 4""",-2.6,-0.44,40.00%,1,1,-3.04,-0.44,-0.01
68,Cameron,Young,2,-0.14,289.1,57.10%,0.64,77.80%,"21' 11""","57' 1""",-3.33,-1.21,20.00%,3,6,-4.04,-0.71,0.5
69,Sepp,Straka,3,-0.12,272.8,57.10%,-2.07,55.60%,"32' 2""","79' 0""",-1.8,-1.05,33.30%,2,5,-5.04,-3.24,-2.19
T70,Jake,Knapp,4,-2.36,287.8,57.10%,-1.71,55.60%,"29' 4""","72' 9""",-0.92,-1.05,40.00%,0,5,-6.04,-5.12,-4.07
T70,Sahith,Theegala,4,-0.78,286.1,42.90%,-0.94,66.70%,"28' 8""","64' 8""",-2.66,-1.67,33.30%,2,9,-6.04,-3.39,-1.72
72,Lucas,Glover,5,-0.39,275.7,78.60%,-0.45,66.70%,"28' 2""","71' 1""",-3.8,-2.41,37.50%,1,5,-7.04,-3.24,-0.83
