Last Name,First Name,SHORT GAME,APPROACH,Driving-Distance,Driving-Accuracy,Total SG Adjustment,putting-2-5ft,putting-5-30ft,putting-30+,aroundgreen-Fairway,aroundgreen-Rought,aroundgreen-Bunker,approach-50-100,approach-100-150,approach-150-200,approach-200+
KEEFER,JOHNNY,0.00,0.01,-0.1,-0.01,-0.09,7.2,11.7,4,2.5,2.1,1,1.8,5.2,6.9,3.7
DAVIS,CAM,0.00,-0.01,-0.02,-0.06,-0.09,7.1,11.3,4.1,2.9,2.3,1.2,1.7,5.2,7,3.8
LIST,LUKE,0.00,-0.01,-0.05,-0.03,-0.1,7.1,11.5,4.1,2.9,2.3,1.2,1.8,5.2,7,3.8
GORDON,WILL,0.00,-0.01,-0.05,-0.04,-0.1,7.1,11.5,4.1,2.8,2.3,1.1,1.8,5.2,7,3.8
HIGGO,GARRICK,0.00,-0.01,-0.05,-0.04,-0.1,7.2,11.4,4,2.8,2.3,1.1,1.8,5.2,7,3.8
DOU,ZECHENG,0.00,0,-0.06,-0.05,-0.1,7,11.4,3.9,2.7,2.1,1.1,1.8,5.2,7,3.8
WOODLAND,GARY,0.00,0,-0.1,0,-0.1,7.3,11.7,4,2.6,2.2,1,1.9,5.2,6.9,3.7
MITCHELL,KEITH,0.00,0.01,-0.1,-0.02,-0.11,7.1,11.6,3.9,2.5,2.1,1,1.9,5.2,6.9,3.7
WHALEY,VINCE,0.00,-0.02,0,-0.09,-0.11,7.1,11.2,4,2.9,2.3,1.2,1.7,5.2,7.1,3.8
CROWE,TRACE,0.00,0,-0.05,-0.06,-0.11,7.1,11.4,4,2.8,2.2,1.1,1.8,5.2,7,3.8
MOORE,TAYLOR,0.00,-0.01,-0.07,-0.04,-0.12,7,11.3,3.9,2.7,2.2,1.1,1.8,5.2,7,3.7
PENDRITH,TAYLOR,0.00,0,-0.08,-0.04,-0.12,7,11.4,3.9,2.6,2.2,1.1,1.8,5.2,6.9,3.7
RODGERS,PATRICK,0.00,-0.01,-0.05,-0.06,-0.12,7.1,11.3,4,2.8,2.2,1.1,1.8,5.2,7,3.8
STANGER,JIMMY,0.00,-0.02,-0.07,-0.03,-0.12,7.1,11.4,4.1,2.9,2.4,1.2,1.8,5.2,7,3.7
SIHOTA,JEEVAN,0.00,-0.05,0.01,-0.1,-0.13,7.2,11.4,4.4,3.3,2.6,1.4,1.7,5.2,7.1,3.8
