event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole
3M Open,TPC Twin Cities,"Parry, John",13764,28723,125,92,87,1:50 PM,late,10,8:35 AM,early,1
3M Open,TPC Twin Cities,"Paul, Jeremy",22087,50582,null,319,190,1:28 PM,late,10,8:13 AM,early,1
3M Open,TPC Twin Cities,"Pavon, Matthieu",19960,48153,222,283,117,7:51 AM,early,10,1:06 PM,late,1
3M Open,TPC Twin Cities,"Pendrith, Taylor",17780,40250,116,89,80,7:18 AM,early,1,12:33 PM,late,10
3M Open,TPC Twin Cities,"Peterson, Paul",16341,36824,241,258,149,1:39 PM,late,10,8:24 AM,early,1
3M Open,TPC Twin Cities,"Phillips, Chandler",27164,57900,199,168,103,8:13 AM,early,1,1:28 PM,late,10
3M Open,TPC Twin Cities,"Potgieter, Aldrich",27900,63343,130,87,62,12:44 PM,late,10,7:29 AM,early,1
3M Open,TPC Twin Cities,"Power, Seamus",10104,28252,155,203,115,1:17 PM,late,1,8:02 AM,early,10
3M Open,TPC Twin Cities,"Putnam, Andrew",14704,34256,93,96,68,8:02 AM,early,10,1:17 PM,late,1
3M Open,TPC Twin Cities,"Ramey, Chad",19840,47983,208,182,127,8:13 AM,early,1,1:28 PM,late,10
3M Open,TPC Twin Cities,"Riley, Davis",19872,47995,436,177,142,7:18 AM,early,1,12:33 PM,late,10
3M Open,TPC Twin Cities,"Rodgers, Patrick",16283,36699,157,95,61,8:02 AM,early,10,1:17 PM,late,1
3M Open,TPC Twin Cities,"Roy, Kevin",18424,39335,179,120,93,8:02 AM,early,1,1:17 PM,late,10
3M Open,TPC Twin Cities,"Rozo, Marcelo",16591,37076,null,null,204,8:24 AM,early,1,1:39 PM,late,10
3M Open,TPC Twin Cities,"Sandhu, Sihan",30039591,70869,null,null,null,2:01 PM,late,10,8:46 AM,early,1
3M Open,TPC Twin Cities,"Sargent, Gordon",30814,64442,null,343,129,1:28 PM,late,1,8:13 AM,early,10
3M Open,TPC Twin Cities,"Scheffler, Scottie",18417,46046,1,1,1,7:29 AM,early,10,12:44 PM,late,1
3M Open,TPC Twin Cities,"Schenk, Adam",19477,47347,null,184,155,12:55 PM,late,10,7:40 AM,early,1
3M Open,TPC Twin Cities,"Schmid, Matti",20722,48867,131,81,64,12:11 PM,late,10,6:56 AM,early,1
3M Open,TPC Twin Cities,"Schultz, Cooper",31250,65140,null,null,null,8:46 AM,early,10,2:01 PM,late,1
3M Open,TPC Twin Cities,"Shipley, Neal",32055,63807,262,204,192,2:01 PM,late,1,8:46 AM,early,10
3M Open,TPC Twin Cities,"Sihota, Jeevan",29702,62811,null,null,null,8:35 AM,early,1,1:50 PM,late,10
3M Open,TPC Twin Cities,"Silverman, Ben",17381,39327,254,219,131,12:11 PM,late,1,6:56 AM,early,10
3M Open,TPC Twin Cities,"Skinns, David",10873,27139,228,268,139,2:01 PM,late,10,8:46 AM,early,1
3M Open,TPC Twin Cities,"Smith, Jordan",18586,46464,66,76,66,6:56 AM,early,1,12:11 PM,late,10
3M Open,TPC Twin Cities,"Smotherman, Austin",22985,50095,180,107,78,1:06 PM,late,10,7:51 AM,early,1
3M Open,TPC Twin Cities,"Snedeker, Brandt",8820,27649,160,123,81,7:51 AM,early,1,1:06 PM,late,10
3M Open,TPC Twin Cities,"Springer, Hayden",21995,50484,261,291,130,8:46 AM,early,1,2:01 PM,late,10
3M Open,TPC Twin Cities,"Stanger, Jimmy",23048,51600,419,342,133,1:28 PM,late,10,8:13 AM,early,1
3M Open,TPC Twin Cities,"Stevens, Sam",25569,55893,100,52,53,12:00 PM,late,10,6:45 AM,early,1
3M Open,TPC Twin Cities,"Stout, Preston",32089,66416,163,null,null,1:39 PM,late,1,8:24 AM,early,10
3M Open,TPC Twin Cities,"Streelman, Kevin",8480,27214,300,448,164,12:55 PM,late,10,7:40 AM,early,1
3M Open,TPC Twin Cities,"Suber, Jackson",29279,60019,78,104,79,1:39 PM,late,1,8:24 AM,early,10
3M Open,TPC Twin Cities,"Svensson, Adam",13997,40115,317,467,174,12:11 PM,late,10,6:56 AM,early,1
3M Open,TPC Twin Cities,"Svensson, Jesper",26850,57586,183,166,121,1:50 PM,late,1,8:35 AM,early,10
3M Open,TPC Twin Cities,"Thompson, Davis",27364,58168,103,148,99,12:33 PM,late,10,7:18 AM,early,1
3M Open,TPC Twin Cities,"Tosti, Alejandro",17032,38991,446,388,183,8:35 AM,early,1,1:50 PM,late,10
3M Open,TPC Twin Cities,"Van Rooyen, Erik",17550,40006,177,190,140,7:07 AM,early,1,12:22 PM,late,10
3M Open,TPC Twin Cities,"VanDerLaan, John",25319,55573,359,307,171,8:35 AM,early,10,1:50 PM,late,1
3M Open,TPC Twin Cities,"Ventura, Kristoffer",15651,35658,159,260,106,1:50 PM,late,1,8:35 AM,early,10
3M Open,TPC Twin Cities,"Vilips, Karl",24304,54304,181,191,124,7:29 AM,early,1,12:44 PM,late,10
3M Open,TPC Twin Cities,"Villegas, Camilo",9171,27770,417,479,196,8:13 AM,early,10,1:28 PM,late,1
3M Open,TPC Twin Cities,"Walker, Danny",25003,54607,500,270,156,8:13 AM,early,1,1:28 PM,late,10
3M Open,TPC Twin Cities,"Whaley, Vince",25908,51894,233,181,175,6:45 AM,early,10,12:00 PM,late,1
3M Open,TPC Twin Cities,"Wise, Aaron",22051,49964,381,464,145,12:44 PM,late,10,7:29 AM,early,1
3M Open,TPC Twin Cities,"Wood, Griffin",29710,59685,null,null,null,1:50 PM,late,10,8:35 AM,early,1
3M Open,TPC Twin Cities,"Woodland, Gary",12577,31323,81,44,29,12:44 PM,late,1,7:29 AM,early,10
3M Open,TPC Twin Cities,"Wu, Dylan",25002,54783,278,385,160,6:56 AM,early,10,12:11 PM,late,1
3M Open,TPC Twin Cities,"Yellamaraju, Sudarshan",29925,60386,92,102,52,7:07 AM,early,10,12:22 PM,late,1
3M Open,TPC Twin Cities,"Yu, Kevin",17881,45242,133,132,120,12:44 PM,late,10,7:29 AM,early,1
