RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
138,2,47917,Takumi Kanaya,-0.740,0.029,-0.919,0.149,30
139,3,48153,Matthieu Pavon,-0.779,-0.028,-0.718,-0.033,27
140,3,25900,Lucas Glover,-0.786,-0.319,-0.349,-0.118,17
141,3,27064,Jhonattan Vegas,-0.822,-0.102,-0.455,-0.265,22
142,3,60067,Joe Highsmith,-0.826,-0.376,-0.112,-0.338,30
143,3,47347,Adam Schenk,-0.836,-0.434,-0.436,0.034,26
143,3,54304,Karl Vilips,-0.836,-0.632,0.147,-0.351,21
145,3,55851,Pontus Nyholm,-0.840,-0.526,-0.443,0.128,18
146,3,54422,Christo Lamprecht,-0.886,0.063,-1.280,0.331,16
147,3,54576,Patrick Fishburn,-0.894,-0.105,-0.691,-0.098,14
148,3,29535,Brice Garnett,-1.014,-0.632,-0.539,0.157,18
149,3,51977,Max Greyserman,-1.016,-0.675,-0.273,-0.068,21
150,3,66743,Luke Clanton,-1.039,-0.514,-0.024,-0.500,15
151,3,57900,Chandler Phillips,-1.075,-0.079,-0.937,-0.060,27
152,3,64442,Gordon Sargent,-1.127,0.711,-1.951,0.112,14
153,3,12716,Charley Hoffman,-1.254,0.024,-0.612,-0.666,12
154,3,47393,Jeffrey Kang,-1.283,-1.094,-0.118,-0.071,18
155,3,40162,Justin Lower,-1.285,0.072,-1.345,-0.012,14
156,3,40006,Erik van Rooyen,-1.287,0.141,-1.051,-0.377,20
157,3,54421,Garrick Higgo,-1.324,-0.110,-0.967,-0.248,23
158,3,38991,Alejandro Tosti,-1.329,-0.004,-1.067,-0.258,16
159,3,34466,Peter Malnati,-1.400,-0.640,-0.808,0.048,18
160,3,51894,Vince Whaley,-1.418,-0.609,-0.570,-0.238,24
161,3,59866,Nick Dunlap,-1.589,-1.460,0.216,-0.346,13
162,3,23108,Matt Kuchar,-1.665,-0.721,-0.908,-0.036,13
163,3,32070,Rafael Campos,-1.752,-0.412,-0.328,-1.012,15
164,3,46443,Brian Campbell,-1.907,-0.790,-0.753,-0.364,20
165,3,47995,Davis Riley,-2.036,-1.335,-0.525,-0.176,19
166,3,45157,Cam Davis,-2.052,-0.969,-1.058,-0.025,16
