Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
SHORE,DAVIS,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T21,UNC Health Championship,Korn Ferry Tour,T8,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T34,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.11,0.39
HIGGO,GARRICK,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T32,PGA Championship,Major,T67,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T19,-0.11,-0.18
NOH,S.Y.,KFT,Korn Ferry Tour,THE CJ CUP Byron Nelson,PGA Tour,T28,UNC Health Championship,Korn Ferry Tour,18,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T19,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T33,-0.12,0.26
RAVETTO,DAVID,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T14,Soudal Open,DP World Tour,T43,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T30,KLM Open,DP World Tour,T60,DS Automobiles 83° Open d’Italia,DP World Tour,T35,-0.12,0.7
HUGHES,MACKENZIE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T10,Truist Championship,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T52,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,66,-0.12,-0.09
ARMITAGE,MARCUS,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T66,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T2,KLM Open,DP World Tour,T14,DS Automobiles 83° Open d’Italia,DP World Tour,T26,-0.12,-0.06
GUERRIER,JULIEN,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,1,Estrella Damm Catalunya Championship,DP World Tour,T53,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T7,KLM Open,DP World Tour,T47,-0.12,-0.04
ROZNER,ANTOINE,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,T60,Estrella Damm Catalunya Championship,DP World Tour,T29,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T17,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T26,-0.15,0.04
NORGAARD,NIKLAS,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T43,Soudal Open,DP World Tour,T51,KLM Open,DP World Tour,CUT,U.S. Open,Major,T45,DS Automobiles 83° Open d’Italia,DP World Tour,T21,-0.16,0.61
CROWE,TRACE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T4,THE CJ CUP Byron Nelson,PGA Tour,T67,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.17,0.23
AN,BYEONG HUN,LIV,LIV Golf,Mexico City,LIV Golf,T11,Virginia,LIV Golf,T25,Korea,LIV Golf,T37,Andalucia,LIV Golf,T22,International Series Morocco presented by Visit Morocco,Asian Tour,T35,-0.17,0.1
SONG,YOUNGHAN,LIV,LIV Golf,Kansai Open Golf Championship,Japan Golf Tour,T42,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T36,Korea,LIV Golf,T2,Andalucia,LIV Golf,T10,International Series Morocco presented by Visit Morocco,Asian Tour,T12,-0.18,0.5
DAFFUE,MJ,CHA,Challenge Tour,Challenge de Catalunya,Challenge Tour,T7,Soudal Open,DP World Tour,T3,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T8,English Open supported by HotelPlanner,Challenge Tour,CUT,Blot Play9,Challenge Tour,T35,-0.18,0.93
PAK,JOHN,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,T7,Visit Knoxville Open,Korn Ferry Tour,T69,UNC Health Championship,Korn Ferry Tour,T46,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T7,-0.18,0.32
HITT,AUSTIN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T21,UNC Health Championship,Korn Ferry Tour,T23,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T19,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.19,0.54
ECKROAT,AUSTIN,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T67,ONEflight Myrtle Beach Classic,PGA Tour,T6,THE CJ CUP Byron Nelson,PGA Tour,T19,Charles Schwab Challenge,PGA Tour,73,RBC Canadian Open,PGA Tour,T40,-0.2,-0.26
HARRIS,FRANKIE,AM,Amateur,Ford Collegiate,Amateur,T59,2026 SEC Men's Golf Championship Stroke Play,Amateur,T3,NCAA Columbus Regional,Amateur,T7,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T13,Memorial Health Championship presented by LRS,Korn Ferry Tour,T17,-0.21,0.77
POWER,SEAMUS,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T54,ONEflight Myrtle Beach Classic,PGA Tour,T10,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T19,-0.21,-0.23
MCKIBBIN,TOM,LIV,LIV Golf,Virginia,LIV Golf,T21,PGA Championship,Major,T21,Korea,LIV Golf,CUT,Andalucia,LIV Golf,T25,DS Automobiles 83° Open d’Italia,DP World Tour,T23,-0.21,-0.6
COUVRA,MARTIN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T55,Soudal Open,DP World Tour,T10,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T24,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T35,-0.22,0.15
COWAN,RYDER,AM,Amateur,Ford Collegiate,Amateur,T28,2026 SEC Men's Golf Championship Stroke Play,Amateur,T24,NCAA Corvallis Regional,Amateur,T17,NCAA DI Men's National Championship- Stroke Play,Amateur,T23,U.S. Open,Major,4,-0.23,0.68
JANG,YUBIN,KOR,KPGA Korean Tour,KPGA Gyeongbuk Open,KPGA Korean Tour,1,Kolon The 68th KOREA Open,ASA,T18,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,T23,Hana Bank Invitational,KPGA Korean Tour,T14,KPGA Gunsan CC Open,KPGA Korean Tour,T23,-0.24,0.77
WHALEY,VINCE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,T65,RBC Canadian Open,PGA Tour,CUT,-0.24,-0.38
CLANTON,LUKE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T54,ONEflight Myrtle Beach Classic,PGA Tour,T26,THE CJ CUP Byron Nelson,PGA Tour,T60,Charles Schwab Challenge,PGA Tour,T54,RBC Canadian Open,PGA Tour,T31,-0.24,0.55
PARRY,JOHN,PGA,PGA Tour,PGA Championship,Major,T70,THE CJ CUP Byron Nelson,PGA Tour,T47,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,T11,-0.25,-0.63
VAILLANT,TOM,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T31,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T13,KLM Open,DP World Tour,T55,DS Automobiles 83° Open d’Italia,DP World Tour,T26,-0.25,0.01
MCALLISTER,LOGAN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T21,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T5,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,2,-0.26,0.69
SUMMY,JASE,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,Amateur,T3,NCAA Corvallis Regional,Amateur,2,NCAA DI Men's National Championship- Stroke Play,Amateur,T2,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T70,-0.26,0.55
KAYMER,MARTIN,LIV,LIV Golf,Mexico City,LIV Golf,T45,Virginia,LIV Golf,T25,PGA Championship,Major,T39,Korea,LIV Golf,T24,Andalucia,LIV Golf,T35,-0.27,0.45
CANTER,LAURIE,LIV,LIV Golf,Mexico City,LIV Golf,T37,Virginia,LIV Golf,T25,Korea,LIV Golf,T46,Andalucia,LIV Golf,T43,U.S. Open,Major,T12,-0.27,0.12
KANAYA,TAKUMI,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T54,ONEflight Myrtle Beach Classic,PGA Tour,T26,THE CJ CUP Byron Nelson,PGA Tour,T38,Charles Schwab Challenge,PGA Tour,T29,RBC Canadian Open,PGA Tour,CUT,-0.27,-0.32
DOCHERTY,ALISTAIR,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,T17,Visit Knoxville Open,Korn Ferry Tour,T16,UNC Health Championship,Korn Ferry Tour,T56,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T40,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.28,0.33
JARVIS,CASEY,DPT,DP World Tour,PGA Championship,Major,CUT,Soudal Open,DP World Tour,T65,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T22,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,-0.29,-0.32
SCHMID,MATTI,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T4,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,CUT,-0.29,-0.35
HADWIN,ADAM,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,T40,THE CJ CUP Byron Nelson,PGA Tour,T13,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,RBC Canadian Open,PGA Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T7,-0.29,0.34
POULTER,IAN,LIV,LIV Golf,South Africa,LIV Golf,T16,Mexico City,LIV Golf,T48,Virginia,LIV Golf,T25,Korea,LIV Golf,T27,Andalucia,LIV Golf,T18,-0.3,0.59
KIRK,CHRIS,PGA,PGA Tour,PGA Championship,Major,T44,THE CJ CUP Byron Nelson,PGA Tour,T31,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,CUT,-0.3,-0.59
VAN DRIEL,DARIUS,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T13,KLM Open,DP World Tour,T66,DS Automobiles 83° Open d’Italia,DP World Tour,T40,-0.31,0.43
BUCKLEY,HAYDEN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T8,UNC Health Championship,Korn Ferry Tour,T29,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T38,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T33,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.31,0.36
WANG,JEUNGHUN,KOR,KPGA Korean Tour,Kolon The 68th KOREA Open,ASA,T15,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,T3,International Series Morocco presented by Visit Morocco,Asian Tour,T5,Hana Bank Invitational,KPGA Korean Tour,T32,KPGA Gunsan CC Open,KPGA Korean Tour,T37,-0.31,0.63
DUMONT DE CHASSART,ADRIEN,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T31,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T53,U.S. Open,Major,CUT,-0.33,-0.45
WINTHER,JEFF,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T43,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T17,KLM Open,DP World Tour,T6,DS Automobiles 83° Open d’Italia,DP World Tour,WD,-0.33,0.39
POTTER,LUKE,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,Amateur,CUT,NCAA Bryan Regional,Amateur,T41,NCAA DI Men's National Championship- Stroke Play,Amateur,1,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,T23,-0.34,0.79
GUILLAMOUNDEGUY,OIHAN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T3,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,T25,DS Automobiles 83° Open d’Italia,DP World Tour,T35,-0.34,0.21
SUH,JUSTIN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T14,UNC Health Championship,Korn Ferry Tour,T23,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T38,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T33,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.34,0.64
SVENSSON,JESPER,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,Turkish Airlines Open,DP World Tour,T65,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T9,RBC Canadian Open,PGA Tour,T4,-0.34,-0.14
PETERSON,PAUL,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,CUT,Colonial Life Charity Classic,Korn Ferry Tour,T11,THE CJ CUP Byron Nelson,PGA Tour,T7,Charles Schwab Challenge,PGA Tour,T67,RBC Canadian Open,PGA Tour,CUT,-0.35,0.07
DEL REY,ALEJANDRO,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,T29,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T3,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,-0.35,0.12
STANGER,JIMMY,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,T4,THE CJ CUP Byron Nelson,PGA Tour,T38,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,U.S. Open,Major,CUT,-0.35,0.08
OOSTHUIZEN,LOUIS,LIV,LIV Golf,South Africa,LIV Golf,T37,Mexico City,LIV Golf,T17,Virginia,LIV Golf,T12,Korea,LIV Golf,WD,Andalucia,LIV Golf,42,-0.35,-0.25
DUNLAP,NICK,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T60,ONEflight Myrtle Beach Classic,PGA Tour,T17,THE CJ CUP Byron Nelson,PGA Tour,T24,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.35,0.47
LI,HAOTONG,PGA,PGA Tour,ONEflight Myrtle Beach Classic,PGA Tour,CUT,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T35,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,CUT,-0.35,-0.49
PREMLALL,YURAV,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,1,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T30,KLM Open,DP World Tour,T74,DS Automobiles 83° Open d’Italia,DP World Tour,T40,-0.35,1.26
NAGANO,RYUTARO,JPN,Japan Golf Tour,The Crowns,Japan Golf Tour,T2,Kansai Open Golf Championship,Japan Golf Tour,T8,Japan PGA Championship Senko Group Cup,Japan Golf Tour,T14,Gate Way To The Open Mizuno Open,Japan Golf Tour,T42,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,T15,-0.36,0.58
STREELMAN,KEVIN,PGA,PGA Tour,Valero Texas Open,PGA Tour,CUT,Zurich Classic of New Orleans,PGA Tour,T39,ONEflight Myrtle Beach Classic,PGA Tour,CUT,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,CUT,-0.36,0.53
CAMPILLO,JORGE,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,T19,Estrella Damm Catalunya Championship,DP World Tour,CUT,Soudal Open,DP World Tour,T25,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T2,-0.36,-0.26
APHIBARNRAT,KIRADECH,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T38,Soudal Open,DP World Tour,T6,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,-0.36,0.54
VILIPS,KARL,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T13,THE CJ CUP Byron Nelson,PGA Tour,T24,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.37,0.09
ZHOU,YANHAN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,9,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,T41,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,T12,-0.37,0.09
SCHAPER,JAYDEN,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,CUT,PGA Championship,Major,T25,Soudal Open,DP World Tour,CUT,KLM Open,DP World Tour,T11,U.S. Open,Major,T24,-0.37,-1.03
FIORONI,CADEN,PTA,PGA Tour Americas,Colonial Life Charity Classic,Korn Ferry Tour,T15,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T51,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T5,Inter Rapidisimo Golf Championship,PGA Tour Americas,T17,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,T18,-0.37,0.76
GILLIGAN,IAN,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,CUT,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.39,0.14
SVENSSON,ADAM,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,CUT,ONEflight Myrtle Beach Classic,PGA Tour,T26,THE CJ CUP Byron Nelson,PGA Tour,T45,Charles Schwab Challenge,PGA Tour,T60,RBC Canadian Open,PGA Tour,T54,-0.39,0.07
VAN DER MERWE,GRAHAM,AFR,Sunshine Tour,FBC ZIM Open,Sunshine Tour,T7,Kit Kat Cash & Carry Pro-Am,Sunshine Tour,T16,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,2,The Mopani Zambia Open,Sunshine Tour,6,KCM Golf Challenge,Sunshine Tour,T18,-0.4,1.22
SIMPSON,WEBB,PGA,PGA Tour,Cognizant Classic in The Palm Beaches,PGA Tour,T48,Valspar Championship,PGA Tour,CUT,Valero Texas Open,PGA Tour,T18,Truist Championship,PGA Tour,CUT,Charles Schwab Challenge,PGA Tour,WD,-0.4,-0.23
GOMEZ,FABIAN,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,T3,THE CJ CUP Byron Nelson,PGA Tour,CUT,UNC Health Championship,Korn Ferry Tour,T47,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T21,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,-0.4,0.4
BUTLER,JOHN MARSHALL,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T3,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T13,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.4,0.87
MUNOZ,SEBASTIAN,LIV,LIV Golf,South Africa,LIV Golf,T23,Mexico City,LIV Golf,37,Virginia,LIV Golf,T30,Korea,LIV Golf,T27,Andalucia,LIV Golf,T25,-0.4,-0.71
YONEZAWA,REN,JPN,Japan Golf Tour,The Crowns,Japan Golf Tour,T2,Kansai Open Golf Championship,Japan Golf Tour,T24,Japan PGA Championship Senko Group Cup,Japan Golf Tour,CUT,Gate Way To The Open Mizuno Open,Japan Golf Tour,T8,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,T27,-0.4,0.27
VANARRAGON,CALEB,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,T47,UNC Health Championship,Korn Ferry Tour,T23,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,T27,Memorial Health Championship presented by LRS,Korn Ferry Tour,T26,-0.41,-0.18
FIGUEIREDO,PEDRO,CHA,Challenge Tour,Challenge de Catalunya,Challenge Tour,T18,Danish Golf Challenge,Challenge Tour,CUT,Challenge de España,Challenge Tour,T16,English Open supported by HotelPlanner,Challenge Tour,T14,Blot Play9,Challenge Tour,4,-0.42,0.88
BRADBURY,DAN,DPT,DP World Tour,Hero Indian Open,DP World Tour,T41,Turkish Airlines Open,DP World Tour,T59,Estrella Damm Catalunya Championship,DP World Tour,CUT,KLM Open,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T6,-0.42,-0.3
JORDAN,MATTHEW,DPT,DP World Tour,Turkish Airlines Open,DP World Tour,CUT,Soudal Open,DP World Tour,T43,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,CUT,KLM Open,DP World Tour,CUT,U.S. Open,Major,T40,-0.43,0.03
SMYLIE,ELVIS,LIV,LIV Golf,PGA Championship,Major,T5,Korea,LIV Golf,T75,Andalucia,LIV Golf,T45,International Series Morocco presented by Visit Morocco,Asian Tour,T41,DS Automobiles 83° Open d’Italia,DP World Tour,41,-0.43,-0.32
WILLIAMS,MASON,PTA,PGA Tour Americas,Diners Club Peru Open,PGA Tour Americas,T15,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T39,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T13,Inter Rapidisimo Golf Championship,PGA Tour Americas,T36,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,3,-0.43,0.47
BARRON,HAYDN,CHA,Challenge Tour,Challenge de España,Challenge Tour,T23,Swiss Challenge,Challenge Tour,T21,Interwetten Open,Challenge Tour,T9,English Open supported by HotelPlanner,Challenge Tour,CUT,Blot Play9,Challenge Tour,WD,-0.44,0.43
KANG,JEFFREY,PGA,PGA Tour,Valero Texas Open,PGA Tour,T54,Zurich Classic of New Orleans,PGA Tour,T65,ONEflight Myrtle Beach Classic,PGA Tour,T6,THE CJ CUP Byron Nelson,PGA Tour,T42,Charles Schwab Challenge,PGA Tour,CUT,-0.45,0.38
KATSUMATA,RYO,JPN,Japan Golf Tour,The Crowns,Japan Golf Tour,T11,Kansai Open Golf Championship,Japan Golf Tour,T12,Japan PGA Championship Senko Group Cup,Japan Golf Tour,CUT,Gate Way To The Open Mizuno Open,Japan Golf Tour,T6,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,6,-0.45,0.61
LIPSKY,DAVID,PGA,PGA Tour,Cadillac Championship,PGA Tour,CUT,Truist Championship,PGA Tour,71,PGA Championship,Major,T24,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.46,-0.52
VEGAS,JHONATTAN,PGA,PGA Tour,PGA Championship,Major,CUT,THE CJ CUP Byron Nelson,PGA Tour,T44,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T51,Travelers Championship,PGA Tour,CUT,-0.46,-0.01
KHO,TAICHI,JPN,Japan Golf Tour,Taiwan Glass Taifong Open,ASA,T2,Kolon The 68th KOREA Open,ASA,T42,Gate Way To The Open Mizuno Open,Japan Golf Tour,T13,BMW Japan Golf Tour Championship Mori Building Cup,Japan Golf Tour,1,International Series Morocco presented by Visit Morocco,Asian Tour,CUT,-0.47,0.68
MEISSNER,MITCHELL,KFT,Korn Ferry Tour,Visit Knoxville Open,Korn Ferry Tour,CUT,UNC Health Championship,Korn Ferry Tour,T10,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,CUT,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,CUT,Memorial Health Championship presented by LRS,Korn Ferry Tour,CUT,-0.47,0.34
HODGES,LEE,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T35,ONEflight Myrtle Beach Classic,PGA Tour,T24,THE CJ CUP Byron Nelson,PGA Tour,T67,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,CUT,-0.47,-0.41
MOLINARI,FRANCESCO,DPT,DP World Tour,Hero Indian Open,DP World Tour,T32,Turkish Airlines Open,DP World Tour,T6,Estrella Damm Catalunya Championship,DP World Tour,CUT,KLM Open,DP World Tour,CUT,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,-0.47,-0.11
RUSSELL,MILES,KFT,Korn Ferry Tour,LECOM Suncoast Classic,Korn Ferry Tour,CUT,Terra Cotta Invitational,Amateur,T62,Team TaylorMade Invitational,Amateur,T12,UNC Health Championship,Korn Ferry Tour,T39,U.S. Open,Major,T4,-0.48,-0.17
JUNG,CHANMIN,KOR,KPGA Korean Tour,KPGA Founders Cup,KPGA Korean Tour,T16,KPGA Gyeongbuk Open,KPGA Korean Tour,2,Kolon The 68th KOREA Open,ASA,T6,The 69th KPGA Championship with A-ONE CC,KPGA Korean Tour,CUT,KPGA Gunsan CC Open,KPGA Korean Tour,T17,-0.48,1.12
EGE,MATS,PTA,PGA Tour Americas,Diners Club Peru Open,PGA Tour Americas,T9,KIA Open de Ecuador presentado por Diners Club,PGA Tour Americas,T39,Mexico Championship presented by Scotia Wealth Management,PGA Tour Americas,T29,Inter Rapidisimo Golf Championship,PGA Tour Americas,T7,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,PGA Tour Americas,T8,-0.48,1
VAN TONDER,DANIEL,DPT,DP World Tour,Volvo China Open,DP World Tour,T2,Turkish Airlines Open,DP World Tour,CUT,Estrella Damm Catalunya Championship,DP World Tour,CUT,SunBet Challenge hosted by Sun Boardwalk,Sunshine Tour,T25,DS Automobiles 83° Open d’Italia,DP World Tour,CUT,-0.48,0.53
