Last Name,First Name,main-tour-inner,main-tour-hover,L5 Tournament-Type 1,L5 Tournament-Type 1,L5 Place-Type 1,L5 Tournament-Type 2,L5 Tournament-Type 2,L5 Place-Type 2,L5 Tournament-Type 3,L5 Tournament-Type 3,L5 Place-Type 3,L5 Tournament-Type 4,L5 Tournament-Type 4,L5 Place-Type 4,L5 Tournament-Type 5,L5 Tournament-Type 5,L5 Place-Type 5,SG-PUTT,SG-ARG
SHERWOOD,COLE,KFT,Korn Ferry Tour,Colonial Life Charity Classic,Korn Ferry Tour,2,Visit Knoxville Open,Korn Ferry Tour,T15,BMW Charity Pro-Am Presented by TD SYNNEX,Korn Ferry Tour,T7,OccuNet Classic presented by Amarillo National Bank,Korn Ferry Tour,1,Memorial Health Championship presented by LRS,Korn Ferry Tour,T14,1.16,1.38
BRADLEY,KEEGAN,PGA,PGA Tour,PGA Championship,Major,T32,Charles Schwab Challenge,PGA Tour,CUT,the Memorial Tournament presented by Workday,PGA Tour,T35,U.S. Open,Major,T14,Travelers Championship,PGA Tour,T19,1.14,0.22
BAUCHOU,ZACH,PGA,PGA Tour,Zurich Classic of New Orleans,PGA Tour,T22,ONEflight Myrtle Beach Classic,PGA Tour,T13,THE CJ CUP Byron Nelson,PGA Tour,T24,Charles Schwab Challenge,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T6,1.13,0.95
BHATIA,AKSHAY,PGA,PGA Tour,PGA Championship,Major,CUT,Charles Schwab Challenge,PGA Tour,T28,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,T17,Travelers Championship,PGA Tour,T5,1.12,-0.15
HARMAN,BRIAN,PGA,PGA Tour,PGA Championship,Major,T60,Charles Schwab Challenge,PGA Tour,T22,the Memorial Tournament presented by Workday,PGA Tour,CUT,U.S. Open,Major,T32,Travelers Championship,PGA Tour,T25,1.07,0.42
FOX,RYAN,PGA,PGA Tour,PGA Championship,Major,T35,the Memorial Tournament presented by Workday,PGA Tour,T27,RBC Canadian Open,PGA Tour,T8,U.S. Open,Major,T23,Travelers Championship,PGA Tour,T66,1.01,0.57
MACINTYRE,ROBERT,PGA,PGA Tour,Charles Schwab Challenge,PGA Tour,T42,the Memorial Tournament presented by Workday,PGA Tour,CUT,RBC Canadian Open,PGA Tour,T15,U.S. Open,Major,T39,Travelers Championship,PGA Tour,T10,0.97,-0.44
KANEKO,KOTA,DPT,DP World Tour,Estrella Damm Catalunya Championship,DP World Tour,T11,PGA Championship,Major,CUT,Soudal Open,DP World Tour,CUT,Austrian Alpine Open presented by Kitzbühel Tirol,DP World Tour,1,DS Automobiles 83° Open d’Italia,DP World Tour,T2,0.96,1.08
YOUNG,CAMERON,PGA,PGA Tour,Truist Championship,PGA Tour,T10,PGA Championship,Major,T26,the Memorial Tournament presented by Workday,PGA Tour,T46,U.S. Open,Major,T43,Travelers Championship,PGA Tour,T47,0.96,-1.08
BURMESTER,DEAN,LIV,LIV Golf,South Africa,LIV Golf,T23,Mexico City,LIV Golf,T6,Virginia,LIV Golf,T15,Korea,LIV Golf,T27,Andalucia,LIV Golf,4,0.95,0.7
MATSUYAMA,HIDEKI,PGA,PGA Tour,PGA Championship,Major,T26,Charles Schwab Challenge,PGA Tour,T13,the Memorial Tournament presented by Workday,PGA Tour,T43,U.S. Open,Major,T65,Travelers Championship,PGA Tour,T14,0.94,-0.31
