course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034,35.9,0.57,0.47,0.7,0.0632,0.6761,0.029,0,0.034,0.008,0.008,0.008,0.041,0.012,0.48,0.11
"Shinnecock Hills Golf Club",70,7398,474,190,3.77,0.27,0.25,-0.13,295.8,21.6,0.7134,-0.03,-0.088,-0.081,0.032,47.6,0.46,0.42,0.38,0.0103,0.5716,-0.118,-0.063,-0.102,-0.065,-0.08,-0.013,-0.05,-0.038,0.06,0.01
"Silverado Resort (North Course)",72,7094,452,190,-0.96,0.08,0,-0.32,287.8,21.2,0.5084,-0.005,-0.018,-0.003,-0.012,26.3,0.33,0.26,0.44,0.0181,0.6872,0.001,-0.007,-0.019,-0.028,-0.003,-0.001,-0.009,-0.007,0.17,0.08
"Southern Hills Country Club",70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,44.2,0.28,0.25,0.23,0.0388,0.5363,-0.052,-0.027,-0.041,-0.04,-0.029,-0.005,-0.027,0,0.41,0.01
"Spyglass Hill Golf Course",72,7020,453,170,-1.45,0.02,-0.02,-0.35,282.9,15.7,0.5704,-0.01,0.057,-0.037,-0.023,24.3,0.28,0.17,0.59,0.0112,0.6623,-0.018,-0.053,0.03,0.081,-0.004,-0.006,-0.018,-0.011,0.25,0.04
"St. Andrews Links (Old Course)",72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,71.9,0.33,0.21,0.83,0.0297,0.7752,-0.066,-0.047,-0.108,-0.004,-0.348,-0.003,0.061,-0.027,0.24,0.07
"St. George's G&amp;CC",70,7006,464,196,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019,31.3,0.45,0.43,0.64,0.0162,0.6171,-0.017,-0.009,0.012,-0.033,-0.074,-0.004,-0.024,0.004,0.08,0.03
"TPC Boston",71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012,35.9,0.34,0.22,0.48,0.0195,0.635,-0.009,-0.004,-0.022,-0.018,-0.016,0,0.002,0.002,0.38,0.02
"TPC Craig Ranch",72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,38.5,0.36,0.23,0.47,0.0268,0.7074,0.02,0.058,0.046,0.06,0.032,0.003,0.013,0.019,0.19,0.01
"TPC Craig Ranch (Par 71)",71,7289,466,193,-2.52,-0.03,-0.07,-0.55,295.5,15.3,0.6182,0.014,0.048,0.066,0.029,35.7,0.35,0.23,0.44,0.0288,0.7082,0.065,0.066,0.056,0.063,0.002,0.005,0.026,0.018,0.22,0.02
