Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
FOX,RYAN,PGA,PGA Tour,PGA Championship,T35,Major,the Memorial Tournament presented by Workday,T27,PGA Tour,RBC Canadian Open,T8,PGA Tour,U.S. Open,T23,Major,Travelers Championship,T66,1.03,0.58
MACINTYRE,ROBERT,PGA,PGA Tour,Charles Schwab Challenge,T42,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,RBC Canadian Open,T15,PGA Tour,U.S. Open,T39,Major,Travelers Championship,T10,0.99,-0.42
YOUNG,CAMERON,PGA,PGA Tour,Truist Championship,T43,PGA Tour,PGA Championship,T10,Major,the Memorial Tournament presented by Workday,T26,PGA Tour,U.S. Open,T47,Major,Travelers Championship,T46,0.98,-1.16
REED,PATRICK,PGA,PGA Tour,Masters Tournament,T12,Major,PGA Championship,T10,Major,U.S. Open,CUT,Major,DS Automobiles 83° Open d’Italia,T45,DP World Tour,BMW International Open,CUT,0.98,0.26
MATSUYAMA,HIDEKI,PGA,PGA Tour,PGA Championship,T65,Major,Charles Schwab Challenge,T26,PGA Tour,the Memorial Tournament presented by Workday,T13,PGA Tour,U.S. Open,T14,Major,Travelers Championship,T43,0.97,-0.27
KIM,TOM,PGA,PGA Tour,THE CJ CUP Byron Nelson,T54,PGA Tour,Charles Schwab Challenge,T54,PGA Tour,RBC Canadian Open,T15,PGA Tour,U.S. Open,3,Major,John Deere Classic,T46,0.96,0.6
GRILLO,EMILIANO,PGA,PGA Tour,THE CJ CUP Byron Nelson,T23,PGA Tour,Charles Schwab Challenge,T38,PGA Tour,RBC Canadian Open,T42,PGA Tour,U.S. Open,T26,Major,John Deere Classic,T20,0.96,0.82
KOIVUN,JACKSON,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,CUT,Amateur,NCAA Athens Regional,T10,Amateur,NCAA DI Men's National Championship- Stroke Play,T10,Amateur,U.S. Open,1,Major,John Deere Classic,T23,0.95,-0.24
SMALLEY,ALEX,PGA,PGA Tour,PGA Championship,T2,Major,Charles Schwab Challenge,T3,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T47,0.93,0.19
HOJGAARD,NICOLAI,PGA,PGA Tour,PGA Championship,T44,Major,the Memorial Tournament presented by Workday,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T14,0.93,-0.15
LINDELL,OLIVER,DPT,DP World Tour,Soudal Open,2,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T30,DP World Tour,KLM Open,T47,DP World Tour,DS Automobiles 83° Open d’Italia,T6,DP World Tour,BMW International Open,T13,0.91,0.29
PEREZ,VICTOR,LIV,LIV Golf,Virginia,T9,LIV Golf,Soudal Open,11,DP World Tour,Korea,T2,LIV Golf,Andalucia,T16,LIV Golf,BMW International Open,T23,0.91,0.69
SNEDEKER,BRANDT,PGA,PGA Tour,ONEflight Myrtle Beach Classic,1,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T28,PGA Tour,the Memorial Tournament presented by Workday,T36,PGA Tour,Travelers Championship,T38,0.89,0.84
EICHHORN,HUNTER,KFT,Korn Ferry Tour,Visit Knoxville Open,5,Korn Ferry Tour,UNC Health Championship,2,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T48,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T7,Korn Ferry Tour,Memorial Health Championship presented by LRS,T17,0.89,0.83
MEISSNER,MAC,PGA,PGA Tour,Charles Schwab Challenge,T3,PGA Tour,the Memorial Tournament presented by Workday,T46,PGA Tour,RBC Canadian Open,CUT,PGA Tour,Travelers Championship,T44,PGA Tour,John Deere Classic,T6,0.81,-0.03
POTGIETER,ALDRICH,PGA,PGA Tour,Cadillac Championship,T14,PGA Tour,Truist Championship,T48,PGA Tour,PGA Championship,T35,Major,RBC Canadian Open,T8,PGA Tour,John Deere Classic,CUT,0.81,0.93
DECHAMBEAU,BRYSON,LIV,LIV Golf,Virginia,T11,LIV Golf,PGA Championship,3,Major,Korea,CUT,LIV Golf,Andalucia,CUT,LIV Golf,U.S. Open,3,0.79,-0.31
BEZUIDENHOUT,CHRISTIAAN,PGA,PGA Tour,PGA Championship,T12,Major,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T32,PGA Tour,RBC Canadian Open,T35,PGA Tour,John Deere Classic,T54,0.79,0.03
CINK,STEWART,CHAMP,PGA Tour Champions,Mitsubishi Electric Classic,2,PGA Tour Champions,Regions Tradition,4,PGA Tour Champions,Insperity Invitational,T5,PGA Tour Champions,PGA Championship,1,Major,U.S. Senior Open Championship,CUT,0.78,0.71
THEEGALA,SAHITH,PGA,PGA Tour,Charles Schwab Challenge,T60,PGA Tour,the Memorial Tournament presented by Workday,T32,PGA Tour,RBC Canadian Open,T45,PGA Tour,U.S. Open,T11,Major,Travelers Championship,T51,0.78,0.14
SMITH,CAMERON,LIV,LIV Golf,Virginia,T5,LIV Golf,PGA Championship,T26,Major,Korea,T7,LIV Golf,Andalucia,CUT,LIV Golf,U.S. Open,T16,0.77,0.6
WOODLAND,GARY,PGA,PGA Tour,PGA Championship,T7,Major,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,T6,PGA Tour,U.S. Open,71,Major,Travelers Championship,T36,0.76,0.09
PUIG,DAVID,LIV,LIV Golf,PGA Championship,CUT,Major,Korea,T18,LIV Golf,Andalucia,T16,LIV Golf,U.S. Open,T48,Major,DS Automobiles 83° Open d’Italia,T5,0.76,0.02
SCOTT,ADAM,PGA,PGA Tour,Truist Championship,T24,PGA Tour,PGA Championship,CUT,Major,the Memorial Tournament presented by Workday,T12,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,65,0.76,-0.19
NOREN,ALEX,PGA,PGA Tour,PGA Championship,T26,Major,the Memorial Tournament presented by Workday,9,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T55,0.73,-0.55
