Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
YELLAMARAJU,SUDARSHAN,PGA,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,T40,PGA Tour,RBC Canadian Open,T8,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,CUT,0.35,0.09
DEAN,JOE,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T47,DP World Tour,KLM Open,T12,DP World Tour,DS Automobiles 83° Open d’Italia,T9,DP World Tour,BMW International Open,T3,0.35,1.16
MOORE,TAYLOR,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T17,PGA Tour,THE CJ CUP Byron Nelson,T14,PGA Tour,Charles Schwab Challenge,T60,PGA Tour,RBC Canadian Open,T40,PGA Tour,John Deere Classic,CUT,0.35,0.36
BERGER,DANIEL,PGA,PGA Tour,PGA Championship,T25,Major,the Memorial Tournament presented by Workday,T35,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,CUT,PGA Tour,John Deere Classic,CUT,0.34,-0.06
CONNERS,COREY,PGA,PGA Tour,PGA Championship,T55,Major,the Memorial Tournament presented by Workday,53,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T23,Major,Travelers Championship,T7,0.34,-0.3
KIM,CHAN,KFT,Korn Ferry Tour,UNC Health Championship,T33,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T13,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T3,Korn Ferry Tour,Memorial Health Championship presented by LRS,T51,Korn Ferry Tour,John Deere Classic,T35,0.34,0.83
GOUVEIA,RICARDO,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T24,DP World Tour,KLM Open,T2,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T38,0.34,1.15
NAKAJIMA,KEITA,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T13,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T28,PGA Tour,RBC Canadian Open,T20,PGA Tour,John Deere Classic,T46,0.32,0.37
PUTNAM,ANDREW,PGA,PGA Tour,PGA Championship,T55,Major,Charles Schwab Challenge,T17,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T65,Major,John Deere Classic,T51,0.3,0.09
HOEY,RICO,PGA,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,T17,PGA Tour,RBC Canadian Open,T60,PGA Tour,John Deere Classic,CUT,0.29,-0.11
FERGUSON,EWEN,DPT,DP World Tour,Soudal Open,T19,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T17,DP World Tour,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,CUT,0.28,0.31
ISHIKAWA,RYO,KFT,Korn Ferry Tour,Visit Knoxville Open,T3,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T15,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T33,Korn Ferry Tour,Memorial Health Championship presented by LRS,T12,0.27,0.75
WATSON,BUBBA,LIV,LIV Golf,Virginia,9,LIV Golf,Kolon The 68th KOREA Open,T35,ASA,Korea,CUT,LIV Golf,Andalucia,2,LIV Golf,International Series Morocco presented by Visit Morocco,T29,0.27,0.28
REDMAN,DOC,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,1,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T48,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T13,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,0.27,0.6
HILL,CALUM,DPT,DP World Tour,Soudal Open,T19,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T59,DP World Tour,KLM Open,T17,DP World Tour,DS Automobiles 83° Open d’Italia,T14,DP World Tour,BMW International Open,T30,0.26,0.37
HODGES,LEE,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T3,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T35,PGA Tour,RBC Canadian Open,T67,PGA Tour,John Deere Classic,CUT,0.26,0.22
BRENNAN,MICHAEL,PGA,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T6,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T43,Major,John Deere Classic,T33,0.25,-0.16
NORRIS,SHAUN,JPN,Japan Golf Tour,Estrella Damm Catalunya Championship,T38,DP World Tour,Japan PGA Championship Senko Group Cup,2,Japan Golf Tour,Gate Way To The Open Mizuno Open,CUT,Japan Golf Tour,BMW Japan Golf Tour Championship Mori Building Cup,1,Japan Golf Tour,BMW International Open,CUT,0.25,1.19
MCGREEVY,MAX,PGA,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T35,PGA Tour,RBC Canadian Open,T51,PGA Tour,U.S. Open,T32,Major,John Deere Classic,T51,0.24,-0.14
PEREIRA,COREY,PTA,PGA Tour Americas,Diners Club Peru Open,T2,PGA Tour Americas,KIA Open de Ecuador presentado por Diners Club,T24,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,CUT,PGA Tour Americas,Inter Rapidisimo Golf Championship,1,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T5,0.23,0.14
JAKUBCIK,FILIP,AM,Amateur,Big 12 Men's Golf Championship,T28,Amateur,NCAA Marana Regional,6,Amateur,NCAA DI Men's National Championship- Stroke Play,T1,Amateur,OccuNet Classic presented by Amarillo National Bank,T33,Korn Ferry Tour,Memorial Health Championship presented by LRS,T4,0.23,0.93
EWART,A.J.,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T71,PGA Tour,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,T17,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,T29,0.23,0.45
GRACE,BRANDEN,LIV,LIV Golf,Virginia,T14,LIV Golf,Korea,T21,LIV Golf,Andalucia,T12,LIV Golf,International Series Morocco presented by Visit Morocco,WD,Asian Tour,DS Automobiles 83° Open d’Italia,T11,0.23,-0.55
STOUT,PRESTON,AM,Amateur,NCAA Marana Regional,T15,Amateur,THE CJ CUP Byron Nelson,T18,PGA Tour,NCAA DI Men's National Championship- Stroke Play,CUT,Amateur,U.S. Open,1,Major,John Deere Classic,CUT,0.22,0.24
DOSSEY,COOPER,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T3,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T7,Korn Ferry Tour,U.S. Open,T19,Major,Memorial Health Championship presented by LRS,CUT,0.21,0.16
SMITH,JORDAN,PGA,PGA Tour,Cadillac Championship,T55,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,T59,PGA Tour,Charles Schwab Challenge,T13,PGA Tour,RBC Canadian Open,CUT,0.2,-0.31
SCHMID,MATTI,PGA,PGA Tour,PGA Championship,T4,Major,THE CJ CUP Byron Nelson,CUT,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,CUT,Major,BMW International Open,T23,0.19,0.11
LINDBERG,MIKAEL,DPT,DP World Tour,PGA Championship,T60,Major,Soudal Open,T55,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T17,DP World Tour,KLM Open,1,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,0.19,0.01
HOSSLER,BEAU,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T39,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T3,PGA Tour,RBC Canadian Open,1,PGA Tour,John Deere Classic,T45,0.18,0.01
HISATSUNE,RYO,PGA,PGA Tour,Charles Schwab Challenge,T38,PGA Tour,the Memorial Tournament presented by Workday,66,PGA Tour,U.S. Open,52,Major,Travelers Championship,T9,PGA Tour,John Deere Classic,T43,0.18,-0.03
GUILLAMOUNDEGUY,OIHAN,DPT,DP World Tour,Soudal Open,T25,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T35,DP World Tour,DS Automobiles 83° Open d’Italia,T4,DP World Tour,BMW International Open,CUT,0.17,0.56
FISHBURN,PATRICK,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T67,PGA Tour,THE CJ CUP Byron Nelson,T47,PGA Tour,Charles Schwab Challenge,T54,PGA Tour,RBC Canadian Open,T19,PGA Tour,John Deere Classic,T29,0.17,0.26
BLAIR,ZAC,PGA,PGA Tour,Charles Schwab Challenge,T9,PGA Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T40,Korn Ferry Tour,U.S. Open,T32,Major,Memorial Health Championship presented by LRS,CUT,Korn Ferry Tour,John Deere Classic,T27,0.17,0.04
FOWLER,RICKIE,PGA,PGA Tour,Charles Schwab Challenge,T38,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T15,PGA Tour,John Deere Classic,CUT,0.17,-1.12
ARMITAGE,MARCUS,DPT,DP World Tour,Soudal Open,T66,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T2,DP World Tour,KLM Open,T26,DP World Tour,DS Automobiles 83° Open d’Italia,T14,DP World Tour,BMW International Open,T50,0.16,0.2
HERBERT,LUCAS,LIV,LIV Golf,Singapore Open presented by The Business Times,T24,Asian Tour,Virginia,CUT,LIV Golf,Korea,T8,LIV Golf,Andalucia,CUT,LIV Golf,U.S. Open,1,0.16,0.08
DETRY,THOMAS,LIV,LIV Golf,PGA Championship,T5,Major,Soudal Open,CUT,DP World Tour,Korea,T53,LIV Golf,Andalucia,CUT,LIV Golf,DS Automobiles 83° Open d’Italia,T41,0.16,-0.31
YU,KEVIN,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T53,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T35,PGA Tour,RBC Canadian Open,T29,PGA Tour,John Deere Classic,T15,0.15,0
NEERGAARD-PETERSEN,RASMUS,PGA,PGA Tour,PGA Championship,T75,Major,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,T42,PGA Tour,RBC Canadian Open,39,PGA Tour,BMW International Open,56,0.15,-0.17
JOHNSON,MICHAEL,KFT,Korn Ferry Tour,Visit Knoxville Open,T35,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T12,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T7,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,0.14,0.23
HALL,HARRY,PGA,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,T29,PGA Tour,RBC Canadian Open,T40,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T51,0.13,-0.81
AYORA,ANGEL,DPT,DP World Tour,Estrella Damm Catalunya Championship,T3,DP World Tour,PGA Championship,CUT,Major,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,5,DP World Tour,BMW International Open,CUT,0.13,-0.52
BRYANT,DAVIS,DPT,DP World Tour,Soudal Open,T48,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T30,DP World Tour,KLM Open,T2,DP World Tour,DS Automobiles 83° Open d’Italia,T50,DP World Tour,BMW International Open,T38,0.11,0.83
MCCARTY,MATT,PGA,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T60,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T30,0.1,-0.6
STEVENS,SAM,PGA,PGA Tour,PGA Championship,T65,Major,Charles Schwab Challenge,T42,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,T7,Major,Travelers Championship,T62,0.09,-0.39
THOMPSON,DAVIS,PGA,PGA Tour,THE CJ CUP Byron Nelson,T26,PGA Tour,Charles Schwab Challenge,T35,PGA Tour,RBC Canadian Open,T45,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,CUT,0.09,-0.34
PENDRITH,TAYLOR,PGA,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,the Memorial Tournament presented by Workday,T43,PGA Tour,RBC Canadian Open,T29,PGA Tour,Travelers Championship,T47,PGA Tour,John Deere Classic,61,0.09,-0.23
ORTIZ,ALVARO,KFT,Korn Ferry Tour,Visit Knoxville Open,T10,Korn Ferry Tour,UNC Health Championship,T46,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T40,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,0.09,0.9
HUGHES,MACKENZIE,PGA,PGA Tour,Truist Championship,T46,PGA Tour,THE CJ CUP Byron Nelson,66,PGA Tour,Charles Schwab Challenge,T10,PGA Tour,RBC Canadian Open,T52,PGA Tour,John Deere Classic,CUT,0.09,0.09
ERENO PEREZ,PABLO,CHA,Challenge Tour,Challenge de España,T12,Challenge Tour,KLM Open,T7,DP World Tour,English Open supported by HotelPlanner,T14,Challenge Tour,Blot Play9,T41,Challenge Tour,Le Vaudreuil Golf Challenge,3,0.08,0.85
MOUW,WILLIAM,PGA,PGA Tour,THE CJ CUP Byron Nelson,T26,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T20,PGA Tour,U.S. Open,CUT,Major,John Deere Classic,T65,0.07,-0.3
GRIFFIN,LANTO,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T39,PGA Tour,THE CJ CUP Byron Nelson,T67,PGA Tour,Charles Schwab Challenge,T32,PGA Tour,RBC Canadian Open,T13,PGA Tour,John Deere Classic,T60,0.07,0.16
MAAS,CHRISTIAAN,AM,Amateur,2026 SEC Men's Golf Championship Stroke Play,CUT,Amateur,NCAA Bryan Regional,T3,Amateur,NCAA DI Men's National Championship- Stroke Play,T5,Amateur,OccuNet Classic presented by Amarillo National Bank,T19,Korn Ferry Tour,Memorial Health Championship presented by LRS,T19,0.07,0.1
DUNLAP,NICK,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,T24,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,RBC Canadian Open,T33,PGA Tour,John Deere Classic,T60,0.07,0.67
TAYLOR,BEN,KFT,Korn Ferry Tour,Visit Knoxville Open,T28,Korn Ferry Tour,UNC Health Championship,1,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T7,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T27,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,0.05,0.59
KIMSEY,NATHAN,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T8,DP World Tour,KLM Open,T17,DP World Tour,U.S. Open,CUT,Major,BMW International Open,WD,0.04,0.45
SPIETH,JORDAN,PGA,PGA Tour,THE CJ CUP Byron Nelson,T66,PGA Tour,the Memorial Tournament presented by Workday,T19,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T58,PGA Tour,John Deere Classic,T56,0.04,-0.7
POULTER,IAN,LIV,LIV Golf,Mexico City,T27,LIV Golf,Virginia,T25,LIV Golf,Korea,T18,LIV Golf,Andalucia,4,LIV Golf,U.S. Senior Open Championship,T16,0.03,0.71
SKINNS,DAVID,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T33,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,1,PGA Tour,RBC Canadian Open,T24,PGA Tour,John Deere Classic,T20,0.02,0.28
CASTILLO,RICKY,PGA,PGA Tour,Cadillac Championship,T55,PGA Tour,Truist Championship,T60,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T42,PGA Tour,RBC Canadian Open,T45,0.02,-0.33
IM,SUNGJAE,PGA,PGA Tour,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,T32,PGA Tour,U.S. Open,T43,Major,Travelers Championship,T30,PGA Tour,John Deere Classic,T71,0.02,-0.15
ELVIRA,MANUEL,DPT,DP World Tour,Estrella Damm Catalunya Championship,T55,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T30,DP World Tour,DS Automobiles 83° Open d’Italia,T16,DP World Tour,BMW International Open,T7,0,0.63
DAY,JASON,PGA,PGA Tour,Cadillac Championship,CUT,PGA Tour,Truist Championship,T38,PGA Tour,PGA Championship,68,Major,the Memorial Tournament presented by Workday,T55,PGA Tour,Travelers Championship,T65,0,-0.63
WARING,PAUL,DPT,DP World Tour,Turkish Airlines Open,T48,DP World Tour,Estrella Damm Catalunya Championship,CUT,DP World Tour,Soudal Open,T13,DP World Tour,KLM Open,T38,DP World Tour,BMW International Open,T30,-0.01,0.56
STEELMAN,ROSS,KFT,Korn Ferry Tour,Visit Knoxville Open,2,Korn Ferry Tour,UNC Health Championship,T10,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T33,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T10,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,-0.01,0.77
HARRINGTON,PADRAIG,CHAMP,PGA Tour Champions,PGA Championship,2,Major,RBC Canadian Open,T18,PGA Tour,U.S. Open,CUT,Major,DICK'S Open,1,PGA Tour Champions,U.S. Senior Open Championship,CUT,-0.01,1.34
DOU,ZECHENG,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T21,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,1,PGA Tour,RBC Canadian Open,T13,PGA Tour,John Deere Classic,CUT,-0.03,-0.2
ORTIZ,CARLOS,LIV,LIV Golf,Virginia,CUT,LIV Golf,Korea,T30,LIV Golf,Andalucia,T52,LIV Golf,U.S. Open,T4,Major,BMW International Open,T21,-0.03,-0.16
FISK,STEVEN,PGA,PGA Tour,PGA Championship,T67,Major,THE CJ CUP Byron Nelson,T19,PGA Tour,Charles Schwab Challenge,T10,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,CUT,-0.03,-0.07
MENANTE,DYLAN,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T12,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T48,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.03,0.6
MIGLIOZZI,GUIDO,DPT,DP World Tour,Estrella Damm Catalunya Championship,T35,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T28,-0.04,0.63
MAZZOLI,STEFANO,DPT,DP World Tour,Soudal Open,T19,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,T23,DP World Tour,BMW International Open,T48,-0.05,0.99
SMOTHERMAN,AUSTIN,PGA,PGA Tour,Truist Championship,T19,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T42,PGA Tour,RBC Canadian Open,CUT,PGA Tour,John Deere Classic,T58,-0.05,0.04
PREMLALL,YURAV,DPT,DP World Tour,Soudal Open,T74,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T30,DP World Tour,KLM Open,T40,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,CUT,-0.05,1.57
KIM,S.H.,KOR,KPGA Korean Tour,KPGA Gyeongbuk Open,2,KPGA Korean Tour,Kolon The 68th KOREA Open,T6,ASA,The 69th KPGA Championship with A-ONE CC,T8,KPGA Korean Tour,Hana Bank Invitational,T10,KPGA Korean Tour,KPGA Gunsan CC Open,CUT,-0.05,0.12
THORBJORNSEN,MICHAEL,PGA,PGA Tour,PGA Championship,CUT,Major,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,16,PGA Tour,RBC Canadian Open,T54,PGA Tour,John Deere Classic,CUT,-0.06,-0.68
REAVIE,CHEZ,KFT,Korn Ferry Tour,Visit Knoxville Open,T13,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T33,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,-0.06,0.8
NORGAARD,NIKLAS,DPT,DP World Tour,Soudal Open,T45,DP World Tour,KLM Open,CUT,DP World Tour,U.S. Open,T21,Major,DS Automobiles 83° Open d’Italia,T30,DP World Tour,BMW International Open,T43,-0.06,0.66
SHORE,DAVIS,KFT,Korn Ferry Tour,Visit Knoxville Open,CUT,Korn Ferry Tour,UNC Health Championship,T8,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T34,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,1,Korn Ferry Tour,Memorial Health Championship presented by LRS,T21,-0.07,0.34
LEVY,ALEXANDER,DPT,DP World Tour,Estrella Damm Catalunya Championship,T48,DP World Tour,Soudal Open,T31,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T24,DP World Tour,KLM Open,T50,DP World Tour,BMW International Open,T17,-0.07,0.72
HORSCHEL,BILLY,PGA,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T42,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,RBC Canadian Open,T15,PGA Tour,U.S. Open,CUT,-0.07,0.05
GARCIA,SERGIO,LIV,LIV Golf,Virginia,CUT,LIV Golf,Korea,2,LIV Golf,Andalucia,T29,LIV Golf,International Series Morocco presented by Visit Morocco,CUT,Asian Tour,BMW International Open,4,-0.08,0
HILLIER,DANIEL,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,KLM Open,T7,DP World Tour,DS Automobiles 83° Open d’Italia,T14,DP World Tour,BMW International Open,CUT,-0.08,-0.62
YOUNG,CARSON,KFT,Korn Ferry Tour,UNC Health Championship,CUT,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T17,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T8,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,Korn Ferry Tour,John Deere Classic,T13,-0.08,0.18
WU,ASHUN,DPT,DP World Tour,Turkish Airlines Open,T66,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T29,DP World Tour,KLM Open,CUT,DP World Tour,DS Automobiles 83° Open d’Italia,T7,DP World Tour,BMW International Open,T48,-0.08,0.66
LUNDIN,JACK,PTA,PGA Tour Americas,Diners Club Peru Open,4,PGA Tour Americas,KIA Open de Ecuador presentado por Diners Club,T33,PGA Tour Americas,Mexico Championship presented by Scotia Wealth Management,2,PGA Tour Americas,Inter Rapidisimo Golf Championship,T15,PGA Tour Americas,Blue Cross and Blue Shield of Kansas Wichita Open presented by Syndeo,T20,-0.08,1.03
HIGGS,HARRY,KFT,Korn Ferry Tour,UNC Health Championship,T43,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,CUT,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T58,Korn Ferry Tour,U.S. Open,T21,Major,John Deere Classic,T14,-0.1,0.75
FIGUEIREDO,PEDRO,CHA,Challenge Tour,Danish Golf Challenge,T8,Challenge Tour,Challenge de España,T16,Challenge Tour,English Open supported by HotelPlanner,4,Challenge Tour,Blot Play9,T18,Challenge Tour,Le Vaudreuil Golf Challenge,T14,-0.11,1.1
GILBERT,JOSIAH,AM,Amateur,Ford Collegiate,3,Amateur,2026 SEC Men's Golf Championship Stroke Play,T15,Amateur,NCAA Athens Regional,T7,Amateur,NCAA DI Men's National Championship- Stroke Play,T11,Amateur,Northeast Amateur Invitational,T4,-0.13,1.01
ROZNER,ANTOINE,DPT,DP World Tour,Turkish Airlines Open,T55,DP World Tour,Estrella Damm Catalunya Championship,T29,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T17,DP World Tour,KLM Open,1,DP World Tour,DS Automobiles 83° Open d’Italia,T60,-0.14,0.02
HOGE,TOM,PGA,PGA Tour,Charles Schwab Challenge,T33,PGA Tour,the Memorial Tournament presented by Workday,51,PGA Tour,RBC Canadian Open,1,PGA Tour,Travelers Championship,T71,PGA Tour,John Deere Classic,T38,-0.14,0.38
PAK,JOHN,KFT,Korn Ferry Tour,Colonial Life Charity Classic,T7,Korn Ferry Tour,Visit Knoxville Open,T69,Korn Ferry Tour,UNC Health Championship,T7,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,CUT,Korn Ferry Tour,Memorial Health Championship presented by LRS,1,-0.14,0.31
HITT,AUSTIN,KFT,Korn Ferry Tour,Visit Knoxville Open,1,Korn Ferry Tour,UNC Health Championship,T23,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,1,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,T19,Korn Ferry Tour,Memorial Health Championship presented by LRS,CUT,-0.14,0.59
COUSSAUD,UGO,DPT,DP World Tour,Soudal Open,CUT,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,CUT,DP World Tour,U.S. Open,T17,Major,DS Automobiles 83° Open d’Italia,T30,DP World Tour,BMW International Open,CUT,-0.14,-0.02
KANAYA,TAKUMI,PGA,PGA Tour,ONEflight Myrtle Beach Classic,CUT,PGA Tour,THE CJ CUP Byron Nelson,CUT,PGA Tour,Charles Schwab Challenge,T54,PGA Tour,RBC Canadian Open,T38,PGA Tour,John Deere Classic,T29,-0.15,-0.2
OLESEN,JACOB SKOV,DPT,DP World Tour,Soudal Open,T41,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T2,DP World Tour,KLM Open,T26,DP World Tour,DS Automobiles 83° Open d’Italia,CUT,DP World Tour,BMW International Open,T55,-0.15,-0.1
WINTHER,JEFF,DPT,DP World Tour,Soudal Open,T6,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T17,DP World Tour,KLM Open,WD,DP World Tour,DS Automobiles 83° Open d’Italia,T16,DP World Tour,BMW International Open,CUT,-0.15,0.53
KHO,TAICHI,JPN,Japan Golf Tour,Kolon The 68th KOREA Open,CUT,ASA,Gate Way To The Open Mizuno Open,T13,Japan Golf Tour,BMW Japan Golf Tour Championship Mori Building Cup,CUT,Japan Golf Tour,International Series Morocco presented by Visit Morocco,T2,Asian Tour,JAPAN PLAYERS CHAMPIONSHIP by Satosyokuhin,1,-0.16,1.03
