Last Name,First Name,short game,approach,driving-distance,driving-accuracy,total sg adj,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
MCKIBBIN,TOM,0.02,-0.01,0.03,-0.1,-0.06,5.7,10.6,4.3,4.3,2.6,0.8,1.5,4.3,7.2,4.5
NORRIS,SHAUN,-0.02,0.03,-0.06,-0.02,-0.06,5.7,10.5,4.4,4.5,2.6,0.9,1.7,3.9,7.3,4.8
BROWN,DAN,0.04,-0.01,-0.04,-0.05,-0.07,5.8,10.7,4.4,4.3,2.5,0.8,1.7,4,7.2,4.7
SMALLEY,ALEX,-0.02,-0.03,0.01,-0.03,-0.07,5.7,10.6,4.3,4.2,2.4,0.8,1.6,4.3,7.2,4.5
WALLACE,MATT,-0.02,-0.04,-0.01,0,-0.07,5.7,10.5,4.2,4.2,2.3,0.8,1.7,4.2,7.2,4.5
THOMAS,JUSTIN,-0.08,-0.04,0.03,0.01,-0.07,5.6,10.4,4.1,4.2,2.4,0.8,1.6,4.3,7.2,4.4
GUMBERG,JORDAN,0.09,0.05,-0.02,-0.19,-0.08,5.8,10.7,4.4,4.5,2.8,0.9,1.5,4,7.2,4.9
BRADBURY,DAN,0.06,-0.02,-0.01,-0.1,-0.08,5.8,10.8,4.4,4.3,2.4,0.8,1.5,4.1,7.2,4.7
MACINTYRE,ROBERT,-0.06,-0.01,0.02,-0.02,-0.08,5.7,10.5,4.2,4.3,2.5,0.8,1.6,4.3,7.2,4.5
STRAKA,SEPP,0.01,-0.03,-0.01,-0.05,-0.08,5.7,10.7,4.3,4.2,2.4,0.8,1.6,4.1,7.2,4.6
PEREZ,VICTOR,0,-0.01,0.01,-0.08,-0.09,5.7,10.7,4.3,4.3,2.5,0.8,1.5,4.2,7.2,4.6
MOLINARI,FRANCESCO,0.06,0,-0.04,-0.1,-0.09,5.8,10.6,4.3,4.3,2.5,0.8,1.6,4,7.2,4.9
IM,SUNGJAE,-0.06,0.02,-0.01,-0.04,-0.09,5.7,10.3,4.2,4.4,2.7,0.9,1.6,4.2,7.2,4.6
STERNE,RICHARD,0.04,0.03,-0.06,-0.09,-0.09,5.8,10.6,4.4,4.4,2.6,0.9,1.6,3.9,7.2,4.9
WU,ASHUN,-0.02,0.03,-0.08,-0.03,-0.09,5.7,10.4,4.3,4.4,2.6,0.9,1.8,3.8,7.3,4.9
LINDELL,OLIVER,-0.03,-0.04,-0.03,0,-0.1,5.7,10.5,4.3,4.2,2.3,0.8,1.7,4.1,7.3,4.6
ECHAVARRIA,NICO,-0.01,-0.01,-0.04,-0.05,-0.1,5.7,10.6,4.3,4.3,2.5,0.8,1.7,4,7.2,4.7
CANTLAY,PATRICK,-0.03,-0.07,0.02,-0.03,-0.11,5.7,10.6,4.2,4.1,2.3,0.8,1.6,4.3,7.2,4.5
SULLIVAN,ANDY,0.01,0.01,-0.06,-0.07,-0.11,5.7,10.6,4.3,4.4,2.6,0.9,1.7,3.9,7.2,4.8
REED,PATRICK,-0.03,-0.04,-0.03,0,-0.11,5.7,10.5,4.2,4.2,2.3,0.8,1.7,4.1,7.3,4.6
MCCARTY,MATT,-0.02,-0.02,-0.03,-0.04,-0.11,5.7,10.6,4.3,4.2,2.4,0.8,1.7,4.1,7.2,4.7
JARVIS,CASEY,0.03,-0.03,-0.02,-0.09,-0.12,5.8,10.8,4.3,4.2,2.4,0.8,1.6,4.1,7.2,4.7
CAULEY,BUD,-0.02,-0.04,0,-0.05,-0.12,5.7,10.5,4.2,4.2,2.4,0.8,1.6,4.2,7.2,4.6
GHIM,DOUG,0,-0.03,0.01,-0.1,-0.12,5.7,10.6,4.2,4.2,2.5,0.8,1.5,4.2,7.2,4.6
PARRY,JOHN,0.01,-0.03,-0.05,-0.06,-0.12,5.7,10.5,4.3,4.2,2.4,0.8,1.7,4,7.2,4.8
SMOTHERMAN,AUSTIN,0.06,-0.04,-0.01,-0.13,-0.13,5.8,10.8,4.3,4.2,2.4,0.8,1.5,4.1,7.2,4.8
GERARD,RYAN,-0.02,-0.04,0,-0.06,-0.13,5.7,10.7,4.3,4.2,2.4,0.8,1.6,4.2,7.2,4.6
VAN DRIEL,DARIUS,0.01,0.02,-0.07,-0.1,-0.13,5.7,10.5,4.3,4.4,2.6,0.9,1.7,3.9,7.2,4.9
MANASSERO,MATTEO,0.02,-0.02,-0.1,-0.03,-0.13,5.7,10.4,4.3,4.3,2.3,0.8,1.8,3.8,7.3,4.9
ENGLISH,HARRIS,-0.07,-0.01,0.01,-0.07,-0.14,5.7,10.5,4.2,4.3,2.5,0.8,1.6,4.2,7.2,4.6
WIESBERGER,BERND,0.02,-0.02,-0.05,-0.1,-0.15,5.7,10.6,4.3,4.3,2.4,0.8,1.6,4,7.2,4.9
KIM,TOM,-0.03,-0.05,-0.02,-0.06,-0.16,5.7,10.5,4.2,4.2,2.3,0.8,1.6,4.1,7.2,4.7
