Last Name,First Name,Events,Rounds,shotlink-rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-T2G,SG-OTT,ev-text 7,Driving-Distance,Driving-Accuracy
SVENSSON,JESPER,27,89,75,0,0%,-0.33,-0.16,-0.12,0.55,0.43,0.27,-0.16,14.9,-2.20%
FORREST,GRANT,26,83,70,1,4%,0.14,-0.12,-0.11,0.08,-0.03,-0.15,-0.19,6.5,-6.40%
SULLIVAN,ANDY,29,96,80,0,0%,-0.04,-0.06,-0.02,-0.17,-0.19,-0.25,-0.24,-10.6,3.80%
BRADBURY,DAN,28,88,64,1,4%,-0.35,-0.48,0.65,0.21,0.86,0.38,-0.25,-1.3,6.40%
PAVON,MATTHIEU,26,80,66,0,0%,0.14,-0.09,-0.36,-0.03,-0.39,-0.48,-0.26,0.4,0.40%
SADDIER,ADRIEN,27,87,79,0,0%,-0.13,0.01,-0.09,0.15,0.06,0.06,-0.28,-2.4,3.40%
HUBBARD,MARK,29,97,77,0,0%,-0.27,0.01,0.14,-0.22,-0.08,-0.07,-0.29,-6.1,-0.80%
VILIPS,KARL,24,74,64,0,0%,0.28,-0.04,-0.11,-0.48,-0.59,-0.63,-0.3,0,-6.80%
WIESBERGER,BERND,30,95,64,1,3%,-0.63,0.02,0.06,-0.09,-0.03,0,-0.33,-6.6,4.00%
MOLINARI,FRANCESCO,18,58,42,0,0%,-0.91,0.04,0.13,0.02,0.16,0.2,-0.36,-4.4,5.70%
DEL REY,ALEJANDRO,27,94,68,0,0%,-0.07,-0.02,-0.54,0.2,-0.34,-0.36,-0.39,13,-7.50%
CANTER,LAURIE,25,93,90,0,0%,-0.38,-0.32,-0.04,0.45,0.41,0.09,-0.39,1.8,3.70%
LUITEN,JOOST,28,95,76,0,0%,0.09,-0.17,-0.12,0.08,-0.04,-0.21,-0.42,-3,3.60%
VAN ROOYEN,ERIK,26,78,67,0,0%,0.14,-0.09,-0.54,0.02,-0.52,-0.61,-0.45,1.8,-3.10%
LAGERGREN,JOAKIM,29,97,78,0,0%,0.27,-0.21,-0.29,-0.06,-0.35,-0.56,-0.46,3.4,-6.50%
LAWRENCE,THRISTON,31,93,72,1,3%,-0.49,-0.23,0.08,0.13,0.21,-0.03,-0.47,-4.6,1.00%
STERNE,RICHARD,28,87,66,1,4%,-0.12,-0.16,0.15,-0.08,0.07,-0.09,-0.49,-7.4,6.80%
COUVRA,MARTIN,31,103,86,0,0%,-0.37,-0.12,-0.18,-0.02,-0.2,-0.31,-0.49,-5.3,2.00%
LACROIX,FREDERIC,26,89,71,0,0%,-0.42,-0.13,0.02,0.07,0.09,-0.04,-0.51,0.4,3.40%
