POS,First Name,Last Name,Score,R2,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
T14,Keegan,Bradley,-8,-5,-1.67,286.6,57.10%,2.29,88.90%,"18' 11""","28' 1""",0.24,1.25,100.00%,3,2,2.11,1.87,0.62
T14,Sam,Burns,-8,-4,0.36,283.2,57.10%,1.68,83.30%,"24' 8""","81' 9""",-0.05,-0.88,25.00%,3,2,1.11,1.16,2.04
T14,Wyndham,Clark,-8,-6,-0.74,291.9,57.10%,0.49,66.70%,"17' 8""","51' 10""",2.49,0.87,66.70%,7,2,3.11,0.62,-0.25
T14,Ben,James,-8,-6,1.22,279.2,92.90%,-1.03,77.80%,"28' 8""",,1.59,1.33,83.30%,5,2,3.11,1.52,0.19
T14,Robert,MacIntyre,-8,-5,0.26,286.9,71.40%,0.8,83.30%,"21' 9""","77' 1""",-0.21,1.26,33.30%,4,2,2.11,2.32,1.06
T14,Kristoffer,Reitan,-8,-2,1.26,285.4,78.60%,-0.35,77.80%,"29' 5""","54' 7""",-0.9,-0.9,60.00%,4,3,-0.89,0.01,0.91
T22,Corey,Conners,-7,-2,0.32,283.9,78.60%,-1.3,77.80%,"26' 5""","84' 4""",-0.69,0.78,71.40%,3,4,-0.89,-0.2,-0.97
T22,Si Woo,Kim,-7,-6,0.53,284.3,78.60%,1.08,88.90%,"21' 10""","4' 2""",2.65,-1.15,40.00%,8,3,3.11,0.46,1.61
T22,Shane,Lowry,-7,-5,0.16,280.8,71.40%,0.7,77.80%,"21' 7""","23' 8""",0.68,0.57,66.70%,8,4,2.11,1.43,0.86
T22,Nico,Echavarria,-7,-1,-1.5,281.4,71.40%,0.55,77.80%,"23' 7""","13' 6""",-1.7,0.76,66.70%,4,5,-1.89,-0.19,-0.95
T22,Aaron,Rai,-7,-2,-0.11,274.3,78.60%,-0.44,83.30%,"28' 10""","47' 11""",-0.94,0.6,75.00%,1,2,-0.89,0.05,-0.55
T27,Taylor,Pendrith,-6,-3,0.79,292,71.40%,-0.48,72.20%,"23' 8""","34' 8""",0.14,-0.35,57.10%,4,3,0.11,-0.03,0.32
T27,Sungjae,Im,-6,-4,0.47,282.9,71.40%,0.47,83.30%,"27' 11""","37' 2""",0.44,-0.27,50.00%,5,4,1.11,0.67,0.95
T27,J.T.,Poston,-6,-3,-0.32,277.5,64.30%,-0.36,77.80%,"26' 6""","33' 11""",0.05,0.75,40.00%,3,2,0.11,0.06,-0.68
T27,Brandt,Snedeker,-6,-1,0.25,274.7,85.70%,-1.57,83.30%,"30' 9""","26' 2""",0.19,-0.76,40.00%,3,3,-1.89,-2.08,-1.32
T27,Hideki,Matsuyama,-6,-3,-0.28,285.9,71.40%,0.78,83.30%,"24' 7""","21' 3""",-1.64,1.25,60.00%,5,5,0.11,1.75,0.5
T27,Justin,Thomas,-6,-4,0.86,289.2,85.70%,-0.57,72.20%,"20' 11""","76' 3""",-0.37,1.2,55.60%,3,1,1.11,1.48,0.29
T27,Jhonattan,Vegas,-6,-5,0.03,293.6,57.10%,0.23,88.90%,"21' 9""","62' 4""",0.97,0.88,75.00%,3,3,2.11,1.14,0.26
T34,Alex,Noren,-5,-4,0.23,270.9,78.60%,-1.48,77.80%,"35' 1""","77' 11""",2.65,-0.28,66.70%,2,1,1.11,-1.54,-1.25
T34,Rickie,Fowler,-5,-4,0.27,281.7,57.10%,-1.02,83.30%,"21' 3""","72' 10""",0.51,1.35,100.00%,4,1,1.11,0.6,-0.75
T34,Michael,Kim,-5,-3,-1.3,278.7,21.40%,1.43,83.30%,"22' 0""","55' 6""",-1.26,1.24,83.30%,4,2,0.11,1.37,0.13
T34,Keith,Mitchell,-5,-3,0.72,290,71.40%,0.91,77.80%,"25' 8""","33' 7""",-0.42,-1.09,80.00%,5,4,0.11,0.53,1.62
T34,Denny,McCarthy,-5,-2,-0.25,289.1,42.90%,-0.24,83.30%,"28' 11""","35' 5""",0.17,-0.56,66.70%,1,1,-0.89,-1.06,-0.5
T34,Jackson,Suber,-5,-3,1.47,290.1,92.90%,-1.6,83.30%,"30' 9""","39' 9""",-0.07,0.31,80.00%,2,2,0.11,0.19,-0.13
T34,Alex,Fitzpatrick,-5,-4,0.44,282.7,78.60%,0.66,88.90%,"20' 5""","117' 7""",0.5,-0.49,33.30%,2,1,1.11,0.61,1.11
T34,Collin,Morikawa,-5,-4,0.71,282.1,92.90%,0.78,83.30%,"21' 5""","11' 8""",0.73,-1.1,71.40%,1,1,1.11,0.38,1.48
T42,Chris,Gotterup,-4,-5,0.73,288.5,78.60%,-0.94,83.30%,"23' 3""","97' 11""",3.03,-0.71,66.70%,4,1,2.11,-0.92,-0.21
T42,Mac,Meissner,-4,-4,0.77,292,78.60%,-0.21,66.70%,"22' 6""","32' 11""",-0.27,0.82,75.00%,2,2,1.11,1.38,0.56
T42,Ryan,Gerard,-4,-2,0.4,292.5,64.30%,-1.11,72.20%,"29' 7""","32' 11""",-0.31,0.14,50.00%,2,1,-0.89,-0.58,-0.71
T42,Tony,Finau,-4,-4,-0.64,289.5,64.30%,0.32,72.20%,"23' 8""","90' 11""",1.52,-0.09,50.00%,6,4,1.11,-0.41,-0.32
T42,Russell,Henley,-4,E,-0.2,276,78.60%,-0.7,77.80%,"23' 5""","151' 4""",0.35,-2.34,50.00%,3,3,-2.89,-3.24,-0.9
T42,Xander,Schauffele,-4,-1,0.11,286.6,85.70%,-2.03,77.80%,"24' 7""","54' 11""",0.33,-0.3,50.00%,4,6,-1.89,-2.22,-1.92
T42,Brian,Harman,-4,E,0.73,276.9,100.00%,-1.65,83.30%,"27' 4""",,-1.94,-0.02,50.00%,1,4,-2.89,-0.95,-0.92
T49,Alex,Smalley,-3,-4,0.07,281.6,78.60%,-0.28,77.80%,"25' 10""","40' 2""",1.03,0.29,85.70%,3,2,1.11,0.08,-0.21
T49,Daniel,Berger,-3,-3,-0.55,282.5,64.30%,1.27,77.80%,"22' 10""","40' 6""",-2.24,1.63,83.30%,1,3,0.11,2.36,0.72
T49,Tom,Hoge,-3,E,-2.79,286.9,57.10%,1.45,72.20%,"17' 7""","77' 3""",-1.09,-0.46,33.30%,4,5,-2.89,-1.8,-1.34
T49,Nicolai,Hojgaard,-3,-4,-0.13,290.4,57.10%,-0.56,66.70%,"17' 5""","73' 11""",1.64,0.16,77.80%,5,1,1.11,-0.53,-0.69
T49,Harry,Hall,-3,E,-1.19,280.8,42.90%,-1.32,61.10%,"27' 10""","46' 3""",1.56,-1.93,55.60%,3,2,-2.89,-4.45,-2.51
T49,Ludvig,Aberg,-3,-3,1.77,298.5,78.60%,-0.2,88.90%,"28' 7""","9' 10""",-2.21,0.74,66.70%,3,3,0.11,2.32,1.58
T55,Jason,Day,-2,-2,-0.26,273.1,78.60%,-1.88,66.70%,"31' 4""","55' 11""",1.37,-0.12,70.00%,2,2,-0.89,-2.26,-2.14
T55,Ryo,Hisatsune,-2,E,-1.59,282.7,64.30%,0.45,83.30%,"25' 2""","33' 11""",-1.43,-0.31,60.00%,0,3,-2.89,-1.46,-1.15
T57,Sam,Stevens,-1,1,-0.04,275.3,78.60%,-1.71,77.80%,"25' 3""","63' 4""",-0.78,-1.36,33.30%,2,1,-3.89,-3.1,-1.74
T57,Andrew,Novak,-1,2,-0.35,281.8,64.30%,-1.1,61.10%,"25' 5""","56' 0""",-2.05,-1.4,42.90%,2,5,-4.89,-2.84,-1.44
T57,Matt,McCarty,-1,E,-1.01,278.5,78.60%,2.11,77.80%,"22' 8""","41' 2""",-2.08,-1.91,28.60%,2,7,-2.89,-0.81,1.1
T57,Gary,Woodland,-1,E,0.33,292.7,85.70%,1.47,72.20%,"22' 2""","28' 8""",-4.24,-0.45,40.00%,3,8,-2.89,1.35,1.8
T57,Nick,Taylor,-1,1,-1.47,278.6,64.30%,-3.84,44.40%,"28' 1""","58' 11""",2.07,-0.65,75.00%,3,6,-3.89,-5.96,-5.31
T62,Jacob,Bridgeman,E,E,0.55,281.2,71.40%,0.16,88.90%,"25' 9""","95' 11""",-4.1,0.5,20.00%,2,6,-2.89,1.21,0.71
T62,Jordan,Spieth,E,-1,-0.57,284.8,57.10%,-1.22,72.20%,"31' 0""","50' 6""",0.05,-0.15,75.00%,0,1,-1.89,-1.94,-1.79
T62,Mark,Hubbard,E,1,-0.76,279.1,57.10%,-2.17,77.80%,"34' 5""","103' 1""",-1.65,0.7,50.00%,1,4,-3.89,-2.24,-2.93
T65,Sahith,Theegala,1,-3,0.05,286.6,64.30%,-1.22,72.20%,"29' 7""","44' 4""",0.47,0.81,44.40%,3,2,0.11,-0.36,-1.17
T65,Min Woo,Lee,1,3,-0.61,284.2,71.40%,-1.48,77.80%,"31' 5""","23' 5""",-4.3,0.5,71.40%,0,4,-5.89,-1.59,-2.09
T65,Jake,Knapp,1,-3,-0.61,289.2,57.10%,-0.41,77.80%,"27' 0""","26' 3""",1.3,-0.17,66.70%,2,4,0.11,-1.18,-1.02
T68,Adam,Scott,2,1,-0.51,284.5,50.00%,0.73,88.90%,"25' 3""","37' 9""",-1.34,-2.77,33.30%,1,4,-3.89,-2.55,0.22
T68,Ryan,Fox,2,1,-2.52,287.6,50.00%,0.39,66.70%,"24' 3""","45' 7""",-0.19,-1.58,42.90%,0,3,-3.89,-3.7,-2.13
70,Cameron,Young,3,1,0.34,295.1,57.10%,-2.57,55.60%,"29' 0""","66' 1""",-2.31,0.65,72.70%,0,3,-3.89,-1.58,-2.23
71,Lucas,Glover,4,-1,1.06,288.3,92.90%,-0.44,94.40%,"22' 3""","26' 7""",-2.28,-0.23,50.00%,3,3,-1.89,0.39,0.62
72,Sepp,Straka,5,2,-0.4,277.4,71.40%,-2.09,61.10%,"22' 1""","85' 3""",-2.06,-0.34,66.70%,2,6,-4.89,-2.83,-2.49
