POS,PLAYER,THRU,R2,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
T57,Andrew Novak,-1,72,0.615,(26th),-1.909,(56th),-0.885,(55th),-1.752,(55th),-3.931,(T57)
T57,Matt McCarty,-1,70,-0.918,(54th),2.179,(13th),-1.422,(63rd),-3.77,(66th),-3.931,(T57)
T57,Gary Woodland,-1,70,0.137,(37th),2.127,(14th),-0.224,(40th),-5.971,(71st),-3.931,(T57)
T57,Nick Taylor,-1,71,-1.572,(66th),-1.961,(58th),-2.832,(69th),2.434,(13th),-3.931,(T57)
T62,Jacob Bridgeman,E,70,0.376,(33rd),-2.5,(64th),0.554,(29th),-3.361,(65th),-4.931,(T62)
T62,Jordan Spieth,E,69,-1.252,(56th),-0.511,(45th),-0.659,(46th),-2.509,(61st),-4.931,(T62)
T62,Mark Hubbard,E,71,-1.35,(59th),-1.512,(52nd),1.131,(22nd),-3.2,(63rd),-4.931,(T62)
T65,Sahith Theegala,1,67,-0.462,(48th),-2.418,(62nd),-0.842,(51st),-2.209,(57th),-5.931,(T65)
T65,Min Woo Lee,1,73,-1.469,(63rd),-1.357,(50th),0.225,(33rd),-3.33,(64th),-5.931,(T65)
T65,Jake Knapp,1,67,-3.071,(71st),-2.743,(66th),-0.483,(43rd),0.366,(28th),-5.931,(T65)
T68,Adam Scott,2,71,-1.455,(62nd),0.184,(35th),-2.667,(68th),-2.993,(62nd),-6.931,(T68)
T68,Ryan Fox,2,71,-4.95,(72nd),0.494,(31st),-3.25,(70th),0.775,(21st),-6.931,(T68)
70,Cameron Young,3,71,0.662,(25th),-1.922,(57th),-1.035,(59th),-5.636,(70th),-7.931,(70th)
71,Lucas Glover,4,69,1.183,(15th),-1.434,(51st),-2.605,(67th),-6.075,(72nd),-8.931,(71st)
72,Sepp Straka,5,72,-0.373,(46th),-4.214,(72nd),-1.448,(64th),-3.896,(67th),-9.931,(72nd)
