position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
T26,"Gerard, Ryan",AN,-6,18,1,1.1725,304.3,0.7115374999999999,-0.67,0.6527775,37.90342653061224,51.165245454545456,0.385,0.33000000000000007,0.714286,4,3.75,1.2225,0.8374999999999999,0.5075000000000001
T26,"Armitage, Marcus",AN,-6,18,2,-0.047499999999999994,294.7,0.51923,0.00500000000000006,0.72222,37.521307692307694,54.47557857142857,1.3050000000000002,-0.04249999999999998,0.7037025925925926,5,4,1.2225000000000001,-0.08500000000000002,-0.040000000000000036
T30,"Sullivan, Andy",AN,-5,18,0,0.21250000000000002,291.575,0.5384625000000001,-1.2674999999999998,0.6249975,36.60547755102041,54.43068888888889,1.595,0.42999999999999994,0.666666,3,2.75,0.9725,-0.625,-1.055
T30,"Fox, Ryan",AN,-5,18,0,0.5625,305.45,0.5000025,0.3225,0.6666675,35.91177254901961,57.164212500000005,-0.42750000000000005,0.5175,0.606060303030303,4.75,3.25,0.9725000000000001,1.3975,0.8825000000000002
T30,"Eckroat, Austin",AN,-5,18,0,-1.2275,291.05,0.4230775,1.3775000000000002,0.75,30.324097826086955,51.89543333333334,0.9575,-0.135,0.6400012,3.75,3.25,0.9725000000000001,0.012500000000000053,0.14749999999999996
T30,"McKibbin, Tom",AN,-5,18,0,0.3650000000000001,298.175,0.5384599999999999,1.0150000000000001,0.7083325,32.90223396226415,78.74159999999999,-0.3175,-0.0925,0.5999996,3.25,2.25,0.9725,1.29,1.3824999999999998
T30,"Vilips, Karl",AN,-5,18,3,0.38249999999999995,300.325,0.5576925,0.4749999999999999,0.7083325,34.215894545454546,100.21262727272726,0.08250000000000002,0.03250000000000003,0.5517227586206896,4.5,4,0.9725,0.8875000000000001,0.8575000000000002
T30,"Meissner, Mac",AN,-5,18,3,-0.2025,289.80943396226417,0.6346125,0.67,0.6666675,33.8809649122807,52.42309999999999,0.23749999999999993,0.265,0.5806477419354839,3.75,3.5,0.9725000000000003,0.7300000000000001,0.4675
T36,"Norris, Shaun",AN,-4,18,-3,-0.19000000000000006,291.575,0.5384625000000001,-0.31,0.65278,41.47332222222222,64.80692857142857,1.42,-0.20250000000000004,0.6333353333333334,3.25,3.25,0.7225,-0.7025000000000001,-0.5
T36,"Harman, Brian",AN,-4,18,-2,-0.9275,288.15,0.48077000000000003,0.71,0.6805574999999999,33.49297192982456,95.14280714285714,0.9475,-0.0050000000000000044,0.6956513043478261,3.75,4.5,0.7225,-0.2275,-0.21749999999999992
T36,"Hojgaard, Rasmus",AN,-4,18,-2,0.395,310.95000000000005,0.4230775,-0.5625,0.63889,40.98176590909091,40.23970526315789,1.3775,-0.48749999999999993,0.5294141176470588,6.25,4.5,0.7224999999999999,-0.6575,-0.16749999999999998
T36,"Greyserman, Max",AN,-4,18,-1,0.8600000000000001,308,0.5000025,-0.9850000000000001,0.6666650000000001,36.19661851851852,72.44533636363636,0.11500000000000002,0.7349999999999999,0.6176473529411765,4,3,0.7224999999999999,0.605,-0.12999999999999998
T36,"Echavarria, Nico",AN,-4,18,-1,0.08000000000000007,295.25,0.5769225,0.47750000000000004,0.6944425,36.81281272727273,59.50045,0.27749999999999997,-0.11500000000000005,0.5384619230769231,3.25,3.5,0.7225,0.4425,0.5574999999999999
T36,"Rahm, Jon",AN,-4,18,0,1.1275,311.75,0.5,-0.5925,0.5972225,33.915538,58.34696666666666,0.23750000000000004,-0.04749999999999999,0.5526326315789474,4.75,4.5,0.7225,0.485,0.53
T36,"Lindell, Oliver",AN,-4,18,2,-0.19750000000000004,293.525,0.4807675,1.4125,0.8194425,28.818373469387755,69.51213076923077,-0.56,0.0625,0.5909090909090908,2.75,3.25,0.7225,1.2799999999999998,1.215
T36,"Neergaard-Petersen, Rasmus",AN,-4,18,5,0.31,301.1,0.5769225,-0.125,0.680555,35.0527625,97.19494545454546,1.225,-0.69,0.5357135714285715,5.25,4.25,0.7224999999999999,-0.505,0.18750000000000006
T44,"Kitayama, Kurt",AN,-3,18,-2,-0.065,299.7,0.403845,-1.155,0.625,38.100034782608695,85.7765947368421,1.2325,0.455,0.5675667567567568,5.5,3.75,0.4725000000000001,-0.765,-1.2174999999999998
T44,"Castillo, Ricky",AN,-3,18,1,0.275,298.05,0.5192300000000001,-0.565,0.6666700000000001,34.65224107142857,71.36383333333333,0.38250000000000006,0.37749999999999995,0.6129038709677419,4.25,3.25,0.47250000000000003,0.08999999999999989,-0.2875000000000001
T44,"Van Driel, Darius",AN,-3,18,2,-0.9324999999999999,288.225,0.5384625000000001,0.4625000000000001,0.694445,32.57658545454545,66.17523636363636,0.7800000000000001,0.15999999999999998,0.6363636363636364,3,3.75,0.47250000000000003,-0.31000000000000005,-0.4724999999999999
T44,"Hill, Calum",AN,-3,18,2,-0.43,297.675,0.4423075,0.014999999999999975,0.6666675,35.22757843137255,65.08432941176471,0.71,0.18,0.6551713793103449,3.5,4,0.47250000000000003,-0.24000000000000002,-0.42
T44,"Lindberg, Mikael",AN,-3,18,2,0.52,305.525,0.5,-0.5700000000000001,0.694445,38.82818245614035,71.73675714285714,0.7999999999999999,-0.2775,0.5483867741935484,4.75,5,0.47250000000000003,-0.3275,-0.05249999999999996
T44,"Spaun, J.J.",AN,-3,18,2,-0.19000000000000003,297.175,0.5,0.6975,0.7499975,29.138235849056603,73.73987142857143,0.1825,-0.21499999999999997,0.5833358333333334,2.5,3.25,0.47250000000000003,0.2899999999999999,0.505
T50,"Canter, Laurie",AN,-2,18,1,-0.00749999999999993,295.7,0.596155,0.8575,0.7083325,33.44801754385965,58.50568333333332,-0.805,0.17499999999999993,0.5172406896551724,4.25,5,0.22249999999999995,1.0250000000000001,0.85
T50,"Thomas, Justin",AN,-2,18,3,0.37500000000000006,296.75,0.634615,-1.0825,0.6527775,38.85367735849057,66.15055384615385,0.54,0.38999999999999996,0.6666653333333333,4,3,0.22250000000000014,-0.3175,-0.7075
T52,"Chacarra, Eugenio",AN,-1,18,-2,0.024999999999999994,296.225,0.5,1.27,0.73611,31.067334042553192,64.82331111111111,-1.0475,-0.2775,0.5199976,3.75,4.75,-0.02749999999999997,1.02,1.2974999999999999
T52,"Brennan, Michael",AN,-1,18,0,0.3875,307.15,0.4038475,0.6074999999999999,0.73611,34.42744705882353,46.15937692307693,-1.1675,0.14749999999999996,0.533332,4.25,6.25,-0.02749999999999999,1.1375000000000002,0.9924999999999999
T52,"Conners, Corey",AN,-1,18,1,-0.12749999999999995,295.42499999999995,0.46153750000000004,0.2750000000000001,0.7361125000000001,37.46526458333334,42.33358333333334,0.06000000000000001,-0.23500000000000001,0.41666749999999997,3,2.75,-0.027500000000000052,-0.08750000000000008,0.14500000000000002
T52,"Putnam, Andrew",AN,-1,18,3,-0.6725,278.325,0.596155,0.9249999999999999,0.75,36.55476111111111,68.93713333333334,0.19750000000000004,-0.47750000000000004,0.5238095238095237,4.5,3.5,-0.02749999999999997,-0.22750000000000004,0.25
T52,"Von Dellingshausen, Nicolai",AN,-1,18,4,0.14249999999999996,297.125,0.5384625,0.5925,0.75,33.51223396226415,48.08149230769231,-0.71,-0.05499999999999999,0.5000012500000001,4.25,3.25,-0.02749999999999997,0.6800000000000002,0.7325
T52,"Svensson, Jesper",AN,-1,18,4,0.665,306.25,0.5,0.07499999999999996,0.75,35.452921153846155,43.19482307692308,-0.4475,-0.325,0.5384619230769231,5,5,-0.02749999999999997,0.42,0.7375
T52,"Yellamaraju, Sudarshan",AN,-1,18,7,-0.32999999999999996,299,0.48077000000000003,0.20999999999999996,0.7777775,32.25015283018868,47.953066666666665,0.2975000000000001,-0.2025,0.5500020000000001,4.5,4.25,-0.02750000000000008,-0.32499999999999996,-0.12499999999999989
T59,"Kruyswijk, Jacques",AN,0,18,3,-0.5075000000000001,292.5,0.4807725,-0.2825000000000001,0.6250025,34.95070892857143,60.74683636363636,0.2525000000000001,0.255,0.6071449999999999,3.5,4.5,-0.2775,-0.5325,-0.785
T59,"Migliozzi, Guido",AN,0,18,5,-0.07250000000000001,293.075,0.5576925,-0.575,0.6111125000000001,35.613446153846155,65.96195454545455,0.7125000000000001,-0.3449999999999999,0.5555555555555556,4.25,3.5,-0.2775000000000001,-0.9925,-0.6475
T61,"Du Plessis, Hennie",AN,1,18,0,0.3025,298.125,0.5961525000000001,-0.71,0.5833349999999999,37.370543749999996,48.684349999999995,-0.9824999999999999,0.855,0.6052618421052631,3.5,5.75,-0.5274999999999999,0.45499999999999996,-0.40499999999999986
T61,"Katsuragawa, Yuto",AN,1,18,0,-0.225,295,0.4807675,-0.995,0.6527775,40.16727547169811,76.930375,0.26749999999999996,0.42500000000000004,0.6666657575757575,3,3,-0.5274999999999999,-0.795,-1.22
T61,"Novak, Andrew",AN,1,18,1,0.575,300.175,0.55769,0.30000000000000004,0.7361125,33.26241568627451,55.349107142857136,-1.6675,0.2625,0.5555555555555556,3.75,5.25,-0.5275,1.1349999999999998,0.87
T61,"Saddier, Adrien",AN,1,18,1,0.19999999999999996,298.275,0.5,0.15250000000000002,0.65278,38.745832692307694,54.693415384615385,-0.88,-0.0075000000000000205,0.437498125,3.75,3.5,-0.5274999999999999,0.3475,0.355
T61,"Kirk, Chris",AN,1,18,5,-0.625,296.12264150943395,0.4038475,1.155,0.73611,33.40139215686274,52.536316666666664,-0.695,-0.3675,0.5185185185185185,2.25,4,-0.5275,0.16249999999999998,0.5299999999999999
T66,"Scott, Adam",AN,2,18,-1,-0.37,298.82500000000005,0.4230775,-0.85,0.625,37.225979629629634,75.67295999999999,0.20500000000000002,0.2375,0.6296318518518518,4,4.5,-0.7775,-0.9825,-1.2225
T66,"Theegala, Sahith",AN,2,18,1,0.28250000000000003,300.175,0.5576925,-0.0025000000000001132,0.6527775,35.188462,70.22621818181818,0.2449999999999999,-1.3050000000000002,0.5000005555555556,4,4.75,-0.7774999999999999,-1.0250000000000001,0.27499999999999997
68,"Elvira Mijares, Ignacio",AN,3,18,3,-0.2525,288.95,0.653845,-0.11249999999999995,0.72222,35.43650892857143,57.93569166666666,-0.385,-0.2775,0.5909104545454545,2.75,2.5,-1.0274999999999999,-0.6475000000000001,-0.36500000000000005
69,"Riley, Davis",AN,4,18,1,-0.9025,297.725,0.4423075,-0.2875,0.6111125000000001,32.71864897959184,87.20584705882352,0.5925,-0.6825,0.5294108823529412,4.5,5,-1.2775,-1.87,-1.1875
70,"Cole, Eric",AN,6,18,-1,-0.47750000000000004,300.01698113207544,0.46154,-1.7675,0.6388900000000001,41.69578837209303,66.80796000000001,0.1875,0.27749999999999997,0.5588238235294117,2,4.75,-1.7775000000000003,-1.9675,-2.245
71,"Jamieson, Scott",AN,8,18,4,-0.6000000000000001,293.325,0.5769225,-1.8075,0.555555,44.1054923076923,75.7306857142857,-0.22250000000000003,0.35,0.6111119444444445,2,6.25,-2.2775,-2.0575,-2.4050000000000002
CUT,"Puig, David",AN,-1,null,null,-0.39,307.4,0.46154,-0.37,0.58333,33.3508,51.96622,-0.3699999999999999,1.4300000000000002,0.7647035294117648,3,5.5,0.29499999999999993,0.665,-0.7650000000000001
CUT,"Bradbury, Dan",AN,-1,null,null,-1.2599999999999998,295.25,0.346155,1.145,0.58333,36.50844827586207,64.7732,-0.5,0.9,0.6250024999999999,5,5.5,0.29500000000000004,0.79,-0.11
CUT,"English, Harris",AN,-1,null,null,-0.08499999999999996,299.1,0.46154,1.195,0.75,29.962230769230768,37.60127142857143,-1.48,0.6599999999999999,0.700002,1,4,0.29500000000000004,1.77,1.11
CUT,"Straka, Sepp",AN,-1,null,null,0.78,296.15,0.692305,0.1499999999999999,0.694445,39.09813846153846,53.2604375,-0.32499999999999996,-0.31,0.5999979999999999,4.5,4,0.295,0.6150000000000001,0.9299999999999999
CUT,"Schaper, Jayden",AN,-1,null,null,-0.045,287.8,0.5769200000000001,0.9,0.63889,33.739626666666666,105.952675,0.15000000000000002,-0.71,0.5714271428571428,2.5,2.5,0.29500000000000004,0.13999999999999999,0.8500000000000001
CUT,"Rozner, Antoine",AN,-1,null,null,1.165,307.70000000000005,0.5,0.72,0.6666700000000001,38.100256,44.35308571428572,-0.9549999999999998,-0.6300000000000001,0.562503125,5,5,0.295,1.25,1.8800000000000001
CUT,"Aberg, Ludvig",AN,-1,null,null,0.505,306.5,0.46154,0.34,0.805555,38.656464,40.6090125,-0.53,-0.015000000000000013,0.5833349999999999,4.5,2.5,0.29500000000000004,0.8250000000000001,0.8350000000000001
CUT,"Bauchou, Zach",AN,-1,null,null,-0.73,295.25,0.42308,0.7799999999999999,0.61111,34.42626,56.296499999999995,0.2400000000000002,-0.004999999999999949,0.7333326666666666,2.5,4.5,0.29500000000000015,0.04999999999999993,0.05500000000000016
CUT,"Penge, Marco",AN,-1,null,null,0.7,306.15,0.653845,-2.165,0.6111150000000001,37.94596923076923,92.17750000000001,0.8,0.96,0.6470605882352941,4.5,5,0.295,-0.51,-1.4649999999999999
CUT,"McCarty, Matt",AN,-1,null,null,-0.39999999999999997,292.1,0.576925,-1.535,0.6111150000000001,40.40548,82.67435714285715,1.13,1.095,0.6875,2,5,0.29500000000000015,-0.845,-1.93
