player_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P073,LAGERGREN,JOAKIM,DP World Tour,FULL,False,-0.121,-0.06,-0.29,-0.21,0.27,-0.56,-0.5,-0.04,NEUTRAL,STRONG,16.0,54.0,0.2,0.0,0.13
P155,YELLAMARAJU,SUDARSHAN,PGA Tour,FULL,True,0.2315,0.46,0.17,-0.04,0.28,0.59,0.35,0.09,NEUTRAL,NONE,0.0,,0.01,-0.025,-0.02
P058,JARVIS,CASEY,DP World Tour,FULL,True,-0.07200000000000001,-0.04,0.1,-0.43,-0.06,-0.37,-0.26,-0.29,NEUTRAL,NONE,0.0,,-0.12,0.021,-0.09
P112,PUTNAM,ANDREW,PGA Tour,FULL,False,0.03550000000000001,-0.59,0.26,0.42,0.25,0.08,0.3,0.09,NEUTRAL,MODERATE,12.0,42.0,-0.41,-0.001,-0.18
P004,BRADBURY,DAN,DP World Tour,FULL,False,0.142,0.21,0.65,-0.48,-0.35,0.38,-0.74,-0.49,COOL,MODERATE,8.0,75.0,-0.08,0.0,-0.1
P060,KANEKO,KOTA,DP World Tour,FULL,True,0.203,-0.34,0.22,-0.02,0.52,-0.14,0.66,0.77,WARM,NONE,0.0,,-0.33,0.0,-0.17
P046,HILL,CALUM,DP World Tour,FULL,False,-0.137,-0.45,-0.34,-0.03,0.82,-0.81,0.26,0.37,WARM,MODERATE,19.0,25.0,-0.01,0.0,0.03
P075,LAWRENCE,THRISTON,DP World Tour,FULL,False,-0.2325,0.13,0.08,-0.23,-0.49,-0.03,-1.37,-0.9,COLD,MODERATE,10.0,24.0,0.0,0.05,-0.02
P089,MCKIBBIN,TOM,LIV Golf,FULL,False,-0.025499999999999995,0.45,-0.07,0.03,-0.24,0.41,-0.2,-0.53,COOL,THIN,6.0,35.0,-0.06,-0.012,-0.1
P056,IM,SUNGJAE,PGA Tour,FULL,False,-0.017499999999999988,0.26,-0.58,0.47,0.09,0.16,0.02,-0.15,NEUTRAL,MODERATE,10.0,4.0,-0.09,-0.068,-0.04
P094,MOORE,TAYLOR,PGA Tour,FULL,False,-0.026,0.24,-0.44,0.22,0.08,0.02,0.35,0.36,WARM,THIN,4.0,,0.1,-0.047,0.07
P008,CANTER,LAURIE,LIV Golf,FULL,False,1.3877787807814457e-17,0.45,-0.04,-0.32,-0.38,0.09,-0.26,0.13,NEUTRAL,MODERATE,12.0,34.0,-0.04,0.011,-0.1
P159,DAHMEN,JOEL,PGA Tour,DEBUT,True,-0.10757236842105267,,,,,,-0.93,-0.72,COOL,NONE,,,0.0,-0.018,0.0
P006,BROWN,DAN,PGA Tour,FULL,False,-0.006000000000000033,0.12,0.43,-0.19,-0.07,0.36,-0.54,-0.72,COOL,MODERATE,8.0,60.0,-0.07,-0.011,-0.05
P063,KIM,BAEKJUN,DP World Tour,FULL,True,0.126,0.67,1.39,-1.24,-0.09,0.82,-3.77,-1.8,COLD,NONE,0.0,,0.26,0.0,0.08
