event_name,course_name,player_name,dg_id,player_num,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Svensson, Jesper",26850,57586,12:30 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Taylor, Nick",13126,25493,11:35 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Theegala, Sahith",23014,51634,11:05 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Thomas, Justin",14139,33448,11:45 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Thorbjornsen, Michael",26649,57364,12:40 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Truslow, Austen",18239,45733,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Uihlein, Peter",11357,29484,9:50 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Valimaki, Sami",23816,52666,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Vincent, Scott",14559,34126,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Wallace, Matt",20706,48887,3:20 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Wiedemeyer, Tim",29973,63475,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Wiesberger, Bernd",9531,29454,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Woodland, Gary",12577,31323,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Yang, Jiho",14419,70939,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Yonezawa, Ren",25739,56100,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Young, Cameron",26651,57366,3:40 PM,late,1,null,null,null,3
