POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
,Ben,Martin,E,-0.19,296.4,64.30%,0.17,69.40%,"29' 11""","38' 2""",-1.91,0.51,57.10%,4.5,4.5,-1.42,0.49,-0.03
,Justin,Lower,E,0.34,297.2,64.30%,-0.38,58.30%,"31' 5""","45' 7""",-0.9,-0.48,68.40%,3,2.5,-1.42,-0.52,-0.04
,Martin,Laird,E,0.11,294.4,67.90%,-0.88,80.60%,"33' 3""","22' 5""",-1.04,0.4,55.60%,1.5,4.5,-1.42,-0.38,-0.78
,Matthieu,Pavon,E,0.56,300.9,67.90%,-1.7,75.00%,"39' 4""","53' 3""",-0.67,0.39,46.20%,3,4,-1.42,-0.76,-1.15
,Robert,Streb,E,-1.56,288.1,35.70%,0.26,66.70%,"30' 1""","47' 5""",-0.95,0.84,46.70%,3.5,4,-1.42,-0.47,-1.3
,Brian,Campbell,E,-0.79,286.7,67.90%,-1.28,61.10%,"32' 10""","36' 1""",-0.05,0.7,70.60%,2.5,4,-1.42,-1.38,-2.07
,Kevin,Roy,E,0.89,303.4,75.00%,-0.17,69.40%,"35' 0""","32' 1""",-1.21,-0.93,60.00%,2.5,5.5,-1.42,-0.21,0.72
,Vince,Whaley,E,-1.96,297,46.40%,-1.4,63.90%,"36' 2""","42' 2""",1.6,0.34,64.70%,2.5,6.5,-1.42,-3.02,-3.36
,Marcelo,Rozo,E,0.25,291.5,67.90%,-1.45,63.90%,"29' 11""","83' 7""",0.75,-0.97,46.20%,3,3,-1.42,-2.17,-1.2
,Patton,Kizzire,1,-0.81,292.4,53.60%,-1.99,55.60%,"37' 5""","65' 1""",0.6,0.29,50.00%,2.5,6,-1.92,-2.51,-2.81
,Andrew,Novak,1,0.18,305.2,53.60%,-1.25,63.90%,"32' 2""","45' 1""",-1.56,0.72,60.00%,5,4.5,-1.92,-0.36,-1.08
,Noah,Goodwin,1,0.92,297.8,75.00%,-2.01,63.90%,"37' 0""","58' 7""",-1.18,0.36,62.50%,2.5,4.5,-1.92,-0.74,-1.1
,Taylor,Pendrith,1,-1.27,305.8,39.30%,-0.59,52.80%,"32' 1""","53' 7""",-1.11,1.06,55.60%,3.5,5,-1.92,-0.8,-1.85
,Jackson,Koivun,1,0.3,301.3,60.70%,-0.43,66.70%,"26' 2""","80' 1""",-1.62,-0.16,37.50%,2.5,5,-1.92,-0.3,-0.14
,Kris,Ventura,1,0.62,304,64.30%,-2.58,61.10%,"39' 3""","42' 7""",0.25,-0.2,70.00%,2,4.5,-1.92,-2.17,-1.97
,Ben,Silverman,2,0.44,293.6,75.00%,-0.6,69.40%,"31' 11""","68' 1""",-1.5,-0.75,57.10%,1.5,5.5,-2.42,-0.92,-0.17
,Adam,Schenk,2,-1,291.5,53.60%,-0.58,66.70%,"29' 11""","33' 10""",-1.76,0.93,68.80%,3,5,-2.42,-0.66,-1.59
,Adam,Hadwin,2,0.45,292.6,78.60%,-1.72,69.40%,"39' 8""","48' 10""",-1.34,0.19,53.30%,2,5.5,-2.42,-1.08,-1.27
,John,VanDerLaan,2,-0.27,296.6,57.10%,-0.82,69.40%,"27' 11""","119' 2""",-1.79,0.45,53.30%,2,4.5,-2.42,-0.63,-1.08
,Cameron,Champ,2,-0.21,307.9,53.60%,-2.24,66.70%,"39' 9""","36' 0""",-0.14,0.16,58.80%,2.5,6,-2.42,-2.29,-2.45
,Alejandro,Tosti,2,-0.19,306.3,46.40%,-2.08,58.30%,"33' 11""","58' 5""",0.42,-0.59,60.00%,4,5.5,-2.42,-2.85,-2.26
,Augusto,Nunez,2,1.43,313.9,64.30%,-0.83,69.40%,"33' 9""","52' 8""",-1.83,-1.18,50.00%,3,5,-2.42,-0.59,0.6
,Luke,List,2,-0.12,302.1,42.90%,-0.6,63.90%,"35' 3""","38' 11""",-0.93,-0.77,52.90%,3.5,4.5,-2.42,-1.49,-0.73
,Chad,Ramey,4,-0.71,298.4,50.00%,-1.58,58.30%,"31' 11""","41' 1""",-0.56,-0.57,52.40%,3.5,5.5,-3.42,-2.86,-2.29
,Thorbjorn,Olesen,4,-0.33,296.5,64.30%,0.07,75.00%,"32' 5""","59' 6""",-3.41,0.25,43.70%,2.5,6,-3.42,0,-0.25
,S.Y.,Noh,4,0.11,296.6,71.40%,-0.94,72.20%,"37' 8""","54' 1""",-3.01,0.41,41.70%,1,3.5,-3.42,-0.41,-0.82
,Mason,Howell,5,-0.47,302.6,57.10%,-2.63,69.40%,"36' 3""","67' 9""",-0.94,0.12,46.70%,2,7,-3.92,-2.98,-3.1
,Chandler,Blanchet,5,-1.5,296.4,53.60%,0.3,66.70%,"23' 4""","81' 11""",-1.58,-1.12,50.00%,3,7,-3.92,-2.33,-1.22
,Jeremy,Paul,7,-0.14,301.1,46.40%,-4.29,47.20%,"40' 11""","89' 10""",0.24,-0.73,55.00%,2,3.5,-4.92,-5.16,-4.42
,Christo,Lamprecht,7,-0.35,315,53.60%,-2.32,44.40%,"41' 0""","34' 0""",-1.01,-1.24,52.20%,2.5,7,-4.92,-3.9,-2.67
,Danny,Walker,11,-0.42,309.1,42.90%,-2.31,52.80%,"32' 11""","62' 5""",-2.13,-2.06,44.00%,2.5,8.5,-6.92,-4.78,-2.73
,Darin,Fisher,14,-0.2,286.4,67.90%,-1.73,75.00%,"34' 5""","43' 10""",-4.99,-1.51,21.40%,1.5,8,-8.42,-3.44,-1.92
,Seamus,Power,,-4.16,289.7,35.70%,-1.42,55.60%,"24' 0""","110' 1""",-0.97,-0.65,57.10%,3,8,-7.2,-6.23,-5.58
