player_name,player_display,vts_rank,vts_tier,vts_final_raw,neutralskill_sg,vfd,vhd,vhd_rounds,anti_pattern_flags,anti_pattern_penalty_total,debut_flag,debut_class,debut_penalty_applied,win_pct_projected,top10_pct_projected,makecut_pct_projected,actual_pos,actual_total,actual_r1,actual_r2,actual_r3,actual_r4,actual_total_strokes,made_cut,sg_ott,sg_ott_rank,sg_approach,sg_approach_rank,sg_atg,sg_atg_rank,sg_putting,sg_putting_rank,sg_total,sg_total_rank,miss_type,accountability_verdict,lb_match_score,sg_match_score
Sudarshan Yellamaraju,"Yellamaraju, Sudarshan",20,2,70.57,0.18,-3.20,0.000,0,rough_approach_liab,-1.105,True,B,-1.75,1.45%,61.3%,91.2%,CUT,-2,70,70,-,-,140,N,,-,,-,,,,,,,CRITICAL MISS — high makecut proj / thin VHD,JUSTIFIED MISS,100.0,100.0
Tony Finau,"Finau, Tony",21,2,70.03,0.01,-10.63,-0.029,2,bomb_and_spray,-1.063,False,,0.0,1.21%,49.1%,74.1%,T58,-7,70,68,68,71,277,Y,3.36,3rd,-3.529,74th,-4.289,78th,4.367,12th,-0.09,T58,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Jordan Spieth,"Spieth, Jordan",22,2,69.64,0.77,-16.28,1.991,20,bomb_and_spray,-1.243,False,,0.0,1.18%,48.3%,73.8%,T58,-7,70,69,69,69,277,Y,-0.95,56th,2.255,32nd,-4.988,79th,3.592,19th,-0.09,T58,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Max Greyserman,"Greyserman, Max",23,2,69.58,0.33,-14.48,0.008,4,bomb_and_spray,-1.093,False,,0.0,1.18%,48.2%,73.7%,CUT,-2,71,69,-,-,140,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Taylor Pendrith,"Pendrith, Taylor",24,2,69.42,0.36,-11.98,0.000,0,bomb_and_spray,-1.370,True,B,-1.75,1.34%,58.5%,89.9%,CUT,1,68,75,-,-,143,N,,-,,-,,,,,,,CRITICAL MISS — high makecut proj / thin VHD,JUSTIFIED MISS,100.0,100.0
Michael Brennan,"Brennan, Michael",25,2,69.40,0.4,-11.28,0.000,0,rough_approach_liab,-1.389,True,B,-1.75,1.34%,58.5%,89.9%,T33,-11,66,68,72,67,273,Y,2.968,8th,4.44,13th,-2.949,75th,-0.55,58th,3.91,T33,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Keith Mitchell,"Mitchell, Keith",26,2,68.89,0.66,-14.79,0.850,18,bomb_and_spray; rough_approach_liab,-2.626,False,,0.0,1.13%,46.8%,73.1%,T51,-8,73,66,69,68,276,Y,1.138,31st,-1.613,67th,0.93,30th,0.454,49th,0.91,T51,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Andrew Putnam,"Putnam, Andrew",27,2,68.57,0.28,-4.69,-3.626,14,,0.000,False,,0.0,1.10%,46.1%,72.8%,T51,-8,67,68,67,74,276,Y,-5.543,79th,2.956,26th,-1.289,65th,4.785,9th,0.91,T51,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Paul Peterson,"Peterson, Paul",28,2,68.11,-0.41,3.34,-0.016,2,,0.000,False,,0.0,1.07%,45.2%,72.3%,CUT,-1,72,69,-,-,141,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Austin Eckroat,"Eckroat, Austin",29,2,67.37,0.06,-3.00,0.024,4,rough_approach_liab,-1.371,False,,0.0,1.02%,43.7%,71.6%,T58,-7,71,67,69,70,277,Y,-2.792,75th,3.29,22nd,-2.116,71st,1.527,41st,-0.09,T58,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Doug Ghim,"Ghim, Doug",30,2,67.37,0.38,-8.04,-0.322,19,poor_birdie_conv,-1.822,False,,0.0,1.02%,43.7%,71.6%,T6,-17,69,65,65,68,267,Y,2.126,17th,2.323,30th,1.201,25th,4.259,14th,9.91,T6,,HIT,100.0,100.0
Davis Thompson,"Thompson, Davis",31,2,67.11,0.39,-10.91,3.882,12,poor_birdie_conv,-1.609,False,,0.0,1.00%,43.2%,71.3%,T26,-12,69,69,66,68,272,Y,3.141,6th,3.518,19th,-0.503,51st,-1.247,62nd,4.91,T26,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
William Mouw,"Mouw, William",32,2,67.11,0.34,-9.17,3.707,6,rough_approach_liab,-1.150,False,,0.0,1.00%,43.2%,71.3%,T26,-12,66,68,68,70,272,Y,0.926,33rd,5.079,10th,-0.145,46th,-0.951,61st,4.91,T26,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Andrew Novak,"Novak, Andrew",33,2,67.08,0.3,-10.23,2.917,12,poor_birdie_conv,-1.596,False,,0.0,1.00%,43.1%,71.3%,CUT,1,72,71,-,-,143,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Thorbjorn Olesen,"Olesen, Thorbjorn",34,2,67.06,0.38,-10.98,-3.235,6,,0.000,False,,0.0,1.00%,43.1%,71.2%,CUT,4,75,71,-,-,146,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,93.75,93.75
Haotong Li,"Li, Haotong",35,2,66.82,0.14,-5.58,0.000,0,rough_approach_liab,-1.265,True,B,-1.75,1.13%,52.1%,86.8%,CUT,-1,67,74,-,-,141,N,,-,,-,,,,,,,CRITICAL MISS — high makecut proj / thin VHD,JUSTIFIED MISS,100.0,100.0
Emiliano Grillo,"Grillo, Emiliano",36,2,66.61,0.04,-2.83,3.719,10,rough_approach_liab,-1.167,False,,0.0,0.97%,42.2%,70.8%,T26,-12,70,66,67,69,272,Y,-1.114,58th,-0.396,59th,-0.557,53rd,6.976,3rd,4.91,T26,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Takumi Kanaya,"Kanaya, Takumi",37,2,66.46,0.05,-8.19,-0.024,2,wedge_liability,-2.459,False,,0.0,0.96%,41.9%,70.6%,CUT,-2,70,70,-,-,140,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Matt Kuchar,"Kuchar, Matt",38,2,66.43,0.10250000000000001,-6.16,-0.237,22,,0.000,False,,0.0,1.03%,46.5%,78.4%,T15,-14,72,66,65,67,270,Y,-1.25,60th,-0.298,58th,3.574,4th,4.883,8th,6.91,T15,,PARTIAL HIT,100.0,100.0
David Lipsky,"Lipsky, David",39,2,66.20,0.07,-4.45,2.435,14,,0.000,False,,0.0,0.94%,41.4%,70.3%,T21,-13,67,65,71,68,271,Y,-0.322,48th,-0.079,53rd,2.237,11th,4.073,16th,5.91,T21,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Aldrich Potgieter,"Potgieter, Aldrich",40,2,66.14,0.08,-9.43,-0.052,3,bomb_and_spray; rough_approach_liab,-2.864,False,,0.0,0.94%,41.2%,70.3%,CUT,E,74,68,-,-,142,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Adrien Dumont De Chassart,"Dumont De Chassart, Adrien",41,2,65.70,0.11,-10.83,-0.012,4,bomb_and_spray,-1.020,False,,0.0,0.91%,40.4%,69.8%,T51,-8,72,67,71,66,276,Y,-1.768,67th,-1.389,65th,1.956,15th,2.11,32nd,0.91,T51,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Zach Johnson,"Johnson, Zach",42,2,65.69,-0.1375,-1.69,2.135,82,,0.000,False,,0.0,0.98%,44.8%,77.5%,T9,-16,64,70,66,68,268,Y,0.149,40th,3.042,25th,1.502,20th,4.216,15th,8.91,T9,,HIT,100.0,100.0
Daniel Berger,"Berger, Daniel",43,3,64.88,0.42,-6.55,0.016,14,poor_birdie_conv; rough_approach_liab,-3.072,False,,0.0,0.86%,38.7%,68.9%,CUT,-2,68,72,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Lanto Griffin,"Griffin, Lanto",44,3,64.53,-0.14,-4.47,-0.986,14,,0.000,False,,0.0,0.84%,38.0%,68.5%,T39,-10,67,72,69,66,274,Y,-0.1,42nd,4.749,11th,-0.88,58th,-0.86,60th,2.91,T39,,N/A,100.0,100.0
Pierceson Coody,"Coody, Pierceson",45,3,64.18,0.43,-10.55,-2.812,6,bomb_and_spray; rough_approach_liab,-2.767,False,,0.0,0.82%,37.3%,68.1%,T39,-10,69,68,67,70,274,Y,1.186,30th,3.418,21st,1.222,24th,-2.917,70th,2.91,T39,,N/A,100.0,100.0
Kevin Yu,"Yu, Kevin",46,3,64.17,0.06,-7.55,3.138,12,poor_birdie_conv,-1.589,False,,0.0,0.82%,37.3%,68.1%,T15,-14,66,72,66,66,270,Y,2.267,14th,2.105,35th,-1.025,61st,3.562,20th,6.91,T15,,N/A,100.0,100.0
Ben Kohles,"Kohles, Ben",47,3,64.13,0.03,3.98,-0.267,12,poor_birdie_conv; rough_approach_liab,-3.210,False,,0.0,0.82%,37.2%,68.0%,T3,-18,65,67,66,68,266,Y,1.978,18th,3.679,18th,2.895,7th,2.357,30th,10.91,T3,,N/A,100.0,100.0
Rico Hoey,"Hoey, Rico",48,3,64.07,0.34,-8.76,3.438,8,poor_birdie_conv; rough_approach_liab,-3.063,False,,0.0,0.81%,37.1%,67.9%,CUT,-2,68,72,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Karl Vilips,"Vilips, Karl",49,3,63.74,-0.46,-5.35,-0.030,2,,0.000,False,,0.0,0.80%,36.5%,67.6%,T39,-10,72,65,68,69,274,Y,-2.137,70th,1.741,38th,3.054,6th,0.251,51st,2.91,T39,,N/A,100.0,100.0
Max Mcgreevy,"Mcgreevy, Max",50,3,63.66,0.35,-9.19,-3.943,6,poor_birdie_conv,-1.728,False,,0.0,0.79%,36.3%,67.5%,T51,-8,71,68,69,68,276,Y,-2.444,71st,5.154,9th,-1.37,68th,-0.431,57th,0.91,T51,,N/A,100.0,100.0
Patrick Fishburn,"Fishburn, Patrick",51,3,63.59,-0.08,-3.92,1.974,6,bomb_and_spray,-1.127,False,,0.0,0.79%,36.2%,67.4%,T67,-4,65,71,71,73,280,Y,3.17,5th,-1.262,63rd,-0.478,49th,-4.521,75th,-3.09,T67,,N/A,100.0,100.0
S.Y. Noh,"Noh, S.Y.",52,3,62.76,-0.37,0.13,0.284,21,,0.000,False,,0.0,0.74%,34.6%,66.4%,CUT,4,74,72,-,-,146,N,,-,,-,,,,,,,,N/A,100.0,100.0
Lee Hodges,"Hodges, Lee",53,3,62.41,-0.06,-0.57,-0.867,12,rough_approach_liab,-1.221,False,,0.0,0.72%,33.9%,66.0%,T3,-18,64,66,67,69,266,Y,2.285,13th,-0.709,61st,0.405,37th,8.928,1st,10.91,T3,,N/A,100.0,100.0
Sungjae Im,"Im, Sungjae",54,3,62.27,0.22,-12.60,-0.909,14,wedge_liability,-2.396,False,,0.0,0.72%,33.6%,65.8%,T71,-3,68,69,68,76,281,Y,0.228,39th,-3.391,72nd,2.204,12th,-3.132,71st,-4.09,T71,,N/A,100.0,100.0
Webb Simpson,"Simpson, Webb",55,3,62.26,-0.16,-6.01,-0.903,12,,0.000,False,,0.0,0.77%,37.4%,73.1%,CUT,-2,70,70,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Blades Brown,"Brown, Blades",56,3,62.07,-0.04,-1.07,0.000,0,rough_approach_liab,-1.141,True,A,-4.0,0.81%,40.7%,80.1%,T12,-15,69,66,67,67,269,Y,3.32,4th,0.986,47th,0.988,29th,2.615,28th,7.91,T12,,N/A,100.0,100.0
Zecheng Dou,"Dou, Zecheng",57,3,61.93,0.05,-6.40,-5.618,6,bomb_and_spray,-1.000,False,,0.0,0.70%,33.0%,65.4%,T21,-13,67,69,68,67,271,Y,2.428,12th,3.806,15th,-1.322,67th,0.997,44th,5.91,T21,,N/A,100.0,100.0
Patrick Rodgers,"Rodgers, Patrick",58,3,61.80,0.1,-10.63,1.021,38,bomb_and_spray,-1.160,False,,0.0,0.69%,32.8%,65.2%,,,,,,,,N/A,,,,,,,,,,,,N/A,0,0
Johnny Keefer,"Keefer, Johnny",59,3,61.74,0.12,-6.55,0.000,0,bomb_and_spray; poor_birdie_conv; rough_approach_liab,-4.655,True,B,-1.75,0.79%,39.9%,79.6%,CUT,-2,71,69,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Chandler Blanchet,"Blanchet, Chandler",60,3,61.62,0.16,-8.41,0.000,0,poor_birdie_conv; rough_approach_liab,-3.209,True,B,-1.75,0.79%,39.6%,79.4%,CUT,5,70,77,-,-,147,N,,-,,-,,,,,,,,N/A,100.0,100.0
A.J. Ewart,"Ewart, A.J.",61,3,61.56,-0.17,-3.37,0.000,0,,0.000,True,A,-4.0,0.78%,39.5%,79.3%,T71,-3,67,72,70,72,281,Y,-1.672,66th,1.154,45th,0.729,31st,-4.302,74th,-4.09,T71,,N/A,100.0,100.0
Austin Smotherman,"Smotherman, Austin",62,3,61.53,0.01,1.83,-0.144,10,poor_birdie_conv; rough_approach_liab,-3.193,False,,0.0,0.68%,32.2%,64.8%,T58,-7,66,69,70,72,277,Y,2.814,10th,3.71,17th,-0.499,50th,-6.116,78th,-0.09,T58,,N/A,100.0,100.0
Carson Young,"Young, Carson",63,3,61.18,-0.36,-3.12,3.676,10,rough_approach_liab,-1.228,False,,0.0,0.66%,31.6%,64.4%,CUT,E,73,69,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Mark Hubbard,"Hubbard, Mark",64,3,61.10,-0.23,-2.67,1.808,28,poor_birdie_conv,-1.669,False,,0.0,0.66%,31.5%,64.3%,T46,-9,72,67,68,68,275,Y,1.543,23rd,-0.205,54th,-0.544,52nd,1.115,43rd,1.91,T46,,N/A,100.0,100.0
Zac Blair,"Blair, Zac",65,3,60.90,-0.01,-0.93,-0.040,20,poor_birdie_conv; rough_approach_liab,-2.858,False,,0.0,0.65%,31.1%,64.0%,T9,-16,63,68,67,70,268,Y,-2.117,69th,5.616,5th,0.051,43rd,5.359,6th,8.91,T9,,N/A,100.0,100.0
Seamus Power,"Power, Seamus",66,3,60.90,0.02,-8.27,2.889,28,wedge_liability,-2.167,False,,0.0,0.65%,31.1%,64.0%,WD,-,77,-,-,-,77,N,,-,,-,,,,,,,,N/A,100.0,100.0
Beau Hossler,"Hossler, Beau",67,3,60.85,0.12,-12.74,1.051,18,wedge_liability,-2.335,False,,0.0,0.65%,31.0%,64.0%,T39,-10,70,67,66,71,274,Y,2.624,11th,1.186,44th,-1.212,63rd,0.311,50th,2.91,T39,,N/A,100.0,100.0
Ryo Hisatsune,"Hisatsune, Ryo",68,3,60.65,0.12,-4.46,-2.477,8,poor_birdie_conv; rough_approach_liab,-2.842,False,,0.0,0.64%,30.6%,63.7%,T9,-16,67,65,69,67,268,Y,1.455,24th,2.479,29th,1.796,19th,3.179,23rd,8.91,T9,,N/A,100.0,100.0
Patrick Adler,"Adler, Patrick",69,3,59.90,-0.14400000000000002,-5.09,0.000,0,,0.000,True,A,-4.0,0.69%,35.8%,76.7%,CUT,-1,70,71,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Lucas Glover,"Glover, Lucas",70,3,59.79,-0.22,2.94,1.246,48,poor_birdie_conv,-1.887,False,,0.0,0.64%,32.3%,69.5%,T3,-18,63,65,69,69,266,Y,-0.27,47th,9.047,1st,2.012,14th,0.12,54th,10.91,T3,,N/A,100.0,100.0
Nick Dunlap,"Dunlap, Nick",71,3,59.54,-0.655,-2.52,4.434,6,,0.000,False,,0.0,0.63%,31.8%,69.2%,T33,-11,67,72,67,67,273,Y,-0.261,46th,-1.273,64th,0.674,32nd,4.769,11th,3.91,T33,,N/A,100.0,100.0
Kevin Roy,"Roy, Kevin",72,3,59.40,-0.01,-7.98,4.232,8,wedge_liability,-2.264,False,,0.0,0.58%,28.4%,62.1%,CUT,E,69,73,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Chan Kim,"Kim, Chan",73,3,59.30,-0.45,-0.37,0.943,6,poor_birdie_conv,-1.941,False,,0.0,0.57%,28.2%,61.9%,T51,-8,68,67,71,70,276,Y,1.589,22nd,1.643,39th,0.044,44th,-2.367,69th,0.91,T51,,N/A,100.0,100.0
Vince Whaley,"Whaley, Vince",74,3,59.18,0.14,-14.06,-0.974,14,wedge_liability,-2.227,False,,0.0,0.57%,28.0%,61.8%,CUT,E,75,67,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Chad Ramey,"Ramey, Chad",75,3,59.03,0.06,-8.50,-1.810,10,wedge_liability,-2.201,False,,0.0,0.56%,27.8%,61.6%,CUT,4,73,73,-,-,146,N,,-,,-,,,,,,,,N/A,100.0,100.0
Brice Garnett,"Garnett, Brice",76,3,59.03,-0.52,1.09,-1.551,26,rough_approach_liab,-1.122,False,,0.0,0.61%,30.8%,68.4%,CUT,-1,72,69,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Kris Ventura,"Ventura, Kris",77,3,58.61,0.07,-9.12,-1.402,6,wedge_liability,-2.213,False,,0.0,0.55%,27.0%,61.0%,CUT,1,69,74,-,-,143,N,,-,,-,,,,,,,,N/A,100.0,100.0
Taylor Moore,"Moore, Taylor",78,3,58.14,-0.02,-11.01,0.653,10,bomb_and_spray; wedge_liability,-3.485,False,,0.0,0.53%,26.2%,60.3%,CUT,-1,70,71,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Keita Nakajima,"Nakajima, Keita",79,3,58.11,-0.14,-3.34,0.000,0,rough_approach_liab,-1.290,True,A,-4.0,0.60%,32.0%,73.7%,T46,-9,70,69,68,68,275,Y,-2.662,74th,2.727,27th,0.18,42nd,1.664,38th,1.91,T46,,N/A,100.0,100.0
Fabian Gomez,"Gomez, Fabian",80,3,57.79,-0.6400000000000001,8.60,0.327,17,poor_birdie_conv,-1.946,False,,0.0,0.55%,28.5%,66.5%,T74,-2,72,67,75,68,282,Y,-0.714,52nd,0.023,51st,1.248,23rd,-5.648,77th,-5.09,T74,,N/A,100.0,100.0
Erik Van Rooyen,"Van Rooyen, Erik",81,3,57.78,-0.57,-3.96,-0.027,2,bomb_and_spray; wedge_liability,-3.399,False,,0.0,0.51%,25.7%,59.8%,T26,-12,70,69,64,69,272,Y,0.36,37th,-3.285,71st,1.898,17th,5.936,4th,4.91,T26,,N/A,100.0,100.0
Garrick Higgo,"Higgo, Garrick",82,3,57.67,0.06,-12.17,2.029,10,bomb_and_spray; wedge_liability,-3.417,False,,0.0,0.51%,25.5%,59.7%,CUT,E,71,71,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Adam Svensson,"Svensson, Adam",83,3,57.55,-0.45,0.09,1.486,20,poor_birdie_conv,-1.987,False,,0.0,0.50%,25.3%,59.5%,CUT,-2,70,70,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Michael Feagles,"Feagles, Michael",84,3,57.42,-1.12,14.32,-0.043,2,,0.000,False,,0.0,0.54%,27.8%,65.9%,T74,-2,69,70,74,69,282,Y,-4.882,78th,2.177,34th,-0.071,45th,-2.315,68th,-5.09,T74,,N/A,100.0,100.0
David Skinns,"Skinns, David",85,3,57.00,-0.35,0.32,-3.632,6,poor_birdie_conv; rough_approach_liab,-2.706,False,,0.0,0.48%,24.4%,58.7%,T33,-11,72,67,66,68,273,Y,-1.813,68th,5.513,6th,2.406,10th,-2.197,66th,3.91,T33,,N/A,100.0,100.0
Kevin Streelman,"Streelman, Kevin",86,3,56.72,-0.7075,2.53,-0.010,40,rough_approach_liab,-1.200,False,,0.0,0.51%,26.6%,64.8%,CUT,-2,70,70,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Mackenzie Hughes,"Hughes, Mackenzie",87,3,56.66,-0.0625,-10.92,1.127,6,bomb_and_spray; wedge_liability,-3.250,False,,0.0,0.51%,26.5%,64.7%,T46,-9,72,67,70,66,275,Y,-1.144,59th,-2.373,70th,0.652,34th,4.774,10th,1.91,T46,,N/A,100.0,100.0
Jimmy Stanger,"Stanger, Jimmy",88,3,56.50,-0.3625,-7.55,-0.050,1,bomb_and_spray; wedge_liability,-4.054,False,,0.0,0.50%,26.2%,64.4%,CUT,-2,72,68,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
Hank Lebioda,"Lebioda, Hank",89,3,56.50,-0.47,-1.16,0.540,12,poor_birdie_conv,-1.702,False,,0.0,0.46%,23.6%,58.0%,CUT,-1,71,70,-,-,141,N,,-,,-,,,,,,,,N/A,100.0,100.0
Noah Goodwin,"Goodwin, Noah",90,3,55.71,-0.69,1.99,-0.045,2,wedge_liability,-2.241,False,,0.0,0.43%,22.4%,56.9%,CUT,1,68,75,-,-,143,N,,-,,-,,,,,,,,N/A,100.0,100.0
Hayden Springer,"Springer, Hayden",91,3,54.39,-0.33,-6.27,4.397,8,bomb_and_spray; wedge_liability,-3.527,False,,0.0,0.39%,20.4%,54.9%,T58,-7,66,68,71,72,277,Y,-1.647,64th,2.676,28th,-2.271,72nd,1.151,42nd,-0.09,T58,,N/A,100.0,100.0
Matthieu Pavon,"Pavon, Matthieu",92,3,53.93,-0.24,-5.03,0.000,0,wedge_liability,-2.196,True,A,-4.0,0.43%,24.2%,66.2%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,,N/A,100.0,100.0
Neal Shipley,"Shipley, Neal",93,3,53.89,-0.26,-8.83,-0.040,2,wedge_liability; poor_birdie_conv; rough_approach_liab,-5.648,False,,0.0,0.37%,19.7%,54.2%,CUT,-2,72,68,-,-,140,N,,-,,-,,,,,,,,N/A,100.0,100.0
