POS,PLAYER,THRU,R4,SG-Off the Tee,SG-Off the Tee (Rank),SG-Approach to Green,SG-Approach to Green (Rank),SG- Around the Green,SG- Around the Green (Rank),SG-Putting,SG-Putting (Rank),SG-Total,SG-Total (Rank)
CUT,Rico Hoey,-2,-,-,-,-,-,-,,,,,
CUT,Nick Hardy,-2,-,-,-,-,-,-,,,,,
CUT,Kevin Streelman,-2,-,-,-,-,-,-,,,,,
CUT,Johnny Keefer,-2,-,-,-,-,-,-,,,,,
CUT,Neal Shipley,-2,-,-,-,-,-,-,,,,,
CUT,Jeffrey Kang,-2,-,-,-,-,-,-,,,,,
CUT,Dylan Wu,-1,-,-,-,-,-,-,,,,,
CUT,Brice Garnett,-1,-,-,-,-,-,-,,,,,
CUT,Hank Lebioda,-1,-,-,-,-,-,-,,,,,
CUT,Taylor Moore,-1,-,-,-,-,-,-,,,,,
CUT,Joe Highsmith,-1,-,-,-,-,-,-,,,,,
CUT,Kensei Hirata,-1,-,-,-,-,-,-,,,,,
CUT,Dylan Frittelli,-1,-,-,-,-,-,-,,,,,
CUT,Paul Peterson,-1,-,-,-,-,-,-,,,,,
CUT,Luke Clanton,-1,-,-,-,-,-,-,,,,,
CUT,Patrick Adler,-1,-,-,-,-,-,-,,,,,
CUT,Brendon Todd,-1,-,-,-,-,-,-,,,,,
CUT,Haotong Li,-1,-,-,-,-,-,-,,,,,
CUT,Denny McCarthy,E,-,-,-,-,-,-,,,,,
CUT,Michael Kim,E,-,-,-,-,-,-,,,,,
CUT,Carson Young,E,-,-,-,-,-,-,,,,,
CUT,Aldrich Potgieter,E,-,-,-,-,-,-,,,,,
CUT,Garrick Higgo,E,-,-,-,-,-,-,,,,,
CUT,Ben Martin,E,-,-,-,-,-,-,,,,,
CUT,Justin Lower,E,-,-,-,-,-,-,,,,,
CUT,Martin Laird,E,-,-,-,-,-,-,,,,,
CUT,Matthieu Pavon,E,-,-,-,-,-,-,,,,,
CUT,Robert Streb,E,-,-,-,-,-,-,,,,,
CUT,Brian Campbell,E,-,-,-,-,-,-,,,,,
CUT,Kevin Roy,E,-,-,-,-,-,-,,,,,
CUT,Vince Whaley,E,-,-,-,-,-,-,,,,,
CUT,Marcelo Rozo,E,-,-,-,-,-,-,,,,,
CUT,Patton Kizzire,1,-,-,-,-,-,-,,,,,
CUT,Andrew Novak,1,-,-,-,-,-,-,,,,,
CUT,Noah Goodwin,1,-,-,-,-,-,-,,,,,
CUT,Taylor Pendrith,1,-,-,-,-,-,-,,,,,
CUT,Jackson Koivun,1,-,-,-,-,-,-,,,,,
CUT,Kris Ventura,1,-,-,-,-,-,-,,,,,
CUT,Ben Silverman,2,-,-,-,-,-,-,,,,,
CUT,Adam Schenk,2,-,-,-,-,-,-,,,,,
CUT,Adam Hadwin,2,-,-,-,-,-,-,,,,,
CUT,John VanDerLaan,2,-,-,-,-,-,-,,,,,
CUT,Cameron Champ,2,-,-,-,-,-,-,,,,,
CUT,Alejandro Tosti,2,-,-,-,-,-,-,,,,,
CUT,Augusto Núñez,2,-,-,-,-,-,-,,,,,
CUT,Luke List,2,-,-,-,-,-,-,,,,,
CUT,Chad Ramey,4,-,-,-,-,-,-,,,,,
CUT,Thorbjørn Olesen,4,-,-,-,-,-,-,,,,,
CUT,S.Y. Noh,4,-,-,-,-,-,-,,,,,
CUT,Mason Howell,(a),-,-,-,-,-,-,-,,,,
CUT,Chandler Blanchet,5,-,-,-,-,-,-,,,,,
CUT,Jeremy Paul,7,-,-,-,-,-,-,,,,,
CUT,Christo Lamprecht,7,-,-,-,-,-,-,,,,,
CUT,Danny Walker,11,-,-,-,-,-,-,,,,,
CUT,Darin Fisher,14,-,-,-,-,-,-,,,,,
WD,Seamus Power,-,-,-,-,-,-,-,,,,,
