rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
43,89,"Vilips, Karl",VILIPS_KARL,deep,high,-0.46,66.34189548272809,-0.46,-0.45,-0.21,-0.1,0.23,-0.76,72,0.0,1.3,-6.3,71.93795516882626,72.49150326797385,72.40686085803499,20.303169499310986,46.6046511627907,78.3068783068783,76.8813967489464,44.87385936661299,50.95510983763132,57.58944705457174,-0.09,-0.01,0.0,-0.01,-0.07,7.0,11.8,2.1,1.4,2.0,6.1,5.8,3.4,60.99251177477008,-5.349383707958012,high,2,-1.841,-0.0304,low,False,,False,False,False,False,False,PUTT_BirdieConv,OTT_Accuracy,PUTT_BirdieConv+PUTT_Lag; weak OTT_Accuracy
44,25,"Mcgreevy, Max",MCGREEVY_MAX,deep,high,0.35,80.69087688219663,0.35,0.31,0.11,0.09,-0.35,0.5,102,0.0,-4.7,6.2,79.68410101201174,80.02091503267974,79.98631250267333,59.11805236564081,62.6046511627907,60.79846079846083,59.96387718242018,46.43048845947396,56.638013371537724,84.91145645103,0.09,0.01,0.0,0.01,0.07,6.9,11.8,1.9,1.3,1.7,6.1,6.1,3.6,71.5009447124489,-9.189932169747735,high,6,-2.512,-3.9432,medium,False,,False,False,False,True,False,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
45,69,"Griffin, Lanto",GRIFFIN_LANTO,deep,high,-0.14,72.01062887511073,-0.14,-0.26,-0.18,0.09,0.39,-0.35,71,0.0,-3.6,0.5,72.75134777262839,73.19738562091503,73.14684118225759,37.253100597152056,47.720930232558146,80.3751803751804,81.21613485851896,56.092324208266234,60.936007640878685,64.81749186844958,0.0,0.0,0.0,0.01,0.0,6.9,11.8,2.1,1.4,1.8,6.1,6.0,3.5,67.54370686080713,-4.4669220143035915,high,14,-0.78,-0.9855999999999999,medium,False,,False,False,False,False,False,PUTT_Lag,OTT_Accuracy,PUTT_Lag+PUTT_BirdieConv; weak OTT_Accuracy
46,26,"Hoey, Rico",HOEY_RICO,deep,high,0.34,80.51372896368468,0.34,0.48,0.35,-0.16,-0.55,0.67,107,0.0,5.7,3.4,85.53863614868061,85.66797385620914,85.58107703494588,56.6835094166284,76.65116279069767,55.50745550745552,56.6526189042745,36.500268384326354,39.207258834765994,91.94073003252619,0.05,0.02,0.0,-0.01,0.04,6.9,11.9,2.0,1.2,1.9,6.1,5.8,3.5,71.75648451211624,-8.75724445156844,high,8,1.469,3.4376,medium,False,,False,False,False,True,True,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
47,65,"Hodges, Lee",HODGES_LEE,deep,high,-0.06,73.42781222320639,-0.06,0.06,0.26,-0.18,-0.03,0.14,83,0.0,-5.9,5.0,83.37274188971911,83.55032679738562,83.51512040720304,52.1819016995866,54.51162790697674,71.42857142857142,71.944611679711,35.319377348362856,42.45463228271252,79.74340440910733,0.09,0.02,0.0,0.01,0.06,7.0,11.9,2.0,1.3,1.7,6.1,6.1,3.6,72.85612348731573,-0.5716887358906604,high,12,-0.099,-0.8672,medium,False,,False,False,False,False,True,APP_100-150,ARG_Rough,APP_100-150+APP_150-200; weak ARG_Rough
48,48,"Yu, Kevin",YU_KEVIN,deep,high,0.06,75.55358724534986,0.06,0.35,-0.06,-0.02,-0.14,0.28,75,0.0,7.0,0.4,75.7495507424572,76.04183006535948,75.91855939090637,48.27744602664218,74.04651162790698,66.35401635401638,67.76038531005419,44.76650563607085,50.85959885386819,80.88182146729311,-0.01,0.01,0.0,-0.02,0.0,6.9,11.9,2.0,1.3,1.9,6.2,5.7,3.4,68.00028425020368,-7.553302995146183,high,12,1.591,3.1384000000000003,medium,False,,False,False,False,True,False,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
49,66,"Fishburn, Patrick",FISHBURN_PATRICK,deep,high,-0.08,73.07351638618246,-0.08,0.12,-0.03,-0.05,0.32,0.04,83,0.0,2.8,-2.2,76.33595006147735,76.72679738562091,76.64143034347063,38.72301332108407,63.90697674418605,80.68783068783068,79.31968693558093,47.82608695652175,53.58166189111747,75.74990964943981,-0.04,0.0,0.0,-0.01,-0.04,7.0,11.8,2.1,1.4,2.0,6.1,5.8,3.4,69.15514747996183,-3.9183689062206355,high,6,0.706,1.9736,medium,False,,False,True,False,False,False,PUTT_BirdieConv,OTT_Accuracy,PUTT_BirdieConv+PUTT_Lag; weak OTT_Accuracy
50,43,"Rodgers, Patrick",RODGERS_PATRICK,deep,high,0.1,76.2621789193977,0.1,0.06,-0.04,0.01,0.07,0.03,116,0.0,7.0,-4.4,75.81575711718529,76.5124183006536,76.40617648316865,33.302710151584755,66.13953488372093,71.90957190957194,70.43949428055384,51.368760064412236,56.733524355300844,74.75605348753163,-0.09,-0.02,0.0,-0.01,-0.06,6.9,11.7,2.1,1.4,2.0,6.2,5.8,3.4,65.62978643618455,-10.632392483213152,high,38,0.445,1.0208,medium,False,,False,True,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
51,36,"Blanchet, Chandler",BLANCHET_CHANDLER,deep,high,0.16,77.32506643046945,0.16,0.14,0.1,-0.52,-0.37,-0.28,91,2.0,-7.4,8.8,79.92055235032632,79.76470588235294,79.75105864237135,61.09324758842445,55.348837209302324,62.43386243386243,64.84045755568926,15.244229736983355,24.594078319006694,74.1778099024214,0.14,0.04,0.0,0.01,0.09,7.0,12.0,2.0,1.3,1.7,6.0,6.1,3.6,68.912186637611,-8.412879792858448,high,0,,0.0,none,True,B,False,False,False,True,True,APP_Wedge,ARG_Rough,APP_Wedge+APP_100-150; weak ARG_Rough
52,72,"Simpson, Webb",SIMPSON_WEBB,medium,medium,-0.16,71.6563330380868,-0.16,-0.11,-0.08,0.01,0.03,-0.19,35,0.0,-1.0,-1.3,74.99290645985057,75.55032679738562,75.48227041361906,36.4262746899403,54.13953488372093,70.85137085137087,68.151715833835,51.368760064412236,56.733524355300844,69.71449222985183,-0.02,-0.01,0.0,0.0,-0.02,6.9,11.7,2.1,1.4,1.9,6.1,5.9,3.5,65.64595708744123,-6.010375950645567,medium,12,-0.333,-0.9032,medium,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
53,44,"Potgieter, Aldrich",POTGIETER_ALDRICH,deep,high,0.08,75.9078830823738,0.08,0.54,0.05,-0.26,-0.17,0.34,75,1.0,22.9,-4.8,78.54913458810178,78.65098039215687,78.45502373925316,41.1116214974736,93.58139534883722,67.7248677248677,70.25888019265494,30.595813204508854,33.9541547277937,85.32706902782797,-0.11,0.02,0.0,-0.05,-0.08,7.0,12.0,2.0,1.2,2.2,6.3,5.4,3.2,66.47883533217689,-9.429047750196915,high,3,-0.279,-0.052,low,False,,False,True,False,False,True,OTT_Distance,ARG_Rough,OTT_Distance+PAR5_Scoring; weak ARG_Rough
54,18,"Coody, Pierceson",COODY_PIERCESON,deep,high,0.43,82.1080602302923,0.43,0.6,0.17,-0.28,0.12,0.49,117,0.0,12.5,-1.1,80.9231060247801,81.45359477124184,81.31228880619359,49.97703261368858,85.95348837209302,75.39682539682538,78.1155930162552,29.414922168545353,32.90353390639923,89.23021322732201,-0.05,-0.01,0.0,-0.03,-0.01,7.0,12.0,2.0,1.2,2.0,6.2,5.6,3.3,71.56108127593508,-10.546978954357215,high,6,-1.235,-2.8120000000000003,medium,False,,False,True,False,False,True,PAR5_Scoring,ARG_Rough,PAR5_Scoring+OTT_Distance; weak ARG_Rough
55,82,"Noh, S.Y.",NOH_S.Y.,deep,high,-0.37,67.9362267493357,-0.37,-0.39,0.21,0.32,0.02,0.14,75,0.0,-1.0,-5.4,81.70812446798449,82.37385620915033,82.30463236237648,23.334864492420767,46.32558139534884,70.58682058682061,69.08488862131243,69.67257112184649,73.01814708691498,73.41886519696422,-0.06,-0.02,0.0,0.0,-0.05,6.9,11.7,2.1,1.4,1.9,6.1,5.9,3.4,68.06792442969936,0.1316976803636578,high,21,-0.226,0.28400000000000003,medium,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
56,55,"Kohles, Ben",KOHLES_BEN,deep,high,0.03,75.02214348981401,0.03,0.09,0.96,0.01,-0.78,1.06,104,1.0,-8.6,9.6,100.0,100.0,100.0,61.82820395039046,53.0232558139535,49.422799422799436,50.421432871764,36.87600644122383,48.13753581661891,98.95193350198772,0.16,0.03,0.0,0.02,0.11,6.9,11.9,1.8,1.2,1.6,6.0,6.2,3.7,79.00400774905243,3.981864259238421,high,12,-0.419,-0.2672,medium,False,,False,False,False,True,True,APP_Wedge,ARG_Rough,APP_Wedge+APP_100-150; weak ARG_Rough
57,51,"Dou, Zecheng",DOU_ZECHENG,deep,high,0.05,75.37643932683793,0.05,-0.34,0.41,0.25,-0.05,0.32,82,0.0,6.8,-6.2,86.69251867965573,87.10065359477125,86.97549082509946,22.599908130454764,54.79069767441861,68.73496873496876,65.98434677904874,60.70853462157812,65.0429799426934,78.53270690278279,-0.08,0.0,0.0,-0.01,-0.06,6.9,11.7,2.0,1.3,2.0,6.2,5.7,3.3,68.9808962817585,-6.395543045079421,high,6,-3.042,-5.6184,medium,False,,False,True,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
